Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,82,良,33,49,19,0.9,65,66
2017,1,2,2,1,1,92,良,68,76,22,1.2,65,48
2017,1,3,3,1,1,127,轻度污染,96,98,18,1.2,74,73
2017,1,4,4,1,1,90,良,52,64,21,0.9,72,73
2017,1,5,5,1,1,55,良,26,26,13,0.8,44,85
2017,1,6,6,1,1,63,良,20,28,13,0.7,50,54
2017,1,7,7,2,1,63,良,16,17,13,0.9,50,64
2017,1,8,8,2,1,94,良,70,94,16,1.8,52,11
2017,1,9,9,2,1,87,良,64,78,22,1.3,44,72
2017,1,10,10,2,1,107,轻度污染,80,84,19,1.3,54,79
2017,1,11,11,2,1,52,良,29,41,15,0.7,41,74
2017,1,12,12,2,1,93,良,55,64,17,1,74,36
2017,1,13,13,2,1,130,轻度污染,99,117,31,1.3,69,65
2017,1,14,14,3,1,39,优,22,32,15,0.7,30,77
2017,1,15,15,3,1,35,优,13,24,13,0.6,27,69
2017,1,16,16,3,1,53,良,17,28,14,0.6,42,69
2017,1,17,17,3,1,90,良,40,53,18,0.9,72,47
2017,1,18,18,3,1,65,良,35,46,16,0.8,52,70
2017,1,19,19,3,1,105,轻度污染,79,89,21,1.1,63,68
2017,1,20,20,3,1,90,良,67,99,19,0.9,33,78
2017,1,21,21,4,1,73,良,36,48,16,0.9,58,74
2017,1,22,22,4,1,65,良,44,65,21,0.9,52,73
2017,1,23,23,4,1,44,优,22,36,17,0.7,35,84
2017,1,24,24,4,1,52,良,29,40,18,0.7,41,95
2017,1,25,25,4,1,75,良,55,61,18,0.8,42,102
2017,1,26,26,4,1,73,良,53,52,17,0.8,46,115
2017,1,27,27,4,1,65,良,42,80,13,0.7,29,82
2017,1,28,28,5,1,62,良,26,73,12,0.6,26,101
2017,1,29,29,5,1,78,良,57,69,14,1,32,90
2017,1,30,30,5,1,42,优,22,42,10,0.6,13,82
2017,1,31,31,5,1,42,优,11,19,9,0.4,16,83
2017,2,1,32,5,1,45,优,31,37,12,0.7,20,90
2017,2,2,33,5,1,44,优,21,27,11,0.6,23,87
2017,2,3,34,5,1,57,良,16,24,12,0.6,45,55
2017,2,4,35,6,1,79,良,55,64,12,1.1,63,21
