Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,169,中度污染,128,196,18,2.2,65,32
2017,1,2,2,1,1,224,重度污染,174,217,17,3.2,79,21
2017,1,3,3,1,1,301,严重污染,251,374,22,3.7,82,24
2017,1,4,4,1,1,223,重度污染,173,197,26,3.5,106,18
2017,1,5,5,1,1,295,重度污染,245,330,25,3.9,102,13
2017,1,6,6,1,1,310,严重污染,260,311,29,3.6,102,19
2017,1,7,7,2,1,322,严重污染,272,354,20,3.4,77,23
2017,1,8,8,2,1,207,重度污染,157,164,28,2.3,67,29
2017,1,9,9,2,1,268,重度污染,218,233,26,3,84,18
2017,1,10,10,2,1,288,重度污染,238,327,24,4,99,16
2017,1,11,11,2,1,296,重度污染,246,296,34,3.3,90,21
2017,1,12,12,2,1,224,重度污染,174,196,25,2.8,92,27
2017,1,13,13,2,1,369,严重污染,319,368,38,4.5,115,19
2017,1,14,14,3,1,256,重度污染,206,304,37,3.4,89,28
2017,1,15,15,3,1,237,重度污染,187,240,28,3.4,87,18
2017,1,16,16,3,1,318,严重污染,268,353,30,4.1,99,19
2017,1,17,17,3,1,346,严重污染,296,357,41,4.6,109,17
2017,1,18,18,3,1,402,严重污染,353,472,45,4.8,115,19
2017,1,19,19,3,1,196,中度污染,147,167,42,2.2,85,32
2017,1,20,20,3,1,272,重度污染,222,302,27,3.5,98,26
2017,1,21,21,4,1,386,严重污染,336,392,44,4,94,28
2017,1,22,22,4,1,295,重度污染,245,294,41,2.9,97,42
2017,1,23,23,4,1,282,重度污染,232,186,42,3.1,95,39
2017,1,24,24,4,1,235,重度污染,185,169,31,2.5,82,40
2017,1,25,25,4,1,211,重度污染,161,135,30,2,65,42
2017,1,26,26,4,1,198,中度污染,148,106,24,1.9,66,41
2017,1,27,27,4,1,227,重度污染,177,219,24,2.5,80,36
2017,1,28,28,5,1,364,严重污染,314,382,47,3.6,93,37
2017,1,29,29,5,1,258,重度污染,208,186,36,2.8,90,39
2017,1,30,30,5,1,304,严重污染,254,255,24,3,92,40
2017,1,31,31,5,1,309,严重污染,259,318,30,3.2,100,38
2017,2,1,32,5,1,400,严重污染,350,355,38,3.9,104,46
2017,2,2,33,5,1,343,严重污染,293,330,37,3.5,92,51
2017,2,3,34,5,1,321,严重污染,271,303,37,3.1,92,67
2017,2,4,35,6,1,170,中度污染,129,223,26,2,72,58
2017,2,5,36,6,1,95,良,71,52,16,1.4,43,49
2017,2,6,37,6,1,120,轻度污染,91,89,16,1.4,50,45
2017,2,7,38,6,1,132,轻度污染,100,109,14,1.8,66,42
2017,2,8,39,6,1,153,中度污染,117,154,11,1.9,67,39
2017,2,9,40,6,1,199,中度污染,149,180,17,2.5,91,35
2017,2,10,41,6,1,299,重度污染,249,280,19,3,99,37
2017,2,11,42,7,1,292,重度污染,242,260,27,3.4,101,42
2017,2,12,43,7,1,253,重度污染,203,236,31,3.3,89,45
2017,2,13,44,7,1,229,重度污染,179,211,26,3.1,94,44
2017,2,14,45,7,1,294,重度污染,244,294,22,3.4,96,46
2017,2,15,46,7,1,288,重度污染,238,319,33,3,84,59
2017,2,16,47,7,1,278,重度污染,228,279,18,3,86,40
2017,2,17,48,7,1,224,重度污染,174,264,18,2.3,62,49
2017,2,18,49,8,1,217,重度污染,167,221,19,2.9,88,67
2017,2,19,50,8,1,173,中度污染,131,166,21,2.3,73,49
2017,2,20,51,8,1,54,良,28,36,12,1.2,43,62
2017,2,21,52,8,1,102,轻度污染,67,94,19,2,83,62
2017,2,22,53,8,1,148,轻度污染,113,135,23,2.1,77,61
2017,2,23,54,8,1,147,轻度污染,112,137,21,2.3,91,54
2017,2,24,55,8,1,135,轻度污染,103,100,22,2.4,99,68
2017,2,25,56,9,1,298,重度污染,248,246,28,3.5,120,71
2017,2,26,57,9,1,319,严重污染,269,334,36,4,136,79
2017,2,27,58,9,1,277,重度污染,227,226,34,3.1,104,88
2017,2,28,59,9,1,183,中度污染,138,143,21,2.5,82,96
2017,3,1,60,9,2,242,重度污染,192,262,23,2.2,68,84
2017,3,2,61,9,2,198,中度污染,148,155,18,2.8,91,75
2017,3,3,62,9,2,196,中度污染,147,199,18,2,54,73
2017,3,4,63,10,2,103,轻度污染,77,80,11,1.3,38,73
2017,3,5,64,10,2,92,良,68,88,10,1.2,40,64
2017,3,6,65,10,2,114,轻度污染,86,111,14,1.5,51,66
2017,3,7,66,10,2,189,中度污染,142,142,16,2.5,75,73
2017,3,8,67,10,2,247,重度污染,197,221,12,2.3,80,58
2017,3,9,68,10,2,224,重度污染,174,216,13,2.5,71,65
2017,3,10,69,10,2,175,中度污染,132,178,9,2,62,58
2017,3,11,70,11,2,137,轻度污染,104,115,9,1.5,53,51
2017,3,12,71,11,2,132,轻度污染,100,117,10,1.5,52,48
2017,3,13,72,11,2,148,轻度污染,113,131,10,1.5,52,46
2017,3,14,73,11,2,182,中度污染,137,175,15,2.1,62,58
2017,3,15,74,11,2,110,轻度污染,83,110,10,1.4,51,60
2017,3,16,75,11,2,139,轻度污染,106,134,8,1.5,51,51
2017,3,17,76,11,2,124,轻度污染,94,121,8,1.3,45,54
2017,3,18,77,12,2,95,良,71,88,7,1.1,42,54
2017,3,19,78,12,2,104,轻度污染,78,92,8,1.1,41,58
2017,3,20,79,12,2,83,良,61,72,6,1,38,60
2017,3,21,80,12,2,74,良,54,60,10,1,39,71
2017,3,22,81,12,2,73,良,53,60,11,1.2,58,77
2017,3,23,82,12,2,73,良,52,71,15,1.4,58,72
2017,3,24,83,12,2,114,轻度污染,86,102,14,1.7,63,78
2017,3,25,84,13,2,107,轻度污染,80,102,10,1.3,52,52
2017,3,26,85,13,2,132,轻度污染,100,151,11,1.7,61,62
2017,3,27,86,13,2,147,轻度污染,112,150,12,1.6,73,57
2017,3,28,87,13,2,158,中度污染,120,152,13,1.7,69,51
2017,3,29,88,13,2,68,良,49,59,13,1.2,51,73
2017,3,30,89,13,2,74,良,54,98,15,1.2,47,79
2017,3,31,90,13,2,115,轻度污染,46,179,11,1,38,57
2017,4,1,91,14,2,87,良,59,124,11,1.1,43,63
2017,4,2,92,14,2,61,良,42,72,13,1,45,76
2017,4,3,93,14,2,63,良,45,74,14,1,44,57
2017,4,4,94,14,2,35,优,17,25,6,0.8,28,44
2017,4,5,95,14,2,50,优,33,47,9,1.1,40,62
2017,4,6,96,14,2,48,优,31,48,11,0.9,38,65
2017,4,7,97,14,2,42,优,23,38,10,0.8,33,59
2017,4,8,98,15,2,53,良,27,55,12,0.9,37,62
2017,4,9,99,15,2,52,良,35,53,12,0.8,31,63
2017,4,10,100,15,2,54,良,38,58,9,0.9,40,61
2017,4,11,101,15,2,62,良,43,73,11,1,48,88
2017,4,12,102,15,2,60,良,36,70,10,0.8,40,89
2017,4,13,103,15,2,59,良,30,68,13,0.7,30,84
2017,4,14,104,15,2,37,优,14,26,8,0.7,25,74
2017,4,15,105,16,2,38,优,15,34,8,0.7,29,75
2017,4,16,106,16,2,60,良,26,70,13,0.8,39,68
2017,4,17,107,16,2,73,良,44,95,15,1.1,40,72
2017,4,18,108,16,2,41,优,13,29,7,0.7,24,81
2017,4,19,109,16,2,50,优,21,50,10,0.7,38,86
2017,4,20,110,16,2,66,良,26,81,10,0.8,42,82
2017,4,21,111,16,2,74,良,28,98,14,0.8,44,92
2017,4,22,112,17,2,85,良,35,120,13,0.8,42,107
2017,4,23,113,17,2,45,优,13,45,8,0.7,22,78
2017,4,24,114,17,2,43,优,14,43,8,0.7,31,83
2017,4,25,115,17,2,57,良,21,64,9,0.8,37,85
2017,4,26,116,17,2,56,良,15,61,8,0.6,22,83
2017,4,27,117,17,2,42,优,16,42,7,0.8,33,82
