Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,94,良,66,119,42,2.1,75,50
2017,1,2,2,1,1,129,轻度污染,98,161,45,2.8,94,46
2017,1,3,3,1,1,152,中度污染,116,192,56,3.4,113,52
2017,1,4,4,1,1,202,重度污染,152,226,60,3.9,137,56
2017,1,5,5,1,1,189,中度污染,142,218,49,3.4,123,63
2017,1,6,6,1,1,83,良,53,115,33,1.3,63,58
2017,1,7,7,2,1,95,良,52,98,31,1.8,76,64
2017,1,8,8,2,1,72,良,46,84,30,1.3,57,69
2017,1,9,9,2,1,58,良,34,59,28,1,46,74
2017,1,10,10,2,1,51,良,28,51,21,0.8,36,70
2017,1,11,11,2,1,90,良,60,102,33,1.8,72,46
2017,1,12,12,2,1,129,轻度污染,98,157,37,2.4,92,58
2017,1,13,13,2,1,138,轻度污染,105,175,41,2.6,96,57
2017,1,14,14,3,1,120,轻度污染,91,154,46,2.2,83,65
2017,1,15,15,3,1,87,良,56,124,36,1.5,65,80
2017,1,16,16,3,1,78,良,42,106,32,1.2,56,73
2017,1,17,17,3,1,69,良,44,87,30,1.2,52,66
2017,1,18,18,3,1,88,良,63,126,35,1.5,61,74
2017,1,19,19,3,1,235,重度污染,78,374,22,1.1,50,88
2017,1,20,20,3,1,135,轻度污染,75,220,40,1.8,76,64
2017,1,21,21,4,1,105,轻度污染,70,159,48,2.2,85,65
2017,1,22,22,4,1,103,轻度污染,61,128,48,2.2,86,76
2017,1,23,23,4,1,118,轻度污染,89,160,50,2.8,100,73
2017,1,24,24,4,1,135,轻度污染,103,178,61,3.2,110,72
2017,1,25,25,4,1,500,严重污染,155,604,41,2.6,92,64
2017,1,26,26,4,1,500,严重污染,212,1344,16,0.8,36,76
2017,1,27,27,4,1,156,中度污染,69,261,31,1.6,61,70
2017,1,28,28,5,1,155,中度污染,61,260,28,1,36,79
2017,1,29,29,5,1,99,良,38,148,20,1,34,84
2017,1,30,30,5,1,93,良,40,136,30,1.2,38,85
2017,1,31,31,5,1,86,良,43,122,28,1.2,46,80
2017,2,1,32,5,1,81,良,51,111,32,1.5,54,65
2017,2,2,33,5,1,94,良,70,121,22,1.8,58,82
2017,2,3,34,5,1,95,良,71,124,30,1.8,62,73
2017,2,4,35,6,1,102,轻度污染,66,126,32,2.2,84,74
2017,2,5,36,6,1,124,轻度污染,94,161,41,2.7,102,84
2017,2,6,37,6,1,103,轻度污染,66,155,34,1.5,44,62
2017,2,7,38,6,1,85,良,32,120,14,0.7,24,78
2017,2,8,39,6,1,63,良,39,76,14,0.9,37,76
2017,2,9,40,6,1,88,良,65,102,17,1.3,54,101
2017,2,10,41,6,1,55,良,32,59,26,0.9,43,78
2017,2,11,42,7,1,98,良,66,114,30,1.9,78,92
2017,2,12,43,7,1,134,轻度污染,102,163,30,2.4,100,87
2017,2,13,44,7,1,118,轻度污染,89,150,35,2.1,85,121
2017,2,14,45,7,1,105,轻度污染,70,129,29,2.2,89,89
2017,2,15,46,7,1,110,轻度污染,73,170,30,2.5,85,98
2017,2,16,47,7,1,135,轻度污染,55,219,24,1.4,50,83
2017,2,17,48,7,1,115,轻度污染,56,180,22,1.4,61,95
2017,2,18,49,8,1,122,轻度污染,77,194,34,2.2,88,108
2017,2,19,50,8,1,125,轻度污染,84,200,36,2.3,88,91
2017,2,20,51,8,1,157,中度污染,65,264,22,1.3,48,84
2017,2,21,52,8,1,168,中度污染,76,286,22,0.8,32,74
2017,2,22,53,8,1,116,轻度污染,56,182,23,0.9,39,82
2017,2,23,54,8,1,92,良,60,133,16,1.4,59,113
2017,2,24,55,8,1,92,良,68,123,16,1.4,58,112
2017,2,25,56,9,1,63,良,39,74,20,1.1,50,103
2017,2,26,57,9,1,78,良,52,96,26,1.4,62,123
2017,2,27,58,9,1,85,良,63,109,27,1.4,61,140
