Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,470,严重污染,454,516,8,6.7,141,6
2017,1,2,2,1,1,248,重度污染,198,332,13,3.8,102,38
2017,1,3,3,1,1,348,严重污染,298,386,17,5.9,144,17
2017,1,4,4,1,1,389,严重污染,339,435,18,7.4,150,13
2017,1,5,5,1,1,270,重度污染,220,303,16,5.3,109,11
2017,1,6,6,1,1,248,重度污染,198,199,25,4.3,108,14
2017,1,7,7,2,1,216,重度污染,166,171,18,3.3,82,10
2017,1,8,8,2,1,54,良,34,58,10,0.9,34,55
2017,1,9,9,2,1,62,良,36,74,7,0.8,39,49
2017,1,10,10,2,1,45,优,25,45,8,0.7,36,61
2017,1,11,11,2,1,94,良,57,83,19,1.6,75,18
2017,1,12,12,2,1,62,良,41,61,12,0.9,49,48
2017,1,13,13,2,1,34,优,8,22,5,0.4,22,68
2017,1,14,14,3,1,57,良,20,42,11,0.9,45,50
2017,1,15,15,3,1,73,良,53,71,11,1,50,31
2017,1,16,16,3,1,123,轻度污染,93,106,18,1.7,67,8
2017,1,17,17,3,1,178,中度污染,134,153,21,2.1,73,19
2017,1,18,18,3,1,64,良,38,60,10,0.8,51,38
2017,1,19,19,3,1,69,良,44,87,14,1.2,37,67
2017,1,20,20,3,1,45,优,25,41,9,0.8,36,59
2017,1,21,21,4,1,46,优,24,46,9,0.7,29,72
2017,1,22,22,4,1,53,良,25,37,12,0.8,42,50
2017,1,23,23,4,1,62,良,36,51,14,1,49,44
2017,1,24,24,4,1,118,轻度污染,89,107,29,2.1,76,28
2017,1,25,25,4,1,228,重度污染,178,185,39,3.3,94,29
2017,1,26,26,4,1,202,重度污染,152,113,26,2.5,61,70
2017,1,27,27,4,1,104,轻度污染,78,133,25,0.8,31,76
2017,1,28,28,5,1,395,严重污染,345,423,84,2.7,71,26
2017,1,29,29,5,1,56,良,30,61,9,0.6,15,71
2017,1,30,30,5,1,43,优,29,43,11,0.6,22,72
2017,1,31,31,5,1,102,轻度污染,76,82,27,1.3,42,60
2017,2,1,32,5,1,55,良,38,59,16,0.6,28,67
