Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,176,中度污染,133,211,35,1.9,114,78
2017,1,2,2,1,1,149,轻度污染,114,179,25,1.8,88,68
2017,1,3,3,1,1,172,中度污染,130,198,31,2.2,89,114
2017,1,4,4,1,1,206,重度污染,156,231,33,2.2,91,28
2017,1,5,5,1,1,57,良,26,36,12,1,45,76
2017,1,6,6,1,1,58,良,16,28,11,1,46,63
2017,1,7,7,2,1,58,良,24,35,11,1.3,46,23
2017,1,8,8,2,1,97,良,72,96,14,1.4,37,40
2017,1,9,9,2,1,114,轻度污染,86,113,21,1.5,44,71
2017,1,10,10,2,1,117,轻度污染,88,124,27,1.4,58,68
2017,1,11,11,2,1,93,良,69,110,27,1.2,57,84
2017,1,12,12,2,1,93,良,69,115,23,1.2,56,89
2017,1,13,13,2,1,90,良,67,112,19,1.2,54,82
2017,1,14,14,3,1,57,良,35,64,21,0.9,41,83
2017,1,15,15,3,1,50,优,16,42,14,0.6,40,71
2017,1,16,16,3,1,70,良,29,65,21,0.8,56,54
2017,1,17,17,3,1,70,良,43,79,26,1.1,56,51
2017,1,18,18,3,1,75,良,55,78,16,1,57,43
2017,1,19,19,3,1,100,良,75,105,15,1.1,45,57
2017,1,20,20,3,1,70,良,27,89,19,0.8,36,79
2017,1,21,21,4,1,73,良,33,75,20,0.9,58,73
2017,1,22,22,4,1,83,良,48,98,27,1,66,60
2017,1,23,23,4,1,63,良,39,76,27,1.1,45,87
2017,1,24,24,4,1,53,良,30,56,18,0.9,40,86
2017,1,25,25,4,1,85,良,63,93,22,1.2,45,110
2017,1,26,26,4,1,95,良,71,102,22,1.4,53,91
2017,1,27,27,4,1,90,良,67,115,17,1.2,30,93
2017,1,28,28,5,1,72,良,48,93,14,0.9,23,99
2017,1,29,29,5,1,78,良,57,82,12,1.2,32,45
2017,1,30,30,5,1,51,良,29,51,10,0.8,16,84
2017,1,31,31,5,1,47,优,15,32,14,0.7,20,93
2017,2,1,32,5,1,63,良,45,60,12,0.8,24,95
2017,2,2,33,5,1,69,良,50,73,19,1,26,111
2017,2,3,34,5,1,55,良,33,49,11,1,44,56
2017,2,4,35,6,1,85,良,63,95,13,1.4,50,35
2017,2,5,36,6,1,128,轻度污染,97,125,16,1.5,50,104
2017,2,6,37,6,1,104,轻度污染,78,111,22,1.2,46,90
2017,2,7,38,6,1,46,优,22,46,13,0.8,30,74
2017,2,8,39,6,1,54,良,38,46,9,0.8,28,63
2017,2,9,40,6,1,120,轻度污染,91,126,19,1.3,30,111
2017,2,10,41,6,1,62,良,38,73,21,0.9,34,92
2017,2,11,42,7,1,69,良,35,67,25,1.1,55,90
2017,2,12,43,7,1,90,良,54,88,26,1.3,72,94
2017,2,13,44,7,1,102,轻度污染,64,102,27,1.5,83,87
2017,2,14,45,7,1,105,轻度污染,79,125,30,1.4,80,129
2017,2,15,46,7,1,98,良,73,117,25,1.3,66,109
2017,2,16,47,7,1,109,轻度污染,82,130,24,1.6,82,89
2017,2,17,48,7,1,80,良,59,107,15,1.1,50,59
2017,2,18,49,8,1,64,良,33,77,18,1,51,77
2017,2,19,50,8,1,94,良,70,128,25,1.5,55,98
2017,2,20,51,8,1,72,良,46,93,14,1.1,35,72
2017,2,21,52,8,1,52,良,22,53,12,0.8,34,75
2017,2,22,53,8,1,72,良,52,69,11,1.1,34,51
2017,2,23,54,8,1,109,轻度污染,82,107,22,1.4,56,81
2017,2,24,55,8,1,105,轻度污染,79,117,22,1.5,79,97
2017,2,25,56,9,1,113,轻度污染,85,134,27,1.8,88,108
2017,2,26,57,9,1,103,轻度污染,75,127,28,1.6,86,132
2017,2,27,58,9,1,93,良,69,103,25,1.4,56,141
2017,2,28,59,9,1,94,良,70,113,23,1.2,58,135
2017,3,1,60,9,2,97,良,61,144,19,1.1,47,92
2017,3,2,61,9,2,60,良,31,70,14,1,42,92
2017,3,3,62,9,2,94,良,40,101,23,1.2,75,87
2017,3,4,63,10,2,97,良,72,137,29,1.4,77,103
2017,3,5,64,10,2,92,良,68,112,20,1.3,51,106
2017,3,6,65,10,2,68,良,41,86,17,1,44,86
2017,3,7,66,10,2,78,良,47,106,24,1.1,62,105
2017,3,8,67,10,2,70,良,39,89,20,1.1,53,108
2017,3,9,68,10,2,105,轻度污染,56,128,29,1.4,90,115
2017,3,10,69,10,2,114,轻度污染,86,166,28,1.5,99,144
2017,3,11,70,11,2,80,良,43,79,15,1,43,136
2017,3,12,71,11,2,85,良,63,105,17,1.2,51,86
2017,3,13,72,11,2,54,良,31,58,10,0.9,30,104
2017,3,14,73,11,2,57,良,19,50,17,0.9,41,108
