Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,149,轻度污染,114,167,20,1.6,92,49
2017,1,2,2,1,1,148,轻度污染,113,149,19,1.5,69,102
2017,1,3,3,1,1,142,轻度污染,108,159,18,1.6,67,97
2017,1,4,4,1,1,100,良,75,116,16,1.3,63,81
2017,1,5,5,1,1,78,良,57,101,19,1.2,60,71
2017,1,6,6,1,1,77,良,56,91,15,1.1,51,55
2017,1,7,7,2,1,64,良,45,78,13,1,44,65
2017,1,8,8,2,1,65,良,47,73,13,1.6,36,60
2017,1,9,9,2,1,63,良,45,73,15,1.7,38,50
2017,1,10,10,2,1,99,良,74,98,14,1.5,55,44
2017,1,11,11,2,1,40,优,20,40,10,1.5,30,23
2017,1,12,12,2,1,30,优,6,10,10,1.2,24,35
2017,1,13,13,2,1,33,优,15,28,10,1.1,26,41
2017,1,14,14,3,1,48,优,33,46,11,1,30,30
2017,1,15,15,3,1,43,优,30,40,10,1.1,32,28
2017,1,16,16,3,1,63,良,45,57,11,1.2,37,32
2017,1,17,17,3,1,42,优,24,28,10,1.3,33,19
2017,1,18,18,3,1,44,优,26,34,10,1.5,35,15
2017,1,19,19,3,1,37,优,21,31,10,1.4,29,16
2017,1,20,20,3,1,43,优,30,43,12,1,25,62
2017,1,21,21,4,1,84,良,62,83,14,1.1,28,62
2017,1,22,22,4,1,82,良,60,89,14,1.1,42,93
2017,1,23,23,4,1,90,良,67,102,16,1.2,50,104
2017,1,24,24,4,1,108,轻度污染,81,108,15,1.2,50,110
2017,1,25,25,4,1,117,轻度污染,88,112,17,1.2,41,114
2017,1,26,26,4,1,104,轻度污染,78,99,18,1.2,27,113
2017,1,27,27,4,1,100,良,75,100,14,1,21,104
2017,1,28,28,5,1,186,中度污染,140,212,26,0.9,18,95
2017,1,29,29,5,1,63,良,45,56,12,0.7,17,83
2017,1,30,30,5,1,89,良,66,82,13,1,19,88
2017,1,31,31,5,1,99,良,74,93,15,1.3,20,89
2017,2,1,32,5,1,95,良,71,85,13,1.4,20,55
2017,2,2,33,5,1,93,良,69,87,12,1.4,21,47
2017,2,3,34,5,1,104,轻度污染,78,98,13,1.5,28,67
2017,2,4,35,6,1,84,良,62,83,12,1.5,31,32
2017,2,5,36,6,1,52,良,36,44,11,1.3,24,69
2017,2,6,37,6,1,50,优,35,43,12,1,23,72
2017,2,7,38,6,1,57,良,40,51,11,1,23,71
2017,2,8,39,6,1,40,优,25,40,11,1.2,20,53
2017,2,9,40,6,1,41,优,25,41,14,1.1,16,77
2017,2,10,41,6,1,79,良,58,70,18,1.1,18,93
2017,2,11,42,7,1,77,良,56,73,19,1,22,93
2017,2,12,43,7,1,78,良,57,78,20,1,40,87
2017,2,13,44,7,1,100,良,75,113,22,1.3,63,115
2017,2,14,45,7,1,120,轻度污染,91,127,20,1.4,71,135
2017,2,15,46,7,1,84,良,62,93,17,1.2,53,95
2017,2,16,47,7,1,57,良,40,56,14,1.1,28,73
2017,2,17,48,7,1,54,良,34,57,14,1.1,37,84
2017,2,18,49,8,1,58,良,34,66,16,1,44,98
2017,2,19,50,8,1,57,良,36,64,15,0.9,39,94
2017,2,20,51,8,1,48,优,33,48,12,0.8,26,59
2017,2,21,52,8,1,48,优,32,48,12,0.9,25,67
2017,2,22,53,8,1,52,良,33,54,13,1,23,76
2017,2,23,54,8,1,35,优,13,35,12,0.9,17,58
2017,2,24,55,8,1,38,优,22,38,12,0.8,18,61
2017,2,25,56,9,1,40,优,26,40,14,0.9,24,58
2017,2,26,57,9,1,62,良,44,66,17,0.9,36,78
2017,2,27,58,9,1,85,良,63,92,23,1.2,44,87
2017,2,28,59,9,1,99,良,74,95,19,1.3,40,58
2017,3,1,60,9,2,95,良,71,102,15,1.3,46,80
2017,3,2,61,9,2,93,良,69,119,19,1.4,55,103
2017,3,3,62,9,2,77,良,56,91,17,1.2,37,101
2017,3,4,63,10,2,70,良,51,74,12,1.2,30,84
2017,3,5,64,10,2,67,良,48,74,12,1.3,40,66
2017,3,6,65,10,2,44,优,25,44,13,1.2,28,60
2017,3,7,66,10,2,57,良,40,56,13,1.3,36,39
2017,3,8,67,10,2,37,优,23,37,12,1.3,27,65
2017,3,9,68,10,2,49,优,34,44,12,1.4,36,46
2017,3,10,69,10,2,50,优,27,45,11,1.4,40,16
2017,3,11,70,11,2,43,优,30,43,11,1.4,34,32
2017,3,12,71,11,2,50,优,31,50,9,1.2,35,30
2017,3,13,72,11,2,56,良,36,61,10,1.1,36,72
2017,3,14,73,11,2,39,优,20,39,10,1,26,51
2017,3,15,74,11,2,42,优,22,35,9,1.1,33,28
2017,3,16,75,11,2,40,优,13,19,9,1.2,32,13
2017,3,17,76,11,2,39,优,24,36,10,1.2,31,10
2017,3,18,77,12,2,39,优,19,26,9,1.2,31,9
2017,3,19,78,12,2,45,优,19,30,9,1.3,36,18
2017,3,20,79,12,2,49,优,30,49,9,1.2,35,43
2017,3,21,80,12,2,40,优,26,40,9,1.3,30,27
2017,3,22,81,12,2,53,良,32,46,9,1.3,42,32
2017,3,23,82,12,2,52,良,34,53,10,1.1,30,54
2017,3,24,83,12,2,46,优,29,46,9,0.9,24,70
2017,3,25,84,13,2,29,优,13,24,10,1,21,57
2017,3,26,85,13,2,57,良,23,64,13,0.8,27,88
2017,3,27,86,13,2,70,良,45,89,17,1,51,61
2017,3,28,87,13,2,57,良,40,47,10,1.1,45,35
2017,3,29,88,13,2,54,良,32,48,9,1.3,43,23
2017,3,30,89,13,2,51,良,34,52,9,1.1,33,43
2017,3,31,90,13,2,38,优,21,34,10,1.1,25,76
2017,4,1,91,14,2,65,良,33,56,15,1.1,38,118
2017,4,2,92,14,2,72,良,52,82,15,1.1,44,119
2017,4,3,93,14,2,64,良,46,66,12,1,25,110
2017,4,4,94,14,2,51,良,31,51,11,0.9,18,91
2017,4,5,95,14,2,51,良,27,52,11,0.9,24,67
2017,4,6,96,14,2,47,优,27,47,10,1,28,52
2017,4,7,97,14,2,48,优,30,48,10,1,25,50
2017,4,8,98,15,2,40,优,21,40,10,1,28,50
2017,4,9,99,15,2,44,优,23,44,9,0.9,23,71
2017,4,10,100,15,2,59,良,35,67,10,1.1,31,110
2017,4,11,101,15,2,52,良,32,54,10,1.2,25,51
2017,4,12,102,15,2,49,优,23,49,12,1.1,35,79
2017,4,13,103,15,2,89,良,41,74,15,1.2,42,146
2017,4,14,104,15,2,54,良,38,55,11,1.3,31,71
2017,4,15,105,16,2,42,优,27,42,9,1.1,29,71
2017,4,16,106,16,2,43,优,24,43,10,0.9,29,74
2017,4,17,107,16,2,38,优,21,38,10,0.9,30,50
2017,4,18,108,16,2,52,良,31,53,11,1,35,67
2017,4,19,109,16,2,54,良,38,57,10,1,33,63
2017,4,20,110,16,2,52,良,35,53,8,0.9,21,100
2017,4,21,111,16,2,37,优,20,37,9,0.8,19,72
2017,4,22,112,17,2,45,优,16,44,9,0.7,25,90
2017,4,23,113,17,2,64,良,40,77,11,0.9,49,58
2017,4,24,114,17,2,68,良,49,78,10,1.1,48,20
