Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,139,轻度污染,106,204,31,2.1,84,55
2017,1,2,2,1,1,133,轻度污染,101,153,30,1.6,52,80
2017,1,3,3,1,1,196,中度污染,147,194,34,1.9,54,78
2017,1,4,4,1,1,222,重度污染,172,242,35,2.1,65,73
2017,1,5,5,1,1,172,中度污染,130,194,22,2.2,63,18
2017,1,6,6,1,1,38,优,15,29,9,1.2,30,24
2017,1,7,7,2,1,33,优,9,16,6,1.2,26,13
2017,1,8,8,2,1,33,优,17,33,7,1.2,23,51
2017,1,9,9,2,1,85,良,63,89,21,1.6,29,86
2017,1,10,10,2,1,114,轻度污染,86,108,22,1.6,34,49
2017,1,11,11,2,1,104,轻度污染,78,92,17,1.5,38,28
2017,1,12,12,2,1,62,良,44,56,11,1.4,36,39
2017,1,13,13,2,1,68,良,49,82,14,1.2,42,78
2017,1,14,14,3,1,92,良,68,109,24,1.1,38,73
2017,1,15,15,3,1,69,良,50,87,19,0.9,41,47
2017,1,16,16,3,1,69,良,50,88,21,1,39,73
2017,1,17,17,3,1,75,良,55,82,15,0.9,40,41
2017,1,18,18,3,1,92,良,68,97,16,1.1,53,16
2017,1,19,19,3,1,104,轻度污染,78,102,11,1,41,24
2017,1,20,20,3,1,110,轻度污染,83,134,17,1,29,82
2017,1,21,21,4,1,81,良,44,111,23,1,47,62
2017,1,22,22,4,1,94,良,70,123,18,1,46,96
2017,1,23,23,4,1,74,良,54,97,22,1,37,90
2017,1,24,24,4,1,77,良,56,93,16,1,32,88
2017,1,25,25,4,1,74,良,54,90,14,1.1,35,51
2017,1,26,26,4,1,87,良,64,103,9,1.2,33,86
2017,1,27,27,4,1,100,良,75,128,14,1.2,22,97
2017,1,28,28,5,1,231,重度污染,181,260,39,1.7,32,84
2017,1,29,29,5,1,137,轻度污染,104,144,10,1.4,21,66
2017,1,30,30,5,1,85,良,63,107,9,1.2,11,85
2017,1,31,31,5,1,64,良,46,74,13,1,17,60
2017,2,1,32,5,1,77,良,56,80,10,1,17,52
2017,2,2,33,5,1,70,良,51,70,8,0.9,16,49
2017,2,3,34,5,1,113,轻度污染,85,109,10,1.2,24,39
2017,2,4,35,6,1,78,良,57,73,5,1.3,27,19
2017,2,5,36,6,1,52,良,34,54,4,1.2,22,43
2017,2,6,37,6,1,62,良,44,71,10,1.4,25,56
2017,2,7,38,6,1,75,良,55,82,12,1.1,25,56
2017,2,8,39,6,1,27,优,17,24,4,0.8,17,54
2017,2,9,40,6,1,87,良,64,82,10,0.9,24,83
2017,2,10,41,6,1,85,良,63,88,16,0.8,31,106
2017,2,11,42,7,1,92,良,68,111,26,0.9,37,112
2017,2,12,43,7,1,150,轻度污染,115,178,24,1.4,67,108
2017,2,13,44,7,1,103,轻度污染,77,142,18,1.4,71,106
2017,2,14,45,7,1,70,良,47,90,19,1,56,99
2017,2,15,46,7,1,95,良,60,139,28,1.5,71,98
2017,2,16,47,7,1,118,轻度污染,88,186,33,1.9,70,123
2017,2,17,48,7,1,147,轻度污染,112,227,19,1.9,50,88
2017,2,18,49,8,1,107,轻度污染,80,123,11,1.4,31,58
2017,2,19,50,8,1,150,轻度污染,115,202,31,1.9,57,63
2017,2,20,51,8,1,156,中度污染,119,232,25,2,45,60
2017,2,21,52,8,1,71,良,28,92,12,0.8,23,52
2017,2,22,53,8,1,30,优,15,30,6,0.8,18,54
2017,2,23,54,8,1,69,良,50,63,12,1,19,83
2017,2,24,55,8,1,60,良,43,63,11,0.9,28,89
2017,2,25,56,9,1,68,良,49,86,19,1,46,115
2017,2,26,57,9,1,88,良,62,126,20,1.2,61,128
2017,2,27,58,9,1,74,良,50,98,23,1,52,127
2017,2,28,59,9,1,86,良,58,122,27,1.2,65,141
2017,3,1,60,9,2,97,良,57,144,17,1,56,102
