Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,203,重度污染,153,191,31,2.4,115,47
2017,1,2,2,1,1,226,重度污染,176,186,16,2,90,34
2017,1,3,3,1,1,180,中度污染,136,184,20,2.4,104,36
2017,1,4,4,1,1,252,重度污染,202,228,15,2.8,122,20
2017,1,5,5,1,1,77,良,32,32,13,1.3,61,62
2017,1,6,6,1,1,59,良,16,18,11,0.8,47,57
2017,1,7,7,2,1,75,良,55,80,9,1.5,46,37
2017,1,8,8,2,1,140,轻度污染,107,101,9,1.4,37,56
2017,1,9,9,2,1,158,中度污染,120,136,14,1.8,68,73
2017,1,10,10,2,1,150,轻度污染,115,110,17,1.5,60,58
2017,1,11,11,2,1,143,轻度污染,109,126,18,1.4,70,77
2017,1,12,12,2,1,137,轻度污染,104,130,15,1.3,70,72
2017,1,13,13,2,1,105,轻度污染,79,111,19,1.1,72,72
2017,1,14,14,3,1,95,良,71,62,15,0.9,55,72
2017,1,15,15,3,1,65,良,34,51,12,0.6,52,57
2017,1,16,16,3,1,79,良,47,66,14,0.8,63,52
2017,1,17,17,3,1,94,良,52,78,14,1,75,34
2017,1,18,18,3,1,112,轻度污染,84,107,13,1.1,61,35
2017,1,19,19,3,1,112,轻度污染,84,115,12,1,50,47
2017,1,20,20,3,1,75,良,49,99,20,0.7,56,68
2017,1,21,21,4,1,84,良,49,91,18,0.7,67,78
2017,1,22,22,4,1,128,轻度污染,97,135,27,1.2,88,53
2017,1,23,23,4,1,99,良,74,89,22,1.1,70,70
2017,1,24,24,4,1,74,良,54,67,17,0.9,57,67
2017,1,25,25,4,1,100,良,75,83,18,1.1,64,77
2017,1,26,26,4,1,122,轻度污染,92,86,16,1,46,94
2017,1,27,27,4,1,169,中度污染,128,159,23,1.1,29,85
2017,1,28,28,5,1,170,中度污染,129,166,27,1,32,74
2017,1,29,29,5,1,120,轻度污染,91,122,13,1.1,25,28
2017,1,30,30,5,1,73,良,53,53,13,0.8,18,77
2017,1,31,31,5,1,53,良,37,46,12,0.7,23,73
2017,2,1,32,5,1,55,良,39,44,14,0.6,22,72
2017,2,2,33,5,1,123,轻度污染,93,75,15,1.2,39,92
2017,2,3,34,5,1,108,轻度污染,81,78,13,1.2,51,42
2017,2,4,35,6,1,140,轻度污染,107,106,13,1.3,59,37
2017,2,5,36,6,1,120,轻度污染,91,94,17,1.4,61,62
2017,2,6,37,6,1,140,轻度污染,107,82,16,1.2,56,85
2017,2,7,38,6,1,53,良,37,42,14,0.7,37,59
2017,2,8,39,6,1,105,轻度污染,79,88,24,0.9,39,59
2017,2,9,40,6,1,150,轻度污染,115,99,25,1.1,37,102
2017,2,10,41,6,1,153,中度污染,117,95,21,1.1,52,103
2017,2,11,42,7,1,128,轻度污染,97,109,19,1.1,77,99
