Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,152,中度污染,116,177,72,3.3,72,32
2017,1,2,2,1,1,128,轻度污染,97,152,81,3.2,75,33
2017,1,3,3,1,1,162,中度污染,123,177,85,3.5,77,32
2017,1,4,4,1,1,124,轻度污染,94,154,93,3.7,89,28
2017,1,5,5,1,1,137,轻度污染,104,158,106,3.6,89,21
2017,1,6,6,1,1,107,轻度污染,80,105,57,2.2,52,58
2017,1,7,7,2,1,45,优,24,33,45,1.2,35,68
2017,1,8,8,2,1,89,良,66,86,44,2,47,63
2017,1,9,9,2,1,63,良,45,62,44,1.6,46,51
2017,1,10,10,2,1,73,良,53,70,50,1.9,50,54
2017,1,11,11,2,1,122,轻度污染,92,119,60,2.9,68,38
2017,1,12,12,2,1,132,轻度污染,100,142,60,2.8,66,39
2017,1,13,13,2,1,74,良,54,81,54,1.9,56,57
2017,1,14,14,3,1,93,良,55,82,71,2.6,74,51
2017,1,15,15,3,1,124,轻度污染,94,137,89,3.5,76,30
2017,1,16,16,3,1,137,轻度污染,104,152,66,3.1,65,51
2017,1,17,17,3,1,84,良,62,109,50,2.4,56,62
2017,1,18,18,3,1,79,良,50,95,68,2.4,63,58
2017,1,19,19,3,1,44,优,12,44,30,1.1,22,88
2017,1,20,20,3,1,72,良,52,83,52,2.2,55,63
2017,1,21,21,4,1,43,优,21,41,40,1.3,34,80
2017,1,22,22,4,1,80,良,54,84,65,2.4,64,57
2017,1,23,23,4,1,99,良,74,119,84,3,77,52
2017,1,24,24,4,1,97,良,68,105,79,3.2,77,53
2017,1,25,25,4,1,133,轻度污染,101,148,92,3.5,80,58
2017,1,26,26,4,1,83,良,41,115,40,1.5,29,83
2017,1,27,27,4,1,97,良,72,105,69,2.2,52,59
2017,1,28,28,5,1,437,严重污染,190,537,151,3.5,57,77
2017,1,29,29,5,1,48,优,12,48,27,1.3,15,77
2017,1,30,30,5,1,50,优,29,45,50,1.9,37,68
2017,1,31,31,5,1,62,良,44,69,66,1.8,40,64
2017,2,1,32,5,1,56,良,33,57,61,1.6,39,74
2017,2,2,33,5,1,109,轻度污染,82,121,87,2.8,58,70
2017,2,3,34,5,1,180,中度污染,136,191,85,3.3,66,45
2017,2,4,35,6,1,129,轻度污染,98,143,56,2.5,42,77
2017,2,5,36,6,1,59,良,41,68,61,1.7,43,61
2017,2,6,37,6,1,56,良,31,62,56,1.8,43,61
2017,2,7,38,6,1,82,良,60,84,43,1.7,38,72
2017,2,8,39,6,1,45,优,8,15,20,0.8,16,89
2017,2,9,40,6,1,45,优,29,45,35,1.2,28,77
2017,2,10,41,6,1,57,良,40,58,46,1.6,43,68
2017,2,11,42,7,1,134,轻度污染,102,136,70,2.4,61,66
2017,2,12,43,7,1,119,轻度污染,90,122,71,2.7,68,60
2017,2,13,44,7,1,95,良,71,118,66,2.6,70,60
2017,2,14,45,7,1,102,轻度污染,76,125,74,2.9,72,61
2017,2,15,46,7,1,155,中度污染,118,175,81,2.7,75,78
2017,2,16,47,7,1,55,良,13,59,25,0.8,19,91
2017,2,17,48,7,1,56,良,30,61,47,1.3,42,76
2017,2,18,49,8,1,107,轻度污染,80,140,73,2.4,64,70
2017,2,19,50,8,1,67,良,37,84,36,1.4,33,96
2017,2,20,51,8,1,44,优,13,33,33,1,30,87
2017,2,21,52,8,1,62,良,44,65,38,1.4,41,69
2017,2,22,53,8,1,50,优,16,33,28,1,24,99
2017,2,23,54,8,1,77,良,56,69,49,1.9,58,86
2017,2,24,55,8,1,124,轻度污染,94,113,54,2.2,70,104
2017,2,25,56,9,1,137,轻度污染,104,130,54,2.4,72,89
2017,2,26,57,9,1,127,轻度污染,96,111,59,2.4,76,97
2017,2,27,58,9,1,169,中度污染,128,170,63,2.5,77,86
2017,2,28,59,9,1,67,良,48,69,43,1.7,46,78
2017,3,1,60,9,2,48,优,18,43,30,1.1,30,95
2017,3,2,61,9,2,79,良,46,81,66,1.8,63,76
2017,3,3,62,9,2,85,良,62,110,65,2.3,68,76
2017,3,4,63,10,2,59,良,37,68,47,1.7,44,86
2017,3,5,64,10,2,46,优,9,31,25,0.8,23,92
2017,3,6,65,10,2,43,优,14,32,29,1,26,85
2017,3,7,66,10,2,44,优,9,22,23,0.9,21,87
2017,3,8,67,10,2,52,良,26,53,43,1.3,41,80
2017,3,9,68,10,2,68,良,48,85,52,1.7,52,84
2017,3,10,69,10,2,80,良,59,102,64,1.9,64,93
2017,3,11,70,11,2,61,良,34,72,40,1.4,41,90
2017,3,12,71,11,2,49,优,10,25,30,0.9,27,98
2017,3,13,72,11,2,50,优,17,42,39,1.1,40,88
2017,3,14,73,11,2,64,良,28,70,44,1.4,51,107
2017,3,15,74,11,2,89,良,64,128,68,1.6,68,109
2017,3,16,75,11,2,115,轻度污染,87,149,66,1.8,60,108
2017,3,17,76,11,2,74,良,54,88,41,1.4,49,77
2017,3,18,77,12,2,78,良,48,106,45,1.6,57,111
