Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,238,重度污染,188,238,75,2.8,79,26
2017,1,2,2,1,1,247,重度污染,197,234,74,2.4,84,33
2017,1,3,3,1,1,122,轻度污染,92,118,65,1.3,65,48
2017,1,4,4,1,1,277,重度污染,227,263,75,3.2,90,39
2017,1,5,5,1,1,270,重度污染,220,303,110,3.6,116,29
2017,1,6,6,1,1,193,中度污染,145,178,93,2.4,100,39
2017,1,7,7,2,1,288,重度污染,238,279,112,3.2,124,36
2017,1,8,8,2,1,346,严重污染,296,346,99,3.5,130,34
2017,1,9,9,2,1,69,良,50,79,40,1.3,43,58
2017,1,10,10,2,1,49,优,29,38,32,1.4,39,50
2017,1,11,11,2,1,59,良,38,50,36,1.4,47,56
2017,1,12,12,2,1,67,良,48,64,40,1.5,47,55
2017,1,13,13,2,1,52,良,30,48,34,0.9,41,54
2017,1,14,14,3,1,52,良,29,41,42,0.9,41,55
2017,1,15,15,3,1,72,良,52,69,52,1.3,56,49
2017,1,16,16,3,1,241,重度污染,191,208,80,2.8,95,39
2017,1,17,17,3,1,320,严重污染,270,295,103,3.2,127,28
2017,1,18,18,3,1,227,重度污染,177,201,64,1.7,86,52
2017,1,19,19,3,1,210,重度污染,160,181,72,1.7,81,36
2017,1,20,20,3,1,172,中度污染,130,161,55,1.6,68,47
2017,1,21,21,4,1,118,轻度污染,89,110,69,1.3,63,40
2017,1,22,22,4,1,90,良,67,70,45,1,49,54
2017,1,23,23,4,1,110,轻度污染,83,90,50,1.3,57,54
2017,1,24,24,4,1,178,中度污染,134,154,72,1.8,75,57
2017,1,25,25,4,1,139,轻度污染,106,136,85,1.3,66,73
2017,1,26,26,4,1,82,良,60,90,47,1.2,41,75
2017,1,27,27,4,1,58,良,41,55,45,1.4,30,74
2017,1,28,28,5,1,266,重度污染,216,257,94,2.2,61,56
2017,1,29,29,5,1,95,良,71,83,52,1.6,43,67
2017,1,30,30,5,1,73,良,53,64,43,1.6,39,63
2017,1,31,31,5,1,73,良,53,68,48,1.5,41,66
2017,2,1,32,5,1,44,优,29,44,34,1.1,29,64
2017,2,2,33,5,1,59,良,42,56,44,1.5,46,73
2017,2,3,34,5,1,173,中度污染,131,149,66,2.2,76,90
2017,2,4,35,6,1,276,重度污染,226,260,90,3.5,107,74
2017,2,5,36,6,1,144,轻度污染,110,141,58,1.8,70,78
2017,2,6,37,6,1,58,良,31,48,38,1.6,46,70
2017,2,7,38,6,1,110,轻度污染,83,104,53,2.4,72,56
2017,2,8,39,6,1,156,中度污染,119,143,44,2.5,69,65
2017,2,9,40,6,1,60,良,43,58,35,1.3,47,71
2017,2,10,41,6,1,50,优,26,40,28,1,40,73
2017,2,11,42,7,1,89,良,66,73,41,1.2,47,65
2017,2,12,43,7,1,226,重度污染,176,175,58,2,77,68
2017,2,13,44,7,1,196,中度污染,147,164,52,2.3,92,72
2017,2,14,45,7,1,144,轻度污染,110,130,55,1.8,76,108
2017,2,15,46,7,1,112,轻度污染,84,106,49,1.5,61,96
2017,2,16,47,7,1,73,良,53,84,27,1.4,40,81
2017,2,17,48,7,1,47,优,20,40,22,1.6,37,77
2017,2,18,49,8,1,70,良,42,63,35,1.9,56,69
2017,2,19,50,8,1,72,良,36,93,35,1.6,51,68
2017,2,20,51,8,1,53,良,28,48,30,1.4,42,77
2017,2,21,52,8,1,80,良,59,79,58,1.6,59,95
2017,2,22,53,8,1,64,良,46,64,41,1.3,44,82
2017,2,23,54,8,1,60,良,37,51,41,1.6,48,90
2017,2,24,55,8,1,68,良,48,61,46,1.7,54,86
2017,2,25,56,9,1,69,良,48,58,38,1.5,55,98
2017,2,26,57,9,1,109,轻度污染,82,102,54,1.9,78,100
2017,2,27,58,9,1,80,良,59,77,56,1.4,53,115
2017,2,28,59,9,1,68,良,46,60,41,1.4,54,106
2017,3,1,60,9,2,44,优,23,33,23,1.5,35,75
2017,3,2,61,9,2,73,良,48,72,41,1.9,58,72
2017,3,3,62,9,2,57,良,35,55,33,1.5,45,93
2017,3,4,63,10,2,65,良,38,57,37,1.7,52,75
2017,3,5,64,10,2,85,良,63,91,42,2,65,90
2017,3,6,65,10,2,63,良,41,66,35,1.5,50,82
2017,3,7,66,10,2,43,优,23,37,29,1.2,34,84
2017,3,8,67,10,2,50,优,24,39,31,1.3,40,82
2017,3,9,68,10,2,62,良,27,45,29,1.1,49,81
2017,3,10,69,10,2,83,良,45,69,33,1.8,66,98
2017,3,11,70,11,2,78,良,56,85,44,1.5,62,120
2017,3,12,71,11,2,78,良,57,81,26,1.3,44,69
2017,3,13,72,11,2,57,良,26,39,25,1.2,45,56
2017,3,14,73,11,2,63,良,24,46,30,1.4,50,90
2017,3,15,74,11,2,78,良,57,90,42,1.7,62,99
2017,3,16,75,11,2,160,中度污染,122,152,48,2.1,86,99
2017,3,17,76,11,2,107,轻度污染,80,126,38,1.9,83,92
2017,3,18,77,12,2,90,良,46,83,41,1.4,72,85
2017,3,19,78,12,2,61,良,39,71,24,1.2,37,99
2017,3,20,79,12,2,64,良,46,72,27,1.3,50,78
2017,3,21,80,12,2,55,良,34,55,26,1.2,44,90
2017,3,22,81,12,2,55,良,24,47,22,1.2,44,86
2017,3,23,82,12,2,60,良,40,66,27,1.2,48,84
2017,3,24,83,12,2,62,良,44,74,26,1.2,49,103
2017,3,25,84,13,2,114,轻度污染,86,117,29,1.3,57,117
2017,3,26,85,13,2,84,良,62,99,27,1.5,62,114
2017,3,27,86,13,2,124,轻度污染,94,135,30,1.4,70,106
2017,3,28,87,13,2,169,中度污染,128,169,34,1.7,70,119
2017,3,29,88,13,2,150,轻度污染,115,161,30,1.6,64,92
2017,3,30,89,13,2,80,良,59,84,24,1.2,58,101
2017,3,31,90,13,2,143,轻度污染,109,155,29,1.5,72,89
2017,4,1,91,14,2,119,轻度污染,90,115,29,1.5,72,109
2017,4,2,92,14,2,124,轻度污染,94,141,27,1.4,57,121
2017,4,3,93,14,2,232,重度污染,182,223,36,2,84,163
2017,4,4,94,14,2,223,重度污染,173,307,39,1.8,64,194
2017,4,5,95,14,2,199,中度污染,141,347,32,1.6,49,144
2017,4,6,96,14,2,175,中度污染,132,132,26,1.7,49,97
2017,4,7,97,14,2,94,良,70,85,25,1.6,53,97
