Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,241,重度污染,191,248,27,3.8,80,12
2017,1,2,2,1,1,330,严重污染,280,318,30,6.2,132,26
2017,1,3,3,1,1,314,严重污染,264,308,27,6.1,113,13
2017,1,4,4,1,1,296,重度污染,246,291,25,7.9,132,10
2017,1,5,5,1,1,125,轻度污染,95,118,29,2.1,68,32
2017,1,6,6,1,1,139,轻度污染,106,135,40,2,93,14
2017,1,7,7,2,1,226,重度污染,176,216,41,3,97,13
2017,1,8,8,2,1,179,中度污染,135,172,25,2.9,71,43
2017,1,9,9,2,1,63,良,37,75,18,1.1,47,53
2017,1,10,10,2,1,66,良,47,81,17,1.2,50,65
2017,1,11,11,2,1,192,中度污染,144,192,49,2.6,92,34
2017,1,12,12,2,1,185,中度污染,139,176,43,2.8,98,29
2017,1,13,13,2,1,40,优,20,38,8,0.7,32,69
2017,1,14,14,3,1,49,优,18,43,16,0.9,39,49
2017,1,15,15,3,1,65,良,30,46,27,0.9,52,47
2017,1,16,16,3,1,88,良,65,86,26,1.8,67,17
2017,1,17,17,3,1,170,中度污染,129,162,40,3.1,74,9
2017,1,18,18,3,1,150,轻度污染,115,135,37,2.8,78,32
2017,1,19,19,3,1,78,良,57,97,23,1.5,45,69
2017,1,20,20,3,1,48,优,23,40,15,1,38,66
2017,1,21,21,4,1,60,良,36,69,18,1.1,39,70
2017,1,22,22,4,1,53,良,29,47,15,1.1,42,60
2017,1,23,23,4,1,90,良,55,74,43,1.9,72,43
2017,1,24,24,4,1,122,轻度污染,92,110,36,2.9,81,39
2017,1,25,25,4,1,260,重度污染,210,237,71,3,97,37
2017,1,26,26,4,1,267,重度污染,217,263,35,2.8,70,58
2017,1,27,27,4,1,89,良,59,128,34,1.1,34,79
2017,1,28,28,5,1,235,重度污染,185,233,90,2.3,60,31
2017,1,29,29,5,1,92,良,68,114,16,1.4,26,77
2017,1,30,30,5,1,40,优,19,29,11,0.8,23,79
2017,1,31,31,5,1,92,良,68,87,32,1.6,43,82
2017,2,1,32,5,1,52,良,36,54,23,1.1,31,76
2017,2,2,33,5,1,109,轻度污染,82,107,36,1.6,56,83
2017,2,3,34,5,1,208,重度污染,158,176,33,2,63,93
2017,2,4,35,6,1,239,重度污染,189,222,21,1.9,51,49
2017,2,5,36,6,1,77,良,56,55,12,1,36,88
2017,2,6,37,6,1,47,优,19,37,16,1,37,70
2017,2,7,38,6,1,82,良,47,64,39,1.3,65,44
2017,2,8,39,6,1,64,良,46,77,15,1.1,39,89
2017,2,9,40,6,1,43,优,11,41,6,0.6,19,86
2017,2,10,41,6,1,43,优,14,40,9,0.7,27,85
2017,2,11,42,7,1,87,良,64,104,40,1.2,56,76
2017,2,12,43,7,1,228,重度污染,178,242,71,2.6,110,45
2017,2,13,44,7,1,224,重度污染,174,230,41,2.9,97,52
2017,2,14,45,7,1,137,轻度污染,104,142,28,2,91,54
2017,2,15,46,7,1,289,重度污染,239,312,44,3.2,126,39
2017,2,16,47,7,1,205,重度污染,155,274,34,2.8,90,42
2017,2,17,48,7,1,62,良,32,74,15,1.1,48,84
2017,2,18,49,8,1,127,轻度污染,96,141,46,1.7,85,65
2017,2,19,50,8,1,163,中度污染,124,200,33,1.8,69,79
2017,2,20,51,8,1,49,优,16,49,9,0.7,32,91
2017,2,21,52,8,1,100,良,55,86,38,1.5,80,32
2017,2,22,53,8,1,149,轻度污染,114,153,21,2.1,65,78
2017,2,23,54,8,1,52,良,26,42,11,1,41,86
2017,2,24,55,8,1,87,良,64,101,23,1.5,67,82
2017,2,25,56,9,1,83,良,33,62,15,1.1,66,83
2017,2,26,57,9,1,93,良,55,91,27,1.9,74,74
2017,2,27,58,9,1,127,轻度污染,96,144,42,1.8,88,80
2017,2,28,59,9,1,98,良,72,138,29,1.9,78,87
2017,3,1,60,9,2,62,良,34,73,14,1.1,39,96
2017,3,2,61,9,2,66,良,32,82,17,1.1,51,82
2017,3,3,62,9,2,95,良,71,136,26,1.4,65,67
2017,3,4,63,10,2,142,轻度污染,108,155,31,2,86,75
2017,3,5,64,10,2,72,良,52,78,14,1.3,42,80
2017,3,6,65,10,2,59,良,31,67,14,1.1,44,79
2017,3,7,66,10,2,43,优,14,38,8,0.8,26,86
2017,3,8,67,10,2,59,良,24,60,12,1,47,100
2017,3,9,68,10,2,72,良,32,69,16,1,57,96
2017,3,10,69,10,2,112,轻度污染,84,142,38,1.6,89,92
2017,3,11,70,11,2,128,轻度污染,97,153,41,1.5,91,89
2017,3,12,71,11,2,58,良,18,65,10,0.8,38,96
2017,3,13,72,11,2,83,良,38,84,22,1.2,66,85
2017,3,14,73,11,2,93,良,65,115,34,1.7,74,76
2017,3,15,74,11,2,101,轻度污染,73,113,43,1.4,82,101
2017,3,16,75,11,2,130,轻度污染,99,150,34,1.4,82,132
2017,3,17,76,11,2,144,轻度污染,110,161,27,1.4,81,122
2017,3,18,77,12,2,252,重度污染,202,274,44,2.9,119,136
2017,3,19,78,12,2,223,重度污染,173,213,42,2,95,160
2017,3,20,79,12,2,107,轻度污染,80,153,28,1.4,68,86
2017,3,21,80,12,2,99,良,74,123,27,1.4,65,116
2017,3,22,81,12,2,139,轻度污染,106,160,54,1.6,85,101
2017,3,23,82,12,2,110,轻度污染,83,88,20,1.2,67,74
2017,3,24,83,12,2,77,良,56,65,10,0.9,46,90
2017,3,25,84,13,2,117,轻度污染,88,106,12,1.6,58,72
2017,3,26,85,13,2,55,良,31,48,9,0.8,44,100
2017,3,27,86,13,2,63,良,24,53,10,0.7,50,103
2017,3,28,87,13,2,84,良,52,89,22,1,67,115
2017,3,29,88,13,2,114,轻度污染,86,114,19,1.1,48,128
2017,3,30,89,13,2,104,轻度污染,78,137,20,1.1,64,84
2017,3,31,90,13,2,72,良,49,94,15,0.9,56,114
2017,4,1,91,14,2,100,良,75,124,27,1.5,62,114
2017,4,2,92,14,2,139,轻度污染,106,158,33,1.6,94,113
2017,4,3,93,14,2,173,中度污染,131,178,34,1.6,84,185
2017,4,4,94,14,2,130,轻度污染,99,141,42,1.3,64,114
2017,4,5,95,14,2,72,良,52,65,12,1,45,106
2017,4,6,96,14,2,139,轻度污染,106,149,17,1.3,53,138
2017,4,7,97,14,2,87,良,64,120,16,1.3,57,108
2017,4,8,98,15,2,95,良,59,130,18,1.6,76,61
2017,4,9,99,15,2,87,良,46,103,26,1.4,69,70
2017,4,10,100,15,2,75,良,54,100,23,1.1,52,119
2017,4,11,101,15,2,78,良,41,106,16,1.1,51,106
2017,4,12,102,15,2,104,轻度污染,66,157,23,1.3,60,119
2017,4,13,103,15,2,113,轻度污染,85,160,26,1.7,72,88
2017,4,14,104,15,2,90,良,67,122,21,1.2,54,123
2017,4,15,105,16,2,115,轻度污染,84,180,28,1.3,72,134
2017,4,16,106,16,2,144,轻度污染,110,200,27,1.6,71,118
2017,4,17,107,16,2,133,轻度污染,101,213,12,1.1,40,111
