Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,379,严重污染,329,414,327,4.4,114,14
2017,1,2,2,1,1,418,严重污染,377,468,359,5.1,120,14
2017,1,3,3,1,1,359,严重污染,309,406,329,4.5,122,19
2017,1,4,4,1,1,182,中度污染,137,209,193,2.6,87,23
2017,1,5,5,1,1,125,轻度污染,95,132,80,1.7,52,62
2017,1,6,6,1,1,230,重度污染,180,220,168,2.7,76,27
2017,1,7,7,2,1,334,严重污染,284,341,254,3.9,85,21
2017,1,8,8,2,1,109,轻度污染,82,110,129,1.6,53,32
2017,1,9,9,2,1,95,良,71,107,99,1.5,57,30
2017,1,10,10,2,1,69,良,50,87,75,1.2,53,38
2017,1,11,11,2,1,83,良,59,96,115,1.4,48,54
2017,1,12,12,2,1,70,良,51,89,74,1.2,45,56
2017,1,13,13,2,1,82,良,60,111,101,1.6,60,37
2017,1,14,14,3,1,100,良,75,125,101,1.6,68,26
2017,1,15,15,3,1,286,重度污染,236,317,174,3.2,92,10
2017,1,16,16,3,1,319,严重污染,269,365,279,3.8,99,16
2017,1,17,17,3,1,127,轻度污染,96,144,140,1.8,62,49
2017,1,18,18,3,1,99,良,74,121,138,1.6,69,28
2017,1,19,19,3,1,71,良,46,92,53,0.9,24,65
2017,1,20,20,3,1,89,良,47,91,127,1.3,50,43
2017,1,21,21,4,1,78,良,57,97,98,1.3,37,65
2017,1,22,22,4,1,88,良,57,103,125,1.6,55,45
2017,1,23,23,4,1,124,轻度污染,94,140,186,2.2,75,30
2017,1,24,24,4,1,178,中度污染,134,195,207,2.6,80,34
2017,1,25,25,4,1,348,严重污染,298,373,283,3.7,99,44
2017,1,26,26,4,1,226,重度污染,176,246,155,2.4,49,63
2017,1,27,27,4,1,83,良,57,116,111,1.4,38,50
2017,1,28,28,5,1,254,重度污染,204,277,230,2.5,64,43
2017,1,29,29,5,1,83,良,50,116,50,1.1,21,53
2017,1,30,30,5,1,64,良,36,74,77,1.1,30,48
2017,1,31,31,5,1,162,中度污染,123,165,230,2.3,60,30
2017,2,1,32,5,1,99,良,74,111,108,1.5,47,48
2017,2,2,33,5,1,211,重度污染,161,213,219,2.6,71,39
2017,2,3,34,5,1,261,重度污染,211,267,284,3.2,84,42
2017,2,4,35,6,1,236,重度污染,186,240,242,3,76,53
2017,2,5,36,6,1,94,良,70,107,109,1.8,61,48
2017,2,6,37,6,1,147,轻度污染,112,151,67,1.7,49,49
2017,2,7,38,6,1,128,轻度污染,97,134,141,1.7,58,29
2017,2,8,39,6,1,69,良,49,88,62,1,28,60
2017,2,9,40,6,1,48,优,23,48,47,0.7,26,52
2017,2,10,41,6,1,73,良,42,69,96,1.2,48,44
2017,2,11,42,7,1,109,轻度污染,82,126,175,1.9,60,47
2017,2,12,43,7,1,102,轻度污染,76,114,140,1.8,63,49
2017,2,13,44,7,1,102,轻度污染,76,125,118,1.9,70,53
2017,2,14,45,7,1,175,中度污染,132,206,203,2.4,87,40
2017,2,15,46,7,1,216,重度污染,166,237,174,2.4,74,72
2017,2,16,47,7,1,149,轻度污染,114,179,106,1.8,59,50
2017,2,17,48,7,1,76,良,47,102,83,1.3,53,40
2017,2,18,49,8,1,118,轻度污染,89,173,155,2.1,66,60
2017,2,19,50,8,1,127,轻度污染,96,193,122,2,58,63
2017,2,20,51,8,1,70,良,23,90,29,0.9,26,54
2017,2,21,52,8,1,69,良,47,88,49,1.1,32,52
2017,2,22,53,8,1,175,中度污染,132,140,144,1.9,53,56
2017,2,23,54,8,1,58,良,39,66,62,1.1,44,55
2017,2,24,55,8,1,78,良,55,96,106,1.6,53,62
2017,2,25,56,9,1,70,良,50,89,70,1.4,53,63
2017,2,26,57,9,1,79,良,58,106,108,1.7,61,51
2017,2,27,58,9,1,97,良,72,126,110,1.8,61,68
2017,2,28,59,9,1,92,良,68,126,88,1.6,61,49
2017,3,1,60,9,2,53,良,18,56,22,0.8,21,78
2017,3,2,61,9,2,102,轻度污染,58,109,157,1.8,63,61
2017,3,3,62,9,2,107,轻度污染,80,141,119,2,70,66
2017,3,4,63,10,2,105,轻度污染,79,150,103,2.1,77,56
2017,3,5,64,10,2,58,良,23,65,28,1,25,72
2017,3,6,65,10,2,52,良,19,54,30,1,26,74
2017,3,7,66,10,2,47,优,18,47,28,1.1,24,63
2017,3,8,67,10,2,53,良,27,55,41,1.1,36,66
2017,3,9,68,10,2,74,良,50,98,86,1.5,59,57
2017,3,10,69,10,2,91,良,67,131,94,1.7,71,59
2017,3,11,70,11,2,94,良,68,138,79,1.5,62,79
2017,3,12,71,11,2,59,良,21,68,28,0.8,25,73
2017,3,13,72,11,2,71,良,37,91,53,1.1,55,67
2017,3,14,73,11,2,88,良,58,125,77,1.5,60,75
2017,3,15,74,11,2,84,良,54,118,73,1.4,55,80
2017,3,16,75,11,2,115,轻度污染,87,146,120,1.5,60,86
2017,3,17,76,11,2,153,中度污染,117,180,120,1.8,68,83
2017,3,18,77,12,2,100,良,75,147,55,1.5,52,111
2017,3,19,78,12,2,168,中度污染,127,186,49,1.5,46,129
2017,3,20,79,12,2,98,良,73,105,39,1.3,46,82
2017,3,21,80,12,2,124,轻度污染,94,145,56,1.5,53,113
2017,3,22,81,12,2,117,轻度污染,88,140,37,1.5,46,78
2017,3,23,82,12,2,78,良,57,74,29,1.6,45,45
2017,3,24,83,12,2,83,良,61,96,58,1.3,36,79
2017,3,25,84,13,2,43,优,20,43,13,0.7,17,80
2017,3,26,85,13,2,43,优,21,41,19,0.7,26,85
2017,3,27,86,13,2,75,良,41,100,53,1.1,49,87
2017,3,28,87,13,2,75,良,54,99,31,1,36,86
2017,3,29,88,13,2,90,良,60,130,60,1.2,64,109
2017,3,30,89,13,2,81,良,37,112,36,0.9,49,84
2017,3,31,90,13,2,59,良,25,68,23,0.8,34,83
2017,4,1,91,14,2,74,良,29,98,33,0.9,49,89
2017,4,2,92,14,2,90,良,43,130,47,1.2,63,100
2017,4,3,93,14,2,97,良,57,144,36,1.2,55,112
2017,4,4,94,14,2,65,良,45,80,23,1.1,30,89
2017,4,5,95,14,2,79,良,58,90,27,1.3,54,106
2017,4,6,96,14,2,88,良,63,126,36,1.5,54,138
2017,4,7,97,14,2,129,轻度污染,98,156,41,1.6,41,147
2017,4,8,98,15,2,66,良,47,82,16,1.2,32,67
2017,4,9,99,15,2,39,优,18,32,10,1,31,73
2017,4,10,100,15,2,110,轻度污染,83,108,69,1.8,63,56
2017,4,11,101,15,2,83,良,58,116,33,1.2,43,95
2017,4,12,102,15,2,92,良,43,134,47,1,68,84
2017,4,13,103,15,2,92,良,48,134,32,1.1,61,82
2017,4,14,104,15,2,102,轻度污染,49,154,39,1.3,75,81
2017,4,15,105,16,2,99,良,46,147,41,1.2,74,78
2017,4,16,106,16,2,97,良,57,144,77,1.5,63,73
2017,4,17,107,16,2,145,轻度污染,68,239,49,1.3,42,104
2017,4,18,108,16,2,74,良,23,97,11,0.6,32,98
2017,4,19,109,16,2,109,轻度污染,51,167,37,0.9,55,69
2017,4,20,110,16,2,126,轻度污染,55,201,42,0.9,40,97
2017,4,21,111,16,2,68,良,24,86,14,0.7,36,88
2017,4,22,112,17,2,86,良,49,121,46,1.1,61,100
2017,4,23,113,17,2,112,轻度污染,71,174,56,1.2,65,111
2017,4,24,114,17,2,82,良,41,113,21,0.8,44,95
2017,4,25,115,17,2,82,良,45,113,23,0.8,36,87
2017,4,26,116,17,2,70,良,40,90,19,0.8,42,91
2017,4,27,117,17,2,78,良,35,106,16,0.8,47,98
2017,4,28,118,17,2,103,轻度污染,54,155,29,1,59,97
2017,4,29,119,18,2,112,轻度污染,59,174,30,1,57,111
2017,4,30,120,18,2,118,轻度污染,67,186,27,1.1,57,128
2017,5,1,121,18,2,124,轻度污染,70,198,20,1.1,33,135
2017,5,2,122,18,2,112,轻度污染,69,157,19,1.2,30,173
2017,5,3,123,18,2,70,良,39,89,10,1,30,114
2017,5,4,124,18,2,461,严重污染,171,561,13,0.9,36,110
2017,5,5,125,18,2,208,重度污染,106,355,6,0.6,16,111
2017,5,6,126,19,2,84,良,44,118,17,0.8,36,126
2017,5,7,127,19,2,84,良,45,117,21,1,61,108
2017,5,8,128,19,2,87,良,54,124,21,0.9,54,143
2017,5,9,129,19,2,101,轻度污染,63,152,24,0.8,51,135
2017,5,10,130,19,2,80,良,28,109,10,0.5,32,121
2017,5,11,131,19,2,95,良,42,139,17,0.7,46,118
2017,5,12,132,19,2,102,轻度污染,38,154,15,0.6,43,133
2017,5,13,133,20,2,90,良,27,129,12,0.6,34,114
2017,5,14,134,20,2,74,良,26,73,14,0.8,37,128
2017,5,15,135,20,2,85,良,39,82,27,0.9,34,141
2017,5,16,136,20,2,106,轻度污染,41,85,30,1,45,166
2017,5,17,137,20,2,124,轻度污染,47,100,26,1,42,186
2017,5,18,138,20,2,120,轻度污染,42,109,22,1.1,47,182
2017,5,19,139,20,2,91,良,35,97,19,0.8,46,149
2017,5,20,140,21,2,110,轻度污染,39,89,20,0.9,38,171
2017,5,21,141,21,2,126,轻度污染,43,84,19,1,30,188
2017,5,22,142,21,2,64,良,39,78,13,0.9,30,106
2017,5,23,143,21,2,70,良,15,42,9,0.6,27,123
2017,5,24,144,21,2,83,良,24,62,15,0.7,49,139
2017,5,25,145,21,2,84,良,34,94,27,0.9,52,140
2017,5,26,146,21,2,153,中度污染,41,100,27,1,50,218
2017,5,27,147,22,2,148,轻度污染,47,115,36,1,58,212
2017,5,28,148,22,2,143,轻度污染,58,135,33,1.1,52,207
2017,5,29,149,22,2,183,中度污染,65,146,21,1.3,33,248
2017,5,30,150,22,2,117,轻度污染,46,142,21,1,38,178
2017,5,31,151,22,2,114,轻度污染,33,80,14,0.9,50,175
2017,6,1,152,22,3,109,轻度污染,34,96,20,0.9,53,169
2017,6,2,153,22,3,140,轻度污染,59,129,28,1.2,46,203
2017,6,3,154,23,3,76,良,47,102,12,1,37,112
2017,6,4,155,23,3,95,良,33,87,20,0.9,47,153
2017,6,5,156,23,3,62,良,29,73,15,1,44,104
2017,6,6,157,23,3,45,优,24,45,8,0.7,31,82
2017,6,7,158,23,3,123,轻度污染,45,89,21,1,49,185
2017,6,8,159,23,3,123,轻度污染,37,83,29,0.9,53,185
2017,6,9,160,23,3,101,轻度污染,53,131,37,1.2,82,112
2017,6,10,161,24,3,145,轻度污染,61,144,60,1.3,61,209
2017,6,11,162,24,3,117,轻度污染,42,125,27,1,45,178
2017,6,12,163,24,3,136,轻度污染,49,112,21,1.1,40,199
2017,6,13,164,24,3,75,良,51,90,11,1.2,40,129
2017,6,14,165,24,3,149,轻度污染,35,67,13,1,40,213
2017,6,15,166,24,3,147,轻度污染,50,113,26,1.1,63,211
2017,6,16,167,24,3,185,中度污染,62,136,23,1.1,54,250
2017,6,17,168,25,3,153,中度污染,75,149,35,1.2,41,218
2017,6,18,169,25,3,137,轻度污染,64,128,28,1.2,44,200
2017,6,19,170,25,3,90,良,34,73,12,0.9,47,148
2017,6,20,171,25,3,96,良,27,78,13,0.7,44,155
2017,6,21,172,25,3,142,轻度污染,57,120,17,1,43,206
2017,6,22,173,25,3,107,轻度污染,39,64,7,0.9,24,167
2017,6,23,174,25,3,75,良,21,41,8,0.8,31,130
2017,6,24,175,26,3,88,良,22,54,10,0.8,46,145
2017,6,25,176,26,3,99,良,30,76,15,0.8,46,158
2017,6,26,177,26,3,114,轻度污染,23,76,16,0.8,49,175
2017,6,27,178,26,3,142,轻度污染,38,111,22,0.9,60,206
2017,6,28,179,26,3,148,轻度污染,55,142,27,1,59,212
2017,6,29,180,26,3,121,轻度污染,45,107,17,0.9,53,183
2017,6,30,181,26,3,127,轻度污染,54,111,17,1.1,60,189
2017,7,1,182,27,3,169,中度污染,59,124,16,0.9,48,234
2017,7,2,183,27,3,202,重度污染,72,154,20,1.2,56,275
2017,7,3,184,27,3,183,中度污染,78,180,26,1.2,57,248
2017,7,4,185,27,3,131,轻度污染,56,97,10,1.1,31,194
2017,7,5,186,27,3,126,轻度污染,55,111,14,1,44,188
2017,7,6,187,27,3,93,良,69,84,11,1.1,40,140
2017,7,7,188,27,3,140,轻度污染,51,112,37,1.1,55,204
2017,7,8,189,28,3,186,中度污染,58,136,50,1.2,55,251
