Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,111,轻度污染,80,122,16,1.5,102,118
2017,1,2,2,1,1,123,轻度污染,91,146,16,1.7,125,106
2017,1,3,3,1,1,125,轻度污染,95,150,19,1.6,118,141
2017,1,4,4,1,1,115,轻度污染,87,126,16,1.2,102,92
2017,1,5,5,1,1,205,重度污染,155,214,19,1.9,168,79
2017,1,6,6,1,1,124,轻度污染,94,142,14,1.6,114,85
2017,1,7,7,2,1,109,轻度污染,65,101,16,1.2,97,87
2017,1,8,8,2,1,90,良,63,98,13,1.6,72,94
2017,1,9,9,2,1,83,良,38,60,12,1.6,66,100
2017,1,10,10,2,1,103,轻度污染,64,95,16,1.3,85,124
2017,1,11,11,2,1,88,良,65,91,15,1.4,69,41
2017,1,12,12,2,1,50,优,32,48,8,1.3,40,23
2017,1,13,13,2,1,52,良,9,15,6,1.2,41,28
2017,1,14,14,3,1,53,良,20,30,6,1,42,32
2017,1,15,15,3,1,53,良,23,30,7,1.1,42,25
2017,1,16,16,3,1,59,良,30,35,6,1.2,47,25
2017,1,17,17,3,1,58,良,28,38,7,1.2,46,18
2017,1,18,18,3,1,68,良,38,60,12,1.3,54,16
2017,1,19,19,3,1,52,良,32,50,10,1.2,41,15
2017,1,20,20,3,1,40,优,22,30,7,0.9,32,71
2017,1,21,21,4,1,75,良,55,74,11,0.9,39,109
2017,1,22,22,4,1,62,良,44,64,11,0.8,49,110
2017,1,23,23,4,1,82,良,47,68,11,1,65,108
2017,1,24,24,4,1,85,良,54,74,11,1,68,98
2017,1,25,25,4,1,77,良,56,75,12,1,57,124
2017,1,26,26,4,1,75,良,55,74,10,1,46,123
2017,1,27,27,4,1,69,良,50,66,9,0.9,47,114
2017,1,28,28,5,1,117,轻度污染,88,117,21,0.8,43,124
2017,1,29,29,5,1,53,良,37,44,7,0.8,41,38
2017,1,30,30,5,1,43,优,30,37,7,1,28,68
2017,1,31,31,5,1,48,优,33,40,6,1.1,22,49
2017,2,1,32,5,1,32,优,22,28,7,1,25,63
2017,2,2,33,5,1,43,优,30,37,7,0.9,28,70
2017,2,3,34,5,1,59,良,42,54,8,0.9,40,63
2017,2,4,35,6,1,75,良,55,67,9,1,58,58
2017,2,5,36,6,1,55,良,39,47,8,1,41,72
2017,2,6,37,6,1,58,良,37,50,10,0.9,46,104
2017,2,7,38,6,1,68,良,49,78,12,0.9,54,107
2017,2,8,39,6,1,60,良,30,50,8,0.9,48,44
2017,2,9,40,6,1,42,优,27,36,9,0.8,23,84
2017,2,10,41,6,1,78,良,57,68,17,0.9,27,100
2017,2,11,42,7,1,65,良,47,60,14,0.7,39,110
2017,2,12,43,7,1,80,良,54,73,17,0.9,64,116
2017,2,13,44,7,1,106,轻度污染,63,91,16,1.1,92,114
2017,2,14,45,7,1,108,轻度污染,64,97,16,1,95,166
2017,2,15,46,7,1,109,轻度污染,52,88,19,0.9,97,153
2017,2,16,47,7,1,105,轻度污染,44,75,18,0.9,89,132
2017,2,17,48,7,1,116,轻度污染,53,93,18,1.1,112,101
2017,2,18,49,8,1,118,轻度污染,72,118,19,1.2,116,176
2017,2,19,50,8,1,80,良,59,81,11,0.8,52,127
2017,2,20,51,8,1,90,良,55,77,14,0.9,72,108
2017,2,21,52,8,1,77,良,32,55,12,0.8,61,64
2017,2,22,53,8,1,84,良,38,60,14,0.8,67,31
2017,2,23,54,8,1,43,优,17,33,9,0.8,34,21
2017,2,24,55,8,1,42,优,21,30,8,0.7,33,54
2017,2,25,56,9,1,47,优,15,21,7,0.7,37,47
2017,2,26,57,9,1,59,良,32,51,11,0.8,47,77
2017,2,27,58,9,1,87,良,47,70,17,0.9,69,83
2017,2,28,59,9,1,105,轻度污染,71,104,22,1,90,75
2017,3,1,60,9,2,84,良,51,77,17,0.9,67,77
2017,3,2,61,9,2,83,良,38,79,14,0.7,66,111
2017,3,3,62,9,2,105,轻度污染,60,114,22,0.9,89,160
2017,3,4,63,10,2,106,轻度污染,63,105,22,0.8,92,89
2017,3,5,64,10,2,89,良,54,85,15,0.8,71,87
2017,3,6,65,10,2,54,良,28,45,10,0.9,43,55
2017,3,7,66,10,2,55,良,29,38,7,0.8,44,43
2017,3,8,67,10,2,59,良,34,46,8,0.8,47,71
2017,3,9,68,10,2,77,良,47,60,9,0.9,61,28
2017,3,10,69,10,2,84,良,48,64,9,1.3,67,8
2017,3,11,70,11,2,73,良,37,40,8,1.2,58,8
2017,3,12,71,11,2,100,良,62,83,12,1.1,80,28
2017,3,13,72,11,2,102,轻度污染,62,87,16,1,83,20
2017,3,14,73,11,2,57,良,22,33,9,0.8,45,34
2017,3,15,74,11,2,69,良,35,61,11,0.9,55,31
2017,3,16,75,11,2,78,良,51,87,13,1,62,12
2017,3,17,76,11,2,82,良,50,84,12,1.1,65,24
2017,3,18,77,12,2,88,良,60,86,12,1.1,70,18
2017,3,19,78,12,2,85,良,36,50,9,1.2,68,10
2017,3,20,79,12,2,101,轻度污染,46,79,10,1.2,81,44
2017,3,21,80,12,2,78,良,42,86,12,1.3,62,23
2017,3,22,81,12,2,95,良,35,53,10,1,76,33
2017,3,23,82,12,2,92,良,42,68,11,1.1,73,68
2017,3,24,83,12,2,85,良,33,66,14,0.9,68,96
2017,3,25,84,13,2,49,优,14,26,8,0.9,39,38
2017,3,26,85,13,2,58,良,19,54,8,0.7,46,77
2017,3,27,86,13,2,93,良,36,81,14,0.8,73,151
2017,3,28,87,13,2,102,轻度污染,46,101,17,0.9,84,130
2017,3,29,88,13,2,88,良,46,89,13,0.8,70,90
2017,3,30,89,13,2,84,良,41,82,13,0.8,67,52
2017,3,31,90,13,2,63,良,18,35,8,0.9,50,46
2017,4,1,91,14,2,72,良,21,44,10,0.7,47,126
2017,4,2,92,14,2,95,良,35,57,14,0.7,67,153
2017,4,3,93,14,2,117,轻度污染,48,78,15,0.7,60,178
2017,4,4,94,14,2,89,良,34,62,12,0.6,47,146
2017,4,5,95,14,2,65,良,32,60,12,0.7,52,112
2017,4,6,96,14,2,93,良,42,68,12,0.9,74,31
2017,4,7,97,14,2,83,良,41,70,16,0.8,66,59
2017,4,8,98,15,2,65,良,29,53,14,0.8,52,26
2017,4,9,99,15,2,54,良,23,42,12,0.7,43,44
2017,4,10,100,15,2,55,良,22,51,11,0.8,44,23
2017,4,11,101,15,2,55,良,28,58,10,1,44,8
2017,4,12,102,15,2,45,优,15,27,7,0.8,36,30
2017,4,13,103,15,2,60,良,25,44,9,0.8,48,55
2017,4,14,104,15,2,100,良,52,87,18,1.1,80,72
2017,4,15,105,16,2,102,轻度污染,39,77,17,0.9,83,68
2017,4,16,106,16,2,78,良,37,62,14,0.8,62,94
2017,4,17,107,16,2,88,良,35,63,13,0.8,52,145
2017,4,18,108,16,2,85,良,40,70,16,0.9,66,142
2017,4,19,109,16,2,80,良,40,69,13,0.9,64,76
2017,4,20,110,16,2,67,良,26,46,9,0.8,53,39
2017,4,21,111,16,2,60,良,23,42,9,0.8,48,48
2017,4,22,112,17,2,51,良,20,52,8,0.6,37,84
2017,4,23,113,17,2,79,良,37,64,10,0.8,63,74
2017,4,24,114,17,2,97,良,50,89,15,1,77,65
2017,4,25,115,17,2,98,良,51,86,12,1,78,41
2017,4,26,116,17,2,84,良,32,59,11,1,67,40
2017,4,27,117,17,2,47,优,11,19,7,0.7,37,69
2017,4,28,118,17,2,106,轻度污染,30,58,11,0.7,60,166
2017,4,29,119,18,2,173,中度污染,67,111,18,1,86,238
2017,4,30,120,18,2,139,轻度污染,44,76,15,0.8,45,202
2017,5,1,121,18,2,80,良,32,56,12,0.7,38,135
