Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,237,重度污染,187,295,23,1.8,91,28
2017,1,2,2,1,1,228,重度污染,178,294,20,2.2,86,75
2017,1,3,3,1,1,237,重度污染,187,296,21,2.4,114,10
2017,1,4,4,1,1,308,严重污染,258,399,29,2.4,112,11
2017,1,5,5,1,1,375,严重污染,313,480,20,2.8,121,46
2017,1,6,6,1,1,294,重度污染,244,361,18,2.3,85,17
2017,1,7,7,2,1,107,轻度污染,80,118,22,1.8,61,31
2017,1,8,8,2,1,127,轻度污染,96,141,28,1.9,75,20
2017,1,9,9,2,1,82,良,60,89,19,1.4,54,40
2017,1,10,10,2,1,45,优,28,43,10,0.9,36,58
2017,1,11,11,2,1,65,良,37,56,13,0.9,52,44
2017,1,12,12,2,1,74,良,52,82,15,1.1,59,63
2017,1,13,13,2,1,80,良,54,86,19,1,64,90
2017,1,14,14,3,1,118,轻度污染,89,141,16,1.3,91,33
2017,1,15,15,3,1,189,中度污染,142,214,25,1.5,83,21
2017,1,16,16,3,1,130,轻度污染,99,137,19,1.2,56,34
2017,1,17,17,3,1,140,轻度污染,107,162,16,1.6,74,11
2017,1,18,18,3,1,128,轻度污染,97,146,13,1.1,62,29
2017,1,19,19,3,1,123,轻度污染,93,142,18,1.2,61,30
2017,1,20,20,3,1,147,轻度污染,112,170,16,1.4,63,23
2017,1,21,21,4,1,153,中度污染,117,171,14,1.3,65,61
2017,1,22,22,4,1,234,重度污染,184,268,18,2,94,13
2017,1,23,23,4,1,245,重度污染,195,290,16,1.8,68,57
2017,1,24,24,4,1,230,重度污染,180,258,16,1.5,67,41
2017,1,25,25,4,1,243,重度污染,193,283,13,2.1,77,67
2017,1,26,26,4,1,277,重度污染,227,317,14,1.7,70,41
2017,1,27,27,4,1,248,重度污染,198,310,13,1.6,52,64
2017,1,28,28,5,1,245,重度污染,195,280,23,1.3,38,48
2017,1,29,29,5,1,100,良,75,132,11,1,39,89
2017,1,30,30,5,1,103,轻度污染,77,122,14,1.1,42,56
2017,1,31,31,5,1,67,良,48,71,12,1,25,42
2017,2,1,32,5,1,65,良,47,63,9,1,26,50
2017,2,2,33,5,1,87,良,64,88,10,1,25,33
2017,2,3,34,5,1,93,良,69,93,11,1.1,37,26
2017,2,4,35,6,1,109,轻度污染,82,114,11,1.3,44,31
2017,2,5,36,6,1,137,轻度污染,104,148,14,1.3,52,32
