Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,57,良,20,63,6,0.6,24,74
2017,1,2,2,1,1,60,良,25,69,6,0.6,29,77
2017,1,3,3,1,1,46,优,16,46,6,0.5,18,79
2017,1,4,4,1,1,46,优,20,46,6,0.5,21,74
2017,1,5,5,1,1,52,良,22,54,6,0.4,23,73
2017,1,6,6,1,1,58,良,26,66,7,0.6,31,76
2017,1,7,7,2,1,81,良,40,111,8,0.8,35,69
2017,1,8,8,2,1,94,良,42,138,9,0.9,36,83
2017,1,9,9,2,1,68,良,25,86,6,0.5,19,82
2017,1,10,10,2,1,49,优,16,49,5,0.4,14,90
2017,1,11,11,2,1,51,良,17,52,5,0.4,13,90
2017,1,12,12,2,1,55,良,24,60,6,0.5,19,86
2017,1,13,13,2,1,56,良,23,61,6,0.6,20,85
2017,1,14,14,3,1,55,良,19,59,5,0.5,18,91
2017,1,15,15,3,1,70,良,31,89,6,0.7,33,72
2017,1,16,16,3,1,81,良,48,112,8,1.1,39,86
2017,1,17,17,3,1,64,良,29,78,6,0.8,26,91
2017,1,18,18,3,1,65,良,36,80,6,0.9,30,80
2017,1,19,19,3,1,60,良,31,69,7,1.2,39,71
2017,1,20,20,3,1,47,优,18,47,6,0.7,20,74
2017,1,21,21,4,1,57,良,24,63,6,0.8,25,66
2017,1,22,22,4,1,61,良,30,72,7,0.8,28,65
2017,1,23,23,4,1,50,优,16,50,6,0.7,17,86
2017,1,24,24,4,1,44,优,20,44,6,0.8,25,80
2017,1,25,25,4,1,57,良,29,63,7,0.9,29,72
2017,1,26,26,4,1,63,良,42,76,9,1,32,75
2017,1,27,27,4,1,57,良,34,64,6,0.7,18,84
2017,1,28,28,5,1,45,优,16,45,6,0.5,10,88
2017,1,29,29,5,1,57,良,21,63,7,0.6,20,81
2017,1,30,30,5,1,54,良,26,57,9,0.8,28,79
2017,1,31,31,5,1,54,良,16,58,8,0.6,12,72
2017,2,1,32,5,1,78,良,20,106,8,0.5,8,87
2017,2,2,33,5,1,41,优,12,36,7,0.6,10,81
2017,2,3,34,5,1,47,优,20,47,7,0.7,18,87
2017,2,4,35,6,1,57,良,31,64,8,0.8,24,84
2017,2,5,36,6,1,53,良,25,56,8,0.9,27,95
2017,2,6,37,6,1,78,良,27,106,7,0.7,16,89
2017,2,7,38,6,1,64,良,18,58,6,0.6,13,116
2017,2,8,39,6,1,55,良,31,59,8,0.8,24,86
2017,2,9,40,6,1,66,良,28,81,6,0.7,19,89
2017,2,10,41,6,1,55,良,18,60,5,0.5,10,95
2017,2,11,42,7,1,49,优,14,36,6,0.6,16,98
2017,2,12,43,7,1,46,优,20,45,6,0.7,23,91
2017,2,13,44,7,1,52,良,24,54,7,0.8,26,81
2017,2,14,45,7,1,48,优,13,45,5,0.6,15,96
2017,2,15,46,7,1,46,优,22,46,6,0.8,25,90
2017,2,16,47,7,1,49,优,24,49,5,0.8,24,85
2017,2,17,48,7,1,59,良,27,67,7,1,32,77
2017,2,18,49,8,1,80,良,42,110,8,1.1,40,91
2017,2,19,50,8,1,61,良,27,72,7,1,28,82
2017,2,20,51,8,1,66,良,23,81,6,0.9,21,84
2017,2,21,52,8,1,80,良,26,109,6,0.8,16,90
2017,2,22,53,8,1,75,良,27,99,6,0.7,10,94
2017,2,23,54,8,1,63,良,24,76,6,0.6,16,114
2017,2,24,55,8,1,91,良,30,132,5,0.6,10,100
2017,2,25,56,9,1,165,中度污染,71,280,10,0.7,18,91
2017,2,26,57,9,1,71,良,32,92,6,0.7,17,108
2017,2,27,58,9,1,58,良,21,63,5,0.7,10,109
2017,2,28,59,9,1,45,优,16,40,5,0.8,16,90
2017,3,1,60,9,2,53,良,21,55,5,0.8,23,91
2017,3,2,61,9,2,55,良,20,58,5,0.6,18,105
2017,3,3,62,9,2,60,良,17,69,4,0.5,11,107
2017,3,4,63,10,2,61,良,22,72,5,0.6,21,96
2017,3,5,64,10,2,58,良,19,66,4,0.5,8,98
2017,3,6,65,10,2,54,良,24,57,4,0.6,12,103
2017,3,7,66,10,2,68,良,18,86,6,0.6,13,101
2017,3,8,67,10,2,52,良,20,53,6,0.6,13,101
2017,3,9,68,10,2,60,良,21,56,6,0.7,22,111
2017,3,10,69,10,2,73,良,27,95,6,0.7,13,105
2017,3,11,70,11,2,51,良,19,52,6,0.7,17,92
2017,3,12,71,11,2,74,良,16,54,6,0.7,13,128
2017,3,13,72,11,2,79,良,21,94,7,0.7,15,134
2017,3,14,73,11,2,97,良,26,143,6,0.6,11,102
2017,3,15,74,11,2,63,良,22,75,6,0.7,15,104
