Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,60,良,29,70,16,1,42,75
2017,1,2,2,1,1,80,良,42,109,20,1.3,44,56
2017,1,3,3,1,1,47,优,22,38,11,1,37,31
2017,1,4,4,1,1,45,优,15,33,13,0.8,36,53
2017,1,5,5,1,1,47,优,21,47,17,0.8,32,50
2017,1,6,6,1,1,60,良,27,69,14,1.1,35,38
2017,1,7,7,2,1,59,良,28,68,13,1,34,67
2017,1,8,8,2,1,61,良,28,71,16,0.9,39,73
2017,1,9,9,2,1,61,良,26,72,15,0.8,36,70
2017,1,10,10,2,1,63,良,25,75,14,0.9,37,70
2017,1,11,11,2,1,73,良,36,96,15,1.1,44,46
2017,1,12,12,2,1,64,良,28,78,15,1,37,66
2017,1,13,13,2,1,62,良,28,74,15,1,39,70
2017,1,14,14,3,1,52,良,20,54,16,0.8,37,80
2017,1,15,15,3,1,63,良,27,75,20,1,40,83
2017,1,16,16,3,1,52,良,24,53,17,0.9,36,80
2017,1,17,17,3,1,55,良,23,60,14,0.9,33,80
2017,1,18,18,3,1,53,良,23,55,19,1,36,82
2017,1,19,19,3,1,59,良,26,68,19,1,40,86
2017,1,20,20,3,1,58,良,25,65,15,0.9,41,85
2017,1,21,21,4,1,53,良,26,56,13,0.9,36,83
2017,1,22,22,4,1,58,良,31,65,14,1,30,81
2017,1,23,23,4,1,50,优,22,50,14,0.9,28,83
2017,1,24,24,4,1,41,优,20,41,16,0.9,24,80
2017,1,25,25,4,1,53,良,32,56,13,1,25,83
2017,1,26,26,4,1,47,优,26,47,17,1,24,82
2017,1,27,27,4,1,50,优,24,50,13,0.8,16,81
2017,1,28,28,5,1,52,良,30,53,18,0.8,13,79
2017,1,29,29,5,1,48,优,22,42,16,0.8,19,96
2017,1,30,30,5,1,50,优,26,45,13,0.9,18,100
2017,1,31,31,5,1,43,优,18,37,12,1,16,85
2017,2,1,32,5,1,47,优,24,46,14,0.9,24,94
2017,2,2,33,5,1,49,优,22,44,14,0.8,23,98
2017,2,3,34,5,1,47,优,19,40,14,0.8,26,94
2017,2,4,35,6,1,52,良,25,53,26,0.7,38,96
