Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,196,中度污染,147,216,20,1.7,95,45
2017,1,2,2,1,1,210,重度污染,160,227,28,1.7,91,33
2017,1,3,3,1,1,170,中度污染,129,179,22,1.3,82,47
2017,1,4,4,1,1,172,中度污染,130,192,19,1.3,86,8
2017,1,5,5,1,1,78,良,57,90,11,1,60,32
2017,1,6,6,1,1,63,良,25,33,9,0.9,50,33
2017,1,7,7,2,1,63,良,25,31,10,1.2,50,8
2017,1,8,8,2,1,57,良,40,50,9,1.1,30,59
2017,1,9,9,2,1,100,良,75,95,20,1.2,38,68
2017,1,10,10,2,1,148,轻度污染,113,143,23,1.4,62,28
2017,1,11,11,2,1,80,良,59,76,14,1,57,36
2017,1,12,12,2,1,73,良,35,44,9,1,58,12
2017,1,13,13,2,1,73,良,53,75,15,1.2,53,64
2017,1,14,14,3,1,84,良,62,95,19,1.2,55,72
2017,1,15,15,3,1,58,良,24,42,13,0.7,46,53
2017,1,16,16,3,1,70,良,40,65,12,0.8,56,59
2017,1,17,17,3,1,88,良,64,99,13,1.1,70,8
2017,1,18,18,3,1,70,良,46,59,10,1,56,41
2017,1,19,19,3,1,94,良,70,86,11,1,47,37
2017,1,20,20,3,1,64,良,46,72,15,0.8,33,68
2017,1,21,21,4,1,70,良,39,73,13,0.9,56,59
2017,1,22,22,4,1,87,良,64,102,19,1.1,54,66
2017,1,23,23,4,1,67,良,48,74,18,1.1,52,73
2017,1,24,24,4,1,48,优,32,48,14,0.7,27,88
2017,1,25,25,4,1,68,良,49,68,12,0.8,35,79
2017,1,26,26,4,1,74,良,54,71,9,0.8,31,78
2017,1,27,27,4,1,124,轻度污染,94,122,11,1.1,28,75
2017,1,28,28,5,1,77,良,56,89,10,0.7,26,80
2017,1,29,29,5,1,97,良,72,94,10,0.9,26,75
2017,1,30,30,5,1,50,优,35,49,8,0.8,17,73
2017,1,31,31,5,1,38,优,19,31,9,0.5,15,76
2017,2,1,32,5,1,58,良,41,55,9,0.7,17,67
2017,2,2,33,5,1,63,良,45,60,11,0.8,18,86
2017,2,3,34,5,1,55,良,39,59,10,0.8,39,43
2017,2,4,35,6,1,93,良,69,87,10,1,43,19
2017,2,5,36,6,1,99,良,74,88,11,1.3,40,53
2017,2,6,37,6,1,114,轻度污染,86,110,13,1.2,38,104
2017,2,7,38,6,1,37,优,16,30,10,0.5,27,74
2017,2,8,39,6,1,38,优,24,32,8,0.7,30,48
2017,2,9,40,6,1,89,良,66,77,13,0.9,25,94
2017,2,10,41,6,1,74,良,54,73,17,0.8,27,90
2017,2,11,42,7,1,55,良,36,55,15,0.7,44,85
2017,2,12,43,7,1,78,良,57,81,17,0.8,56,90
2017,2,13,44,7,1,108,轻度污染,81,112,16,1,77,82
2017,2,14,45,7,1,109,轻度污染,82,117,18,0.9,67,123
2017,2,15,46,7,1,107,轻度污染,80,112,16,0.9,78,116
2017,2,16,47,7,1,99,良,58,87,13,1,79,77
2017,2,17,48,7,1,117,轻度污染,88,129,11,0.9,59,34
2017,2,18,49,8,1,69,良,49,80,12,0.7,55,50
2017,2,19,50,8,1,82,良,60,90,10,1,46,91
2017,2,20,51,8,1,82,良,60,94,10,0.9,46,53
2017,2,21,52,8,1,60,良,35,70,11,0.7,42,69
2017,2,22,53,8,1,53,良,37,56,9,0.9,41,40
2017,2,23,54,8,1,107,轻度污染,80,100,16,1,36,66
2017,2,24,55,8,1,128,轻度污染,97,126,21,1,63,93
2017,2,25,56,9,1,162,中度污染,123,161,19,1.2,76,119
2017,2,26,57,9,1,172,中度污染,130,173,21,1.2,92,145
2017,2,27,58,9,1,172,中度污染,130,178,28,1.1,84,137
2017,2,28,59,9,1,92,良,68,105,21,0.8,72,119
2017,3,1,60,9,2,78,良,54,105,15,0.7,47,105
2017,3,2,61,9,2,71,良,46,91,15,0.6,40,88
2017,3,3,62,9,2,95,良,64,109,18,0.8,76,100
2017,3,4,63,10,2,114,轻度污染,86,139,17,1,87,90
2017,3,5,64,10,2,92,良,68,103,12,0.8,59,70
2017,3,6,65,10,2,72,良,52,76,13,0.8,46,90
2017,3,7,66,10,2,95,良,64,104,18,0.9,76,96
2017,3,8,67,10,2,109,轻度污染,82,123,16,0.9,58,102
2017,3,9,68,10,2,120,轻度污染,91,137,20,1,79,117
2017,3,10,69,10,2,90,良,67,102,14,0.9,68,90
2017,3,11,70,11,2,54,良,32,49,9,0.7,43,74
2017,3,12,71,11,2,78,良,48,74,10,0.9,62,38
2017,3,13,72,11,2,43,优,26,36,8,0.7,34,82
2017,3,14,73,11,2,57,良,39,63,17,0.7,44,99
2017,3,15,74,11,2,71,良,46,77,16,0.8,55,125
2017,3,16,75,11,2,77,良,56,82,12,0.7,53,73
2017,3,17,76,11,2,65,良,47,70,15,0.7,52,95
2017,3,18,77,12,2,105,轻度污染,79,120,18,0.9,74,21
2017,3,19,78,12,2,63,良,43,73,10,0.8,50,68
2017,3,20,79,12,2,53,良,25,36,8,1,42,52
2017,3,21,80,12,2,88,良,65,89,11,0.9,39,132
2017,3,22,81,12,2,80,良,59,83,11,0.8,48,90
2017,3,23,82,12,2,63,良,43,61,12,0.8,50,56
