Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,147,轻度污染,112,173,25,1.8,95,38
2017,1,2,2,1,1,168,中度污染,127,168,16,1.4,77,53
2017,1,3,3,1,1,211,重度污染,161,217,19,1.9,100,35
2017,1,4,4,1,1,232,重度污染,182,254,13,2.1,88,12
2017,1,5,5,1,1,53,良,28,27,5,1.7,42,27
2017,1,6,6,1,1,45,优,17,17,5,0.8,36,38
2017,1,7,7,2,1,47,优,29,38,5,1,37,25
2017,1,8,8,2,1,87,良,64,84,11,1.4,47,50
2017,1,9,9,2,1,143,轻度污染,109,124,18,1.8,60,57
2017,1,10,10,2,1,119,轻度污染,90,88,11,1.3,44,63
2017,1,11,11,2,1,150,轻度污染,115,125,11,1.5,50,30
2017,1,12,12,2,1,128,轻度污染,97,103,10,1.3,52,48
2017,1,13,13,2,1,113,轻度污染,85,119,10,1.5,80,25
2017,1,14,14,3,1,94,良,70,99,21,1.2,58,51
2017,1,15,15,3,1,68,良,49,79,14,1,53,42
2017,1,16,16,3,1,94,良,70,96,15,1.2,59,58
2017,1,17,17,3,1,94,良,70,101,12,1,63,42
2017,1,18,18,3,1,125,轻度污染,95,106,11,1,51,21
2017,1,19,19,3,1,147,轻度污染,112,146,12,1,35,83
2017,1,20,20,3,1,83,良,51,115,16,0.8,40,69
2017,1,21,21,4,1,88,良,65,126,17,1.2,68,64
2017,1,22,22,4,1,134,轻度污染,102,159,18,1.5,83,66
2017,1,23,23,4,1,115,轻度污染,87,124,22,1.3,70,72
2017,1,24,24,4,1,89,良,66,91,20,1.2,55,74
2017,1,25,25,4,1,107,轻度污染,80,92,11,1.2,48,75
2017,1,26,26,4,1,88,良,65,77,11,1.1,49,86
2017,1,27,27,4,1,166,中度污染,126,241,16,1.4,36,67
2017,1,28,28,5,1,201,重度污染,151,194,22,1.7,38,59
2017,1,29,29,5,1,153,中度污染,117,136,11,1.4,18,55
2017,1,30,30,5,1,142,轻度污染,108,117,13,1.5,20,70
2017,1,31,31,5,1,92,良,68,81,10,1.2,24,52
2017,2,1,32,5,1,80,良,59,63,5,1,18,43
2017,2,2,33,5,1,90,良,67,69,5,1.1,28,44
2017,2,3,34,5,1,84,良,62,65,5,1.3,33,24
2017,2,4,35,6,1,62,良,44,41,7,1.3,28,28
2017,2,5,36,6,1,84,良,62,84,8,1.6,38,35
2017,2,6,37,6,1,110,轻度污染,83,98,10,1.6,45,45
2017,2,7,38,6,1,72,良,52,65,8,1.1,29,53
2017,2,8,39,6,1,68,良,49,54,5,0.9,20,70
2017,2,9,40,6,1,112,轻度污染,84,96,11,1.2,42,78
2017,2,10,41,6,1,83,良,61,78,17,1.1,53,88
2017,2,11,42,7,1,77,良,50,79,22,1.1,61,77
2017,2,12,43,7,1,100,良,73,106,16,1.2,80,98
2017,2,13,44,7,1,106,轻度污染,70,111,28,1.4,92,83
2017,2,14,45,7,1,101,轻度污染,55,102,20,1.2,82,89
2017,2,15,46,7,1,112,轻度污染,81,147,24,1.5,103,84
2017,2,16,47,7,1,122,轻度污染,92,149,20,1.3,83,119
2017,2,17,48,7,1,215,重度污染,165,217,13,1.6,53,44
2017,2,18,49,8,1,138,轻度污染,105,142,15,1.5,66,33
2017,2,19,50,8,1,178,中度污染,134,168,14,1.6,69,60
2017,2,20,51,8,1,135,轻度污染,103,145,12,1.5,46,49
2017,2,21,52,8,1,55,良,24,60,7,0.9,32,38
2017,2,22,53,8,1,90,良,67,72,9,1,34,52
2017,2,23,54,8,1,84,良,62,74,15,1.1,54,62
2017,2,24,55,8,1,88,良,59,86,14,1,70,80
2017,2,25,56,9,1,92,良,64,96,16,1,73,101
2017,2,26,57,9,1,105,轻度污染,72,124,15,1.2,89,98
2017,2,27,58,9,1,107,轻度污染,75,141,28,1.4,93,101
2017,2,28,59,9,1,103,轻度污染,75,127,27,1.2,86,102
2017,3,1,60,9,2,88,良,52,125,12,0.9,53,94
2017,3,2,61,9,2,81,良,31,112,17,0.8,57,82
2017,3,3,62,9,2,89,良,46,113,28,1,71,84
2017,3,4,63,10,2,102,轻度污染,75,130,18,1.3,84,25
2017,3,5,64,10,2,83,良,61,82,9,1.1,52,52
2017,3,6,65,10,2,273,重度污染,223,248,14,2,72,79
2017,3,7,66,10,2,190,中度污染,143,161,16,1.6,74,116
2017,3,8,67,10,2,114,轻度污染,86,132,20,1.2,76,111
2017,3,9,68,10,2,109,轻度污染,82,146,29,1.3,88,116
2017,3,10,69,10,2,80,良,59,90,15,1,57,86
2017,3,11,70,11,2,104,轻度污染,78,123,15,1.3,81,39
2017,3,12,71,11,2,79,良,58,83,8,1.1,53,94
2017,3,13,72,11,2,42,优,28,28,5,0.9,24,83
2017,3,14,73,11,2,60,良,34,69,13,1,45,88
2017,3,15,74,11,2,72,良,46,73,14,1,57,53
2017,3,16,75,11,2,93,良,69,96,12,1.2,67,76
2017,3,17,76,11,2,101,轻度污染,74,96,10,1.2,82,42
2017,3,18,77,12,2,120,轻度污染,91,110,8,1.1,62,46
2017,3,19,78,12,2,103,轻度污染,77,84,8,1.3,61,26
2017,3,20,79,12,2,60,良,43,38,5,0.8,33,73
2017,3,21,80,12,2,72,良,52,62,8,1,52,60
2017,3,22,81,12,2,69,良,35,50,5,1,55,57
2017,3,23,82,12,2,62,良,44,53,7,1.2,44,46
2017,3,24,83,12,2,52,良,36,54,5,0.8,39,45
2017,3,25,84,13,2,72,良,43,94,10,0.9,54,77
2017,3,26,85,13,2,106,轻度污染,42,162,12,1.1,69,90
2017,3,27,86,13,2,100,良,44,149,14,1,67,119
2017,3,28,87,13,2,87,良,48,124,16,0.9,51,88
2017,3,29,88,13,2,99,良,74,131,15,1.1,45,93
2017,3,30,89,13,2,84,良,62,94,8,1.2,36,83
2017,3,31,90,13,2,60,良,41,60,8,0.8,33,112
2017,4,1,91,14,2,90,良,67,99,10,1.1,64,121
2017,4,2,92,14,2,86,良,51,96,14,1,66,143
2017,4,3,93,14,2,88,良,58,125,32,1.3,68,84
2017,4,4,94,14,2,93,良,61,115,21,1.2,74,45
2017,4,5,95,14,2,102,轻度污染,76,99,7,1.5,58,28
2017,4,6,96,14,2,53,良,36,56,6,1.2,39,40
2017,4,7,97,14,2,65,良,47,76,7,1.5,51,76
2017,4,8,98,15,2,65,良,40,80,9,1.7,42,87
2017,4,9,99,15,2,45,优,9,12,5,1,20,89
2017,4,10,100,15,2,37,优,12,17,5,0.7,24,73
2017,4,11,101,15,2,58,良,41,58,7,1,39,95
2017,4,12,102,15,2,85,良,49,90,9,1.3,68,103
2017,4,13,103,15,2,93,良,52,102,9,1.2,74,129
2017,4,14,104,15,2,78,良,45,106,10,1,61,125
2017,4,15,105,16,2,90,良,55,129,15,1.3,64,124
2017,4,16,106,16,2,85,良,55,119,8,1.4,53,54
2017,4,17,107,16,2,58,良,19,65,7,0.6,25,84
2017,4,18,108,16,2,94,良,35,137,10,0.9,51,91
2017,4,19,109,16,2,100,良,52,149,10,1.2,62,58
2017,4,20,110,16,2,69,良,29,87,7,0.8,36,65
2017,4,21,111,16,2,83,良,32,115,10,0.8,49,41
2017,4,22,112,17,2,85,良,36,120,11,0.8,61,122
2017,4,23,113,17,2,89,良,42,127,10,0.9,71,139
2017,4,24,114,17,2,90,良,48,129,18,1,62,142
2017,4,25,115,17,2,76,良,49,101,10,1,51,90
2017,4,26,116,17,2,75,良,55,86,7,1.1,26,112
2017,4,27,117,17,2,95,良,32,78,11,0.8,45,153
2017,4,28,118,17,2,104,轻度污染,41,98,11,0.8,70,164
2017,4,29,119,18,2,90,良,37,99,12,0.8,67,147
2017,4,30,120,18,2,103,轻度污染,47,119,14,0.9,62,163
2017,5,1,121,18,2,80,良,59,107,10,1.1,62,59
2017,5,2,122,18,2,80,良,44,78,9,1,44,136
2017,5,3,123,18,2,52,良,27,54,7,0.9,27,69
2017,5,4,124,18,2,49,优,17,37,6,0.8,27,97
2017,5,5,125,18,2,90,良,37,129,8,0.9,42,127
2017,5,6,126,19,2,500,严重污染,167,617,14,0.9,48,80
2017,5,7,127,19,2,163,中度污染,105,275,8,1.3,65,25
2017,5,8,128,19,2,60,良,29,70,5,0.7,34,96
