Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,244,重度污染,194,252,76,2,55,41
2017,1,2,2,1,1,117,轻度污染,88,131,63,1.4,48,60
2017,1,3,3,1,1,163,中度污染,124,174,101,2.7,78,37
2017,1,4,4,1,1,142,轻度污染,108,141,113,2,78,39
2017,1,5,5,1,1,102,轻度污染,76,107,134,1.2,71,35
2017,1,6,6,1,1,132,轻度污染,100,142,147,1.8,77,36
2017,1,7,7,2,1,267,重度污染,217,275,142,2.3,86,26
2017,1,8,8,2,1,273,重度污染,223,262,120,1.9,85,36
2017,1,9,9,2,1,58,良,27,47,65,0.7,46,67
2017,1,10,10,2,1,53,良,27,50,55,0.6,39,64
2017,1,11,11,2,1,92,良,68,102,122,1.3,66,48
2017,1,12,12,2,1,58,良,33,51,62,0.7,46,59
2017,1,13,13,2,1,57,良,19,63,44,0.6,32,61
2017,1,14,14,3,1,58,良,26,49,66,0.7,38,50
2017,1,15,15,3,1,148,轻度污染,113,154,127,1.8,69,23
2017,1,16,16,3,1,142,轻度污染,108,149,182,1.9,68,33
2017,1,17,17,3,1,199,中度污染,149,203,141,2.2,84,24
2017,1,18,18,3,1,163,中度污染,124,159,88,1.5,64,42
2017,1,19,19,3,1,155,中度污染,118,155,121,1.6,56,41
2017,1,20,20,3,1,63,良,36,59,75,0.7,39,51
2017,1,21,21,4,1,79,良,49,108,90,1.2,40,65
2017,1,22,22,4,1,80,良,59,100,63,0.8,38,50
2017,1,23,23,4,1,147,轻度污染,112,149,112,1.6,57,54
2017,1,24,24,4,1,178,中度污染,134,182,160,2,72,39
2017,1,25,25,4,1,155,中度污染,118,162,158,2.4,69,52
2017,1,26,26,4,1,106,轻度污染,64,162,42,0.9,28,84
2017,1,27,27,4,1,66,良,32,82,60,0.6,28,74
2017,1,28,28,5,1,85,良,63,88,92,1.1,38,64
2017,1,29,29,5,1,63,良,45,67,48,0.6,23,72
2017,1,30,30,5,1,62,良,33,52,73,0.6,31,60
2017,1,31,31,5,1,90,良,67,92,120,1.6,50,63
2017,2,1,32,5,1,50,优,23,41,50,0.5,24,71
2017,2,2,33,5,1,110,轻度污染,83,111,83,1.9,52,54
2017,2,3,34,5,1,165,中度污染,125,167,138,2.6,69,70
2017,2,4,35,6,1,215,重度污染,165,199,70,1.7,52,85
2017,2,5,36,6,1,99,良,74,95,54,0.8,34,83
2017,2,6,37,6,1,53,良,23,37,56,0.5,33,74
2017,2,7,38,6,1,133,轻度污染,101,139,164,1.6,74,23
2017,2,8,39,6,1,62,良,37,73,47,0.7,33,77
2017,2,9,40,6,1,50,优,20,50,37,0.5,24,68
2017,2,10,41,6,1,46,优,28,46,42,0.6,32,70
2017,2,11,42,7,1,93,良,69,89,81,0.8,47,66
2017,2,12,43,7,1,192,中度污染,144,175,87,1.4,65,77
2017,2,13,44,7,1,138,轻度污染,105,141,109,1.5,62,78
2017,2,14,45,7,1,147,轻度污染,112,148,113,1.6,70,75
2017,2,15,46,7,1,120,轻度污染,91,122,54,1.2,40,97
2017,2,16,47,7,1,77,良,39,104,34,0.6,31,92
2017,2,17,48,7,1,54,良,28,58,36,0.5,28,90
2017,2,18,49,8,1,79,良,58,84,78,1,52,78
2017,2,19,50,8,1,80,良,50,110,47,0.9,34,76
2017,2,20,51,8,1,54,良,34,58,41,0.6,30,87
2017,2,21,52,8,1,94,良,70,107,107,1.4,60,52
2017,2,22,53,8,1,64,良,45,77,46,0.9,41,69
2017,2,23,54,8,1,45,优,23,39,45,0.5,33,87
2017,2,24,55,8,1,85,良,63,84,86,1.2,62,81
2017,2,25,56,9,1,68,良,45,60,65,0.9,54,81
2017,2,26,57,9,1,87,良,64,83,78,1.1,61,75
2017,2,27,58,9,1,75,良,55,78,81,1.4,49,95
2017,2,28,59,9,1,105,轻度污染,79,106,58,1.1,46,88
2017,3,1,60,9,2,41,优,12,30,28,0.5,23,81
2017,3,2,61,9,2,75,良,49,100,68,1.2,56,74
2017,3,3,62,9,2,75,良,55,93,67,1,55,85
2017,3,4,63,10,2,79,良,58,89,75,0.9,48,95
2017,3,5,64,10,2,53,良,37,53,30,0.6,27,93
2017,3,6,65,10,2,45,优,25,43,32,0.5,31,89
2017,3,7,66,10,2,55,良,29,60,38,0.5,33,84
2017,3,8,67,10,2,66,良,37,82,41,0.6,40,92
2017,3,9,68,10,2,66,良,47,82,42,0.6,45,101
2017,3,10,69,10,2,132,轻度污染,100,141,73,1.4,74,121
2017,3,11,70,11,2,186,中度污染,140,208,98,1.8,72,116
2017,3,12,71,11,2,67,良,40,83,28,0.5,31,104
2017,3,13,72,11,2,70,良,51,81,42,0.6,42,110
2017,3,14,73,11,2,132,轻度污染,100,127,58,0.9,58,119
2017,3,15,74,11,2,207,重度污染,157,207,93,1.5,79,125
2017,3,16,75,11,2,165,中度污染,125,171,89,1.7,80,130
2017,3,17,76,11,2,204,重度污染,154,218,90,1.8,70,131
2017,3,18,77,12,2,192,中度污染,144,191,53,1.2,61,136
2017,3,19,78,12,2,148,轻度污染,113,164,70,1.2,73,113
2017,3,20,79,12,2,75,良,55,89,32,0.8,42,95
2017,3,21,80,12,2,70,良,49,90,37,0.8,50,98
2017,3,22,81,12,2,74,良,54,85,39,0.9,43,106
2017,3,23,82,12,2,124,轻度污染,94,132,50,1,60,119
2017,3,24,83,12,2,135,轻度污染,103,153,73,1.2,71,115
2017,3,25,84,13,2,140,轻度污染,107,151,74,1.2,69,124
2017,3,26,85,13,2,186,中度污染,140,190,61,1.6,70,104
2017,3,27,86,13,2,200,中度污染,150,199,54,1.4,74,128
2017,3,28,87,13,2,112,轻度污染,84,138,50,1.2,52,118
2017,3,29,88,13,2,119,轻度污染,90,149,31,1.1,37,127
2017,3,30,89,13,2,108,轻度污染,81,121,27,0.7,42,133
2017,3,31,90,13,2,124,轻度污染,94,131,34,0.8,57,124
2017,4,1,91,14,2,103,轻度污染,77,126,29,1,58,116
2017,4,2,92,14,2,94,良,70,125,40,1.2,52,134
2017,4,3,93,14,2,113,轻度污染,85,143,40,1.3,43,172
2017,4,4,94,14,2,124,轻度污染,80,167,45,1,34,186
2017,4,5,95,14,2,84,良,54,96,30,0.8,31,140
2017,4,6,96,14,2,97,良,72,102,23,0.9,39,78
2017,4,7,97,14,2,129,轻度污染,98,133,18,1,38,137
2017,4,8,98,15,2,58,良,30,65,13,0.5,28,106
2017,4,9,99,15,2,63,良,31,76,14,0.5,36,115
2017,4,10,100,15,2,89,良,64,128,36,1.3,49,138
2017,4,11,101,15,2,69,良,20,88,9,0.4,19,103
2017,4,12,102,15,2,65,良,26,79,14,0.4,32,104
2017,4,13,103,15,2,85,良,45,119,44,0.8,37,128
2017,4,14,104,15,2,105,轻度污染,77,128,29,1,29,165
2017,4,15,105,16,2,116,轻度污染,79,130,42,1.2,42,177
2017,4,16,106,16,2,78,良,54,105,24,0.8,46,116
2017,4,17,107,16,2,79,良,58,96,24,0.8,32,132
2017,4,18,108,16,2,64,良,24,78,11,0.5,23,94
2017,4,19,109,16,2,66,良,35,82,27,0.7,40,95
2017,4,20,110,16,2,87,良,43,123,22,0.8,29,91
2017,4,21,111,16,2,76,良,38,102,15,0.6,41,126
2017,4,22,112,17,2,91,良,35,132,32,0.9,28,138
2017,4,23,113,17,2,54,良,21,58,14,0.5,25,84
2017,4,24,114,17,2,54,良,31,56,18,0.8,43,85
2017,4,25,115,17,2,50,优,20,50,17,0.5,34,92
2017,4,26,116,17,2,52,良,20,54,14,0.4,34,93
2017,4,27,117,17,2,67,良,30,84,20,0.6,42,103
2017,4,28,118,17,2,70,良,34,89,15,0.6,46,104
2017,4,29,119,18,2,98,良,47,145,28,0.9,40,130
2017,4,30,120,18,2,108,轻度污染,38,165,11,0.4,21,107
2017,5,1,121,18,2,85,良,36,83,20,0.7,39,141
2017,5,2,122,18,2,100,良,41,101,22,0.7,30,159
2017,5,3,123,18,2,96,良,45,99,22,0.6,20,155
2017,5,4,124,18,2,72,良,52,81,17,0.6,29,122
2017,5,5,125,18,2,146,轻度污染,61,242,11,0.6,26,101
2017,5,6,126,19,2,219,重度污染,71,363,8,0.4,18,87
2017,5,7,127,19,2,98,良,47,145,10,0.4,26,120
2017,5,8,128,19,2,117,轻度污染,80,145,22,1.1,44,178
2017,5,9,129,19,2,82,良,51,114,15,0.7,24,138
2017,5,10,130,19,2,102,轻度污染,39,89,15,0.6,23,162
2017,5,11,131,19,2,94,良,46,138,16,0.8,27,150
2017,5,12,132,19,2,133,轻度污染,56,216,12,0.6,30,104
2017,5,13,133,20,2,64,良,32,77,9,0.5,20,100
2017,5,14,134,20,2,64,良,23,77,8,0.4,16,94
2017,5,15,135,20,2,58,良,21,43,9,0.4,25,109
2017,5,16,136,20,2,95,良,32,60,18,1,39,153
2017,5,17,137,20,2,150,轻度污染,43,88,19,0.9,32,214
2017,5,18,138,20,2,170,中度污染,59,163,19,0.8,21,235
2017,5,19,139,20,2,181,中度污染,59,130,19,0.9,25,246
2017,5,20,140,21,2,150,轻度污染,41,86,16,0.8,28,214
2017,5,21,141,21,2,117,轻度污染,34,82,13,0.5,33,178
2017,5,22,142,21,2,56,良,22,62,10,0.4,30,73
2017,5,23,143,21,2,64,良,23,40,9,0.4,28,116
2017,5,24,144,21,2,68,良,29,57,12,0.6,37,121
2017,5,25,145,21,2,56,良,10,31,7,0.3,18,107
2017,5,26,146,21,2,72,良,25,47,11,0.4,45,126
2017,5,27,147,22,2,115,轻度污染,27,56,16,0.7,41,176
2017,5,28,148,22,2,134,轻度污染,40,112,11,0.5,24,197
2017,5,29,149,22,2,101,轻度污染,48,152,16,0.7,45,60
2017,5,30,150,22,2,100,良,41,71,12,0.7,26,160
2017,5,31,151,22,2,112,轻度污染,35,68,14,0.7,34,173
2017,6,1,152,22,3,60,良,27,69,12,0.4,36,92
2017,6,2,153,22,3,44,优,16,44,10,0.4,34,85
2017,6,3,154,23,3,59,良,16,38,10,0.4,29,110
2017,6,4,155,23,3,75,良,29,56,22,0.9,36,129
2017,6,5,156,23,3,110,轻度污染,36,60,26,0.8,42,171
2017,6,6,157,23,3,68,良,36,70,28,0.9,40,121
2017,6,7,158,23,3,87,良,34,48,13,0.6,21,144
2017,6,8,159,23,3,89,良,42,60,17,0.9,33,146
2017,6,9,160,23,3,62,良,21,74,10,0.4,28,89
2017,6,10,161,24,3,65,良,25,79,23,0.5,41,94
2017,6,11,162,24,3,52,良,20,53,16,0.5,36,95
2017,6,12,163,24,3,63,良,24,48,19,0.5,40,115
2017,6,13,164,24,3,95,良,28,65,19,0.5,42,153
2017,6,14,165,24,3,149,轻度污染,47,94,28,1.2,30,213
2017,6,15,166,24,3,203,重度污染,56,110,32,1.6,55,279
2017,6,16,167,24,3,203,重度污染,43,106,23,0.9,29,281
2017,6,17,168,25,3,201,重度污染,75,133,29,1.1,25,266
2017,6,18,169,25,3,149,轻度污染,66,104,20,1,31,213
2017,6,19,170,25,3,95,良,42,66,14,0.8,27,154
2017,6,20,171,25,3,87,良,22,34,16,0.7,25,144
2017,6,21,172,25,3,83,良,30,45,17,0.7,34,139
2017,6,22,173,25,3,75,良,18,34,10,0.4,36,129
2017,6,23,174,25,3,95,良,30,52,14,0.7,44,153
2017,6,24,175,26,3,77,良,22,34,12,0.6,30,132
2017,6,25,176,26,3,75,良,30,42,9,0.7,40,130
2017,6,26,177,26,3,150,轻度污染,44,69,19,1.3,38,214
2017,6,27,178,26,3,130,轻度污染,38,56,19,1.2,27,192
2017,6,28,179,26,3,113,轻度污染,28,46,21,0.8,24,174
2017,6,29,180,26,3,81,良,29,50,20,0.7,21,137
2017,6,30,181,26,3,128,轻度污染,56,81,21,0.9,21,190
2017,7,1,182,27,3,154,中度污染,55,83,19,1,22,219
2017,7,2,183,27,3,54,良,35,55,21,0.9,32,104
2017,7,3,184,27,3,108,轻度污染,31,54,13,0.8,33,168
2017,7,4,185,27,3,94,良,19,38,18,0.6,31,152
2017,7,5,186,27,3,157,中度污染,36,63,17,0.7,34,222
2017,7,6,187,27,3,139,轻度污染,37,68,19,0.8,31,202
2017,7,7,188,27,3,50,优,20,37,9,0.6,20,100
2017,7,8,189,28,3,99,良,41,52,10,0.8,16,158
2017,7,9,190,28,3,70,良,23,37,9,0.6,20,124
2017,7,10,191,28,3,78,良,25,37,6,0.6,15,133
2017,7,11,192,28,3,177,中度污染,44,67,11,1.1,19,242
2017,7,12,193,28,3,108,轻度污染,49,74,12,0.7,17,168
2017,7,13,194,28,3,94,良,32,55,8,0.7,16,152
2017,7,14,195,28,3,81,良,29,46,7,0.7,26,137
2017,7,15,196,29,3,120,轻度污染,31,51,10,1,30,181
2017,7,16,197,29,3,95,良,30,51,9,0.8,21,153
2017,7,17,198,29,3,92,良,21,36,7,0.6,17,150
2017,7,18,199,29,3,108,轻度污染,35,52,9,0.7,19,168
2017,7,19,200,29,3,89,良,31,49,9,0.7,19,146
2017,7,20,201,29,3,70,良,35,50,6,0.8,20,124
2017,7,21,202,29,3,65,良,9,19,5,0.3,19,117
2017,7,22,203,30,3,53,良,20,38,10,0.6,42,51
2017,7,23,204,30,3,136,轻度污染,41,68,12,0.7,46,199
2017,7,24,205,30,3,96,良,36,67,12,0.7,48,155
2017,7,25,206,30,3,64,良,11,31,10,0.4,30,116
2017,7,26,207,30,3,75,良,36,74,26,1.3,54,130
2017,7,27,208,30,3,84,良,34,56,15,0.9,36,140
2017,7,28,209,30,3,79,良,18,34,8,0.4,26,134
2017,7,29,210,31,3,114,轻度污染,18,38,11,0.6,32,175
2017,7,30,211,31,3,123,轻度污染,42,72,20,0.8,36,185
2017,7,31,212,31,3,143,轻度污染,35,59,21,1,28,207
2017,8,1,213,31,3,90,良,32,54,15,0.9,26,148
2017,8,2,214,31,3,38,优,21,38,18,0.8,26,70
2017,8,3,215,31,3,39,优,20,32,11,0.6,17,77
2017,8,4,216,31,3,60,良,11,19,10,0.7,17,111
2017,8,5,217,32,3,60,良,16,30,15,0.8,27,112
2017,8,6,218,32,3,67,良,19,37,20,0.9,32,120
2017,8,7,219,32,3,61,良,22,35,7,0.5,30,113
2017,8,8,220,32,3,116,轻度污染,28,50,17,0.7,41,177
2017,8,9,221,32,3,111,轻度污染,46,84,22,1.2,46,172
2017,8,10,222,32,3,66,良,28,52,15,1.1,33,119
2017,8,11,223,32,3,98,良,27,47,15,1,27,157
2017,8,12,224,33,3,83,良,25,47,24,0.8,28,139
2017,8,13,225,33,3,102,轻度污染,28,54,15,1,29,162
2017,8,14,226,33,3,48,优,28,48,14,0.7,33,78
2017,8,15,227,33,3,41,优,18,28,7,0.6,25,81
2017,8,16,228,33,3,51,良,30,52,18,1,37,83
2017,8,17,229,33,3,35,优,19,32,10,1,28,59
2017,8,18,230,33,3,38,优,19,33,11,0.8,30,67
2017,8,19,231,34,3,65,良,26,45,12,1,31,117
2017,8,20,232,34,3,80,良,30,51,14,0.9,31,136
2017,8,21,233,34,3,65,良,29,48,15,1,26,118
2017,8,22,234,34,3,117,轻度污染,70,96,15,1.8,24,178
2017,8,23,235,34,3,39,优,24,39,12,0.7,24,60
2017,8,24,236,34,3,49,优,15,30,9,0.5,28,97
2017,8,25,237,34,3,53,良,22,56,14,0.7,33,71
2017,8,26,238,35,3,47,优,17,47,18,0.5,33,88
2017,8,27,239,35,3,51,良,22,52,24,1,32,96
2017,8,28,240,35,3,36,优,16,30,8,0.6,19,72
2017,8,29,241,35,3,37,优,12,35,16,0.3,26,74
2017,8,30,242,35,3,47,优,20,47,16,0.6,31,74
2017,8,31,243,35,3,65,良,36,78,27,1,52,87
2017,9,1,244,35,4,65,良,47,80,23,1.3,52,90
2017,9,2,245,36,4,93,良,45,70,16,1.2,51,151
2017,9,3,246,36,4,100,良,52,84,26,1.4,46,160
2017,9,4,247,36,4,86,良,37,58,24,0.9,24,143
2017,9,5,248,36,4,53,良,31,49,19,0.7,25,103
2017,9,6,249,36,4,55,良,31,53,16,1,44,75
2017,9,7,250,36,4,91,良,37,68,28,1.4,38,149
2017,9,8,251,36,4,65,良,46,80,21,1,36,81
2017,9,9,252,37,4,59,良,37,68,16,0.8,43,84
2017,9,10,253,37,4,79,良,52,84,20,1.2,36,134
2017,9,11,254,37,4,39,优,18,37,13,0.6,31,74
2017,9,12,255,37,4,51,良,19,52,19,0.7,35,64
2017,9,13,256,37,4,55,良,24,59,25,0.8,42,78
2017,9,14,257,37,4,59,良,31,66,27,0.9,47,109
2017,9,15,258,37,4,67,良,37,73,36,1,43,120
2017,9,16,259,38,4,75,良,29,61,29,1,34,130
2017,9,17,260,38,4,48,优,23,44,17,0.7,38,90
2017,9,18,261,38,4,75,良,36,72,33,1.4,41,130
2017,9,19,262,38,4,47,优,18,47,14,0.6,25,72
2017,9,20,263,38,4,49,优,21,45,16,0.5,39,94
2017,9,21,264,38,4,81,良,24,55,26,1,33,137
2017,9,22,265,38,4,57,良,29,53,19,0.8,34,108
2017,9,23,266,39,4,64,良,22,62,27,1.1,34,116
2017,9,24,267,39,4,55,良,21,59,22,0.6,33,98
2017,9,25,268,39,4,66,良,41,76,25,1.1,36,119
2017,9,26,269,39,4,48,优,27,48,21,0.7,32,70
2017,9,27,270,39,4,47,优,19,41,15,0.7,37,60
2017,9,28,271,39,4,40,优,14,40,13,0.5,32,62
2017,9,29,272,39,4,60,良,27,70,35,0.9,48,67
2017,9,30,273,40,4,87,良,64,112,36,1.4,49,120
2017,10,1,274,40,4,56,良,17,53,14,0.5,20,107
2017,10,2,275,40,4,43,优,12,43,13,0.4,26,54
2017,10,3,276,40,4,50,优,21,50,14,0.6,33,68
2017,10,4,277,40,4,64,良,40,77,33,0.9,48,66
2017,10,5,278,40,4,67,良,39,77,31,1.2,37,120
2017,10,6,279,40,4,74,良,30,56,23,0.8,30,128
2017,10,7,280,41,4,74,良,45,66,24,1,35,128
2017,10,8,281,41,4,98,良,73,98,27,1.7,62,93
2017,10,9,282,41,4,57,良,40,49,9,0.8,32,30
2017,10,10,283,41,4,37,优,19,34,10,0.6,29,44
2017,10,11,284,41,4,39,优,16,35,10,0.5,31,65
2017,10,12,285,41,4,64,良,35,78,28,0.9,47,54
2017,10,13,286,41,4,53,良,29,53,16,0.8,42,60
2017,10,14,287,42,4,55,良,28,58,16,0.7,44,66
2017,10,15,288,42,4,69,良,43,77,22,1,55,25
2017,10,16,289,42,4,59,良,40,68,13,0.9,46,70
2017,10,17,290,42,4,84,良,62,103,24,1.1,60,64
2017,10,18,291,42,4,162,中度污染,123,176,37,1.8,86,60
2017,10,19,292,42,4,127,轻度污染,96,161,44,2.3,78,63
2017,10,20,293,42,4,130,轻度污染,99,154,24,2.3,51,101
2017,10,21,294,43,4,55,良,38,59,17,0.8,31,69
2017,10,22,295,43,4,57,良,33,64,12,0.6,32,80
2017,10,23,296,43,4,77,良,56,90,16,0.7,47,78
2017,10,24,297,43,4,130,轻度污染,99,148,42,1.8,83,69
2017,10,25,298,43,4,173,中度污染,131,199,42,2.8,101,79
2017,10,26,299,43,4,152,中度污染,116,176,40,2,68,69
2017,10,27,300,43,4,109,轻度污染,82,114,37,1.3,54,98
2017,10,28,301,44,4,72,良,44,93,23,0.7,32,82
2017,10,29,302,44,4,50,优,14,50,16,0.4,32,56
2017,10,30,303,44,4,69,良,41,87,47,1,54,47
2017,10,31,304,44,4,80,良,49,110,43,1.3,54,68
2017,11,1,305,44,4,69,良,38,81,34,0.8,55,60
2017,11,2,306,44,4,149,轻度污染,114,148,32,1.1,60,33
2017,11,3,307,44,4,94,良,70,88,23,0.8,41,47
2017,11,4,308,45,4,70,良,51,86,50,1.2,51,43
2017,11,5,309,45,4,87,良,64,119,35,1.3,44,88
2017,11,6,310,45,4,84,良,62,102,32,1,43,93
2017,11,7,311,45,4,92,良,68,120,26,1.1,44,73
2017,11,8,312,45,4,48,优,18,48,21,0.7,38,58
2017,11,9,313,45,4,65,良,41,80,38,1,42,54
2017,11,10,314,45,4,78,良,17,106,12,0.5,20,53
2017,11,11,315,46,4,59,良,26,67,26,0.6,38,36
2017,11,12,316,46,4,65,良,43,79,38,1.3,44,61
2017,11,13,317,46,4,57,良,33,63,26,0.8,39,55
2017,11,14,318,46,4,38,优,15,38,17,0.4,24,48
2017,11,15,319,46,4,48,优,18,48,22,0.5,28,50
2017,11,16,320,46,4,71,良,48,91,47,1.2,44,34
2017,11,17,321,46,4,83,良,61,80,20,0.7,30,55
2017,11,18,322,47,4,54,良,33,57,27,0.7,29,47
2017,11,19,323,47,4,53,良,37,56,35,0.7,35,46
2017,11,20,324,47,4,59,良,38,63,51,1.3,47,47
2017,11,21,325,47,4,76,良,42,102,39,1.1,43,54
2017,11,22,326,47,4,54,良,25,58,25,0.6,35,49
2017,11,23,327,47,4,44,优,19,44,25,0.6,31,42
2017,11,24,328,47,4,51,良,30,51,38,0.8,40,43
2017,11,25,329,48,4,54,良,36,57,31,0.9,36,44
2017,11,26,330,48,4,57,良,40,58,31,0.8,38,50
2017,11,27,331,48,4,58,良,33,66,35,1.1,35,58
2017,11,28,332,48,4,70,良,32,90,22,0.7,26,55
2017,11,29,333,48,4,57,良,20,64,21,0.6,30,61
2017,11,30,334,48,4,53,良,25,47,33,0.7,42,53
2017,12,1,335,48,5,72,良,52,85,62,1.4,56,30
2017,12,2,336,49,5,139,轻度污染,106,168,35,1.4,53,61
2017,12,3,337,49,5,59,良,42,64,29,0.9,37,40
2017,12,4,338,49,5,54,良,37,56,34,0.8,43,45
2017,12,5,339,49,5,83,良,61,95,50,1.3,53,31
2017,12,6,340,49,5,107,轻度污染,80,128,75,2,61,20
2017,12,7,341,49,5,87,良,64,90,30,1,40,41
2017,12,8,342,49,5,107,轻度污染,80,119,51,1.6,53,19
2017,12,9,343,50,5,83,良,61,104,57,2,53,40
2017,12,10,344,50,5,68,良,34,86,21,0.8,29,46
2017,12,11,345,50,5,53,良,24,55,21,0.8,23,35
2017,12,12,346,50,5,54,良,30,57,32,0.8,35,36
2017,12,13,347,50,5,110,轻度污染,83,124,67,1.6,56,27
2017,12,14,348,50,5,163,中度污染,124,182,108,2.5,75,16
2017,12,15,349,50,5,99,良,74,107,53,1.4,52,46
2017,12,16,350,51,5,53,良,24,56,28,0.6,34,53
2017,12,17,351,51,5,72,良,47,93,53,1.3,51,36
2017,12,18,352,51,5,57,良,30,64,35,0.8,36,51
2017,12,19,353,51,5,61,良,28,71,40,0.9,38,41
2017,12,20,354,51,5,88,良,65,103,72,1.5,62,29
2017,12,21,355,51,5,72,良,52,88,51,1.6,56,35
2017,12,22,356,51,5,130,轻度污染,99,135,45,1.6,64,32
2017,12,23,357,52,5,166,中度污染,126,175,68,2.5,75,28
2017,12,24,358,52,5,54,良,36,58,31,0.9,42,53
2017,12,25,359,52,5,54,良,27,57,32,0.8,35,49
2017,12,26,360,52,5,43,优,22,43,21,0.7,28,48
2017,12,27,361,52,5,67,良,43,71,55,1.2,53,24
2017,12,28,362,52,5,119,轻度污染,90,132,88,1.9,65,13
2017,12,29,363,52,5,169,中度污染,128,166,46,1.4,56,40
2017,12,30,364,53,5,196,中度污染,147,187,72,1.9,74,15
2017,12,31,365,53,5,175,中度污染,132,183,59,2.1,68,28
