Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,202,重度污染,152,224,52,2,73,56
2017,1,2,2,1,1,269,重度污染,219,325,38,3.9,82,9
2017,1,3,3,1,1,236,重度污染,186,269,42,2.7,83,67
2017,1,4,4,1,1,332,严重污染,282,436,57,6.1,97,7
2017,1,5,5,1,1,416,严重污染,236,516,53,4,75,6
2017,1,6,6,1,1,364,严重污染,275,471,54,4.7,101,8
2017,1,7,7,2,1,213,重度污染,163,247,49,2.4,68,21
2017,1,8,8,2,1,149,轻度污染,114,147,38,1.8,50,36
2017,1,9,9,2,1,195,中度污染,146,216,42,2.5,70,24
2017,1,10,10,2,1,144,轻度污染,110,191,56,2.4,73,33
2017,1,11,11,2,1,178,中度污染,134,214,52,1.8,66,49
2017,1,12,12,2,1,258,重度污染,208,302,51,2.2,71,31
2017,1,13,13,2,1,124,轻度污染,94,158,39,1.8,56,55
2017,1,14,14,3,1,87,良,51,123,45,1.4,60,44
2017,1,15,15,3,1,100,良,75,144,40,1.4,62,37
2017,1,16,16,3,1,142,轻度污染,108,179,54,2.2,70,40
2017,1,17,17,3,1,155,中度污染,118,188,54,1.4,66,47
2017,1,18,18,3,1,323,严重污染,273,390,103,3.4,108,15
2017,1,19,19,3,1,206,重度污染,156,273,44,1.6,51,56
2017,1,20,20,3,1,60,良,23,69,29,0.8,38,57
2017,1,21,21,4,1,79,良,46,107,36,0.8,38,59
2017,1,22,22,4,1,64,良,34,78,43,1.1,48,56
2017,1,23,23,4,1,132,轻度污染,100,180,65,2,68,46
2017,1,24,24,4,1,188,中度污染,141,223,85,2.4,80,38
2017,1,25,25,4,1,135,轻度污染,103,156,48,1.3,52,80
2017,1,26,26,4,1,144,轻度污染,110,200,39,1.2,28,96
2017,1,27,27,4,1,78,良,57,100,43,0.9,27,81
2017,1,28,28,5,1,124,轻度污染,94,136,46,1.2,37,68
2017,1,29,29,5,1,125,轻度污染,95,146,38,1.5,29,60
2017,1,30,30,5,1,61,良,43,72,42,1.2,26,61
2017,1,31,31,5,1,75,良,55,81,41,0.9,28,66
2017,2,1,32,5,1,108,轻度污染,81,127,54,1.4,40,67
2017,2,2,33,5,1,135,轻度污染,103,144,44,1.3,39,106
2017,2,3,34,5,1,140,轻度污染,107,143,34,1.1,31,86
2017,2,4,35,6,1,190,中度污染,143,198,44,1.6,52,35
2017,2,5,36,6,1,158,中度污染,120,174,41,1.6,55,69
2017,2,6,37,6,1,95,良,71,132,61,1.6,56,57
2017,2,7,38,6,1,78,良,57,106,51,1.2,54,35
2017,2,8,39,6,1,80,良,58,110,55,1.2,50,60
2017,2,9,40,6,1,57,良,25,63,27,0.8,36,78
2017,2,10,41,6,1,71,良,40,92,39,1.1,53,79
2017,2,11,42,7,1,92,良,68,119,53,1.1,54,76
2017,2,12,43,7,1,102,轻度污染,76,131,45,1.2,52,91
2017,2,13,44,7,1,180,中度污染,136,214,71,1.8,83,92
2017,2,14,45,7,1,235,重度污染,185,315,69,2.4,80,91
2017,2,15,46,7,1,128,轻度污染,97,169,39,1,34,133
2017,2,16,47,7,1,132,轻度污染,88,213,39,1.1,38,106
2017,2,17,48,7,1,81,良,44,112,53,1.2,53,62
2017,2,18,49,8,1,108,轻度污染,69,165,42,1,47,70
2017,2,19,50,8,1,179,中度污染,135,248,40,1.3,39,96
2017,2,20,51,8,1,109,轻度污染,46,167,35,1,33,72
2017,2,21,52,8,1,71,良,43,92,35,1,53,47
2017,2,22,53,8,1,135,轻度污染,103,130,30,1.1,49,53
2017,2,23,54,8,1,92,良,68,102,31,1.2,52,78
2017,2,24,55,8,1,76,良,53,101,35,1,56,93
2017,2,25,56,9,1,90,良,65,129,44,1.3,67,84
2017,2,26,57,9,1,83,良,51,116,37,1.1,62,90
2017,2,27,58,9,1,107,轻度污染,80,148,42,0.9,40,103
2017,2,28,59,9,1,130,轻度污染,99,183,45,1,52,118
2017,3,1,60,9,2,100,良,68,150,36,1.2,63,53
2017,3,2,61,9,2,75,良,32,100,26,0.8,40,89
2017,3,3,62,9,2,90,良,52,129,31,0.8,40,103
2017,3,4,63,10,2,153,中度污染,117,254,50,1.6,100,84
2017,3,5,64,10,2,107,轻度污染,79,164,45,1.1,52,83
2017,3,6,65,10,2,96,良,48,142,35,1,46,105
2017,3,7,66,10,2,61,良,28,71,29,0.9,35,81
2017,3,8,67,10,2,70,良,34,90,31,0.8,45,86
2017,3,9,68,10,2,81,良,44,112,39,1,54,82
2017,3,10,69,10,2,97,良,54,144,36,1.2,71,83
2017,3,11,70,11,2,138,轻度污染,105,205,48,1.3,68,138
2017,3,12,71,11,2,126,轻度污染,73,201,38,1,48,85
2017,3,13,72,11,2,88,良,46,126,49,1.2,58,79
2017,3,14,73,11,2,93,良,53,136,32,1,66,92
2017,3,15,74,11,2,106,轻度污染,69,161,39,1.2,74,92
2017,3,16,75,11,2,92,良,61,133,31,0.8,47,104
2017,3,17,76,11,2,94,良,70,134,27,0.8,39,126
2017,3,18,77,12,2,139,轻度污染,106,195,40,1.2,64,149
2017,3,19,78,12,2,94,良,61,137,30,0.9,52,119
2017,3,20,79,12,2,89,良,61,127,25,0.9,37,91
2017,3,21,80,12,2,93,良,56,135,35,1.1,56,90
2017,3,22,81,12,2,102,轻度污染,76,149,29,1,46,101
2017,3,23,82,12,2,138,轻度污染,105,161,22,1,43,85
2017,3,24,83,12,2,105,轻度污染,79,112,16,0.9,43,68
2017,3,25,84,13,2,98,良,73,115,13,0.9,40,79
2017,3,26,85,13,2,70,良,39,90,17,0.7,42,86
2017,3,27,86,13,2,75,良,40,99,25,0.8,48,92
2017,3,28,87,13,2,105,轻度污染,79,128,24,1.4,63,50
2017,3,29,88,13,2,83,良,61,106,18,0.9,52,100
2017,3,30,89,13,2,145,轻度污染,111,208,29,1.3,66,64
2017,3,31,90,13,2,103,轻度污染,77,124,22,1.1,49,113
2017,4,1,91,14,2,88,良,62,125,23,0.9,42,88
2017,4,2,92,14,2,103,轻度污染,68,155,29,1,58,126
2017,4,3,93,14,2,90,良,59,129,24,0.9,55,140
2017,4,4,94,14,2,77,良,55,103,21,1,57,97
2017,4,5,95,14,2,115,轻度污染,87,126,19,1.2,48,74
2017,4,6,96,14,2,114,轻度污染,86,147,25,1.2,56,126
2017,4,7,97,14,2,212,重度污染,162,276,30,2.5,70,137
2017,4,8,98,15,2,168,中度污染,127,227,24,1.5,72,36
2017,4,9,99,15,2,78,良,33,106,34,1.2,48,73
2017,4,10,100,15,2,93,良,49,135,36,1.2,66,73
2017,4,11,101,15,2,94,良,58,138,27,1.2,59,102
2017,4,12,102,15,2,114,轻度污染,82,177,20,1.1,52,149
2017,4,13,103,15,2,79,良,49,107,15,0.9,26,104
2017,4,14,104,15,2,75,良,42,100,16,0.7,32,106
2017,4,15,105,16,2,98,良,68,145,21,1,46,124
2017,4,16,106,16,2,112,轻度污染,84,158,18,1.2,59,64
2017,4,17,107,16,2,137,轻度污染,60,224,17,0.8,28,101
2017,4,18,108,16,2,98,良,34,146,14,0.6,34,102
2017,4,19,109,16,2,81,良,34,112,13,0.7,48,85
2017,4,20,110,16,2,74,良,30,97,11,0.7,36,99
2017,4,21,111,16,2,81,良,49,111,11,0.8,40,94
2017,4,22,112,17,2,79,良,40,107,13,0.6,32,124
2017,4,23,113,17,2,86,良,38,108,15,0.5,22,143
2017,4,24,114,17,2,98,良,55,146,21,0.8,41,127
2017,4,25,115,17,2,113,轻度污染,71,176,38,1.4,63,83
2017,4,26,116,17,2,95,良,59,140,19,0.9,57,109
2017,4,27,117,17,2,76,良,36,101,18,0.6,43,97
2017,4,28,118,17,2,83,良,46,116,25,0.8,36,112
2017,4,29,119,18,2,91,良,51,132,25,0.7,45,126
2017,4,30,120,18,2,130,轻度污染,73,183,36,1,43,192
2017,5,1,121,18,2,190,中度污染,136,330,59,2.3,75,185
2017,5,2,122,18,2,108,轻度污染,68,127,26,0.7,34,168
2017,5,3,123,18,2,77,良,29,76,20,0.5,20,132
2017,5,4,124,18,2,100,良,61,150,12,0.8,27,119
2017,5,5,125,18,2,209,重度污染,110,356,12,0.6,43,110
2017,5,6,126,19,2,175,中度污染,95,299,19,0.6,34,147
2017,5,7,127,19,2,163,中度污染,118,276,22,0.6,30,170
2017,5,8,128,19,2,107,轻度污染,69,163,16,0.7,36,110
2017,5,9,129,19,2,100,良,44,86,15,0.8,40,160
2017,5,10,130,19,2,108,轻度污染,60,137,23,0.9,38,168
2017,5,11,131,19,2,108,轻度污染,55,137,24,0.8,32,168
2017,5,12,132,19,2,123,轻度污染,42,196,23,0.7,29,159
2017,5,13,133,20,2,102,轻度污染,38,153,14,0.6,22,111
2017,5,14,134,20,2,111,轻度污染,43,136,30,1,48,172
2017,5,15,135,20,2,106,轻度污染,49,138,27,0.9,42,166
2017,5,16,136,20,2,96,良,28,75,18,0.5,19,155
2017,5,17,137,20,2,114,轻度污染,33,94,16,0.5,18,175
2017,5,18,138,20,2,146,轻度污染,44,95,18,0.7,21,210
2017,5,19,139,20,2,119,轻度污染,42,90,19,0.6,26,180
2017,5,20,140,21,2,184,中度污染,72,142,29,1.1,46,249
2017,5,21,141,21,2,137,轻度污染,65,124,18,0.9,37,200
2017,5,22,142,21,2,137,轻度污染,73,144,15,0.7,26,200
2017,5,23,143,21,2,70,良,30,58,11,0.7,29,123
2017,5,24,144,21,2,94,良,37,86,16,0.7,49,152
2017,5,25,145,21,2,78,良,34,106,27,0.6,39,133
2017,5,26,146,21,2,110,轻度污染,38,106,22,0.7,50,170
2017,5,27,147,22,2,139,轻度污染,41,105,17,0.5,25,202
2017,5,28,148,22,2,143,轻度污染,37,108,15,0.5,20,207
2017,5,29,149,22,2,123,轻度污染,44,94,18,0.6,30,185
2017,5,30,150,22,2,124,轻度污染,79,174,33,1,36,186
2017,5,31,151,22,2,153,中度污染,74,137,35,1.2,36,218
2017,6,1,152,22,3,170,中度污染,72,165,37,1.2,50,235
2017,6,2,153,22,3,134,轻度污染,44,133,24,0.8,33,197
2017,6,3,154,23,3,82,良,29,80,28,0.8,32,138
2017,6,4,155,23,3,144,轻度污染,46,110,24,0.8,48,208
2017,6,5,156,23,3,60,良,23,65,20,0.6,29,112
2017,6,6,157,23,3,49,优,30,49,10,0.7,26,89
2017,6,7,158,23,3,117,轻度污染,40,76,12,0.6,24,178
2017,6,8,159,23,3,121,轻度污染,42,103,16,0.6,21,183
