Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,50,优,22,50,5,0.6,9,99
2017,1,2,2,1,1,42,优,18,37,5,0.5,10,83
2017,1,3,3,1,1,96,良,37,54,10,0.7,18,155
2017,1,4,4,1,1,46,优,20,40,5,0.5,8,91
2017,1,5,5,1,1,42,优,23,41,6,0.6,12,84
2017,1,6,6,1,1,75,良,30,45,6,0.6,11,130
2017,1,7,7,2,1,51,良,28,52,5,0.6,16,85
2017,1,8,8,2,1,44,优,24,44,6,0.6,12,86
2017,1,9,9,2,1,88,良,47,56,7,1,10,145
2017,1,10,10,2,1,55,良,28,54,5,0.8,7,106
2017,1,11,11,2,1,56,良,36,61,4,0.8,6,92
2017,1,12,12,2,1,52,良,32,54,4,0.9,12,88
2017,1,13,13,2,1,30,优,16,19,4,1.2,16,33
2017,1,14,14,3,1,30,优,11,15,4,1.2,15,41
2017,1,15,15,3,1,30,优,18,26,4,1,15,60
2017,1,16,16,3,1,28,优,12,28,4,1,18,52
2017,1,17,17,3,1,53,良,18,55,4,0.6,14,69
2017,1,18,18,3,1,55,良,28,60,5,0.6,15,87
2017,1,19,19,3,1,54,良,38,55,5,0.7,24,97
2017,1,20,20,3,1,45,优,20,37,5,0.9,10,89
2017,1,21,21,4,1,55,良,36,47,6,0.8,9,106
2017,1,22,22,4,1,74,良,43,58,7,0.8,7,128
2017,1,23,23,4,1,95,良,40,60,8,0.8,8,154
2017,1,24,24,4,1,60,良,26,60,5,0.6,5,112
2017,1,25,25,4,1,53,良,21,44,5,0.5,6,103
2017,1,26,26,4,1,62,良,30,49,6,0.6,6,114
2017,1,27,27,4,1,67,良,31,51,6,0.6,4,120
2017,1,28,28,5,1,102,轻度污染,76,88,14,0.5,7,103
2017,1,29,29,5,1,42,优,27,39,5,0.4,6,84
2017,1,30,30,5,1,38,优,18,25,5,0.4,5,75
2017,1,31,31,5,1,38,优,24,37,4,0.7,6,75
2017,2,1,32,5,1,56,良,32,46,5,0.9,8,107
2017,2,2,33,5,1,43,优,22,40,5,0.7,6,86
2017,2,3,34,5,1,43,优,21,43,4,0.6,6,84
2017,2,4,35,6,1,39,优,14,32,5,0.6,12,78
2017,2,5,36,6,1,55,良,23,28,7,0.8,15,106
2017,2,6,37,6,1,42,优,23,38,6,0.7,18,84
2017,2,7,38,6,1,42,优,27,41,4,0.8,11,84
2017,2,8,39,6,1,52,良,27,54,5,0.7,11,87
2017,2,9,40,6,1,50,优,14,26,5,0.8,8,100
2017,2,10,41,6,1,72,良,52,67,12,0.8,8,100
2017,2,11,42,7,1,70,良,51,69,12,0.7,8,108
2017,2,12,43,7,1,95,良,52,66,10,0.8,10,154
2017,2,13,44,7,1,95,良,43,62,8,0.7,10,153
2017,2,14,45,7,1,60,良,22,48,10,0.5,11,112
2017,2,15,46,7,1,62,良,25,50,4,0.6,15,114
2017,2,16,47,7,1,49,优,22,41,4,0.5,17,97
2017,2,17,48,7,1,43,优,25,36,4,0.6,23,86
2017,2,18,49,8,1,46,优,24,39,6,0.6,23,92
2017,2,19,50,8,1,46,优,28,46,5,0.6,20,76
2017,2,20,51,8,1,37,优,21,37,4,0.6,14,66
2017,2,21,52,8,1,26,优,14,26,4,0.5,11,47
2017,2,22,53,8,1,32,优,14,26,4,0.5,12,63
2017,2,23,54,8,1,29,优,20,27,4,0.6,16,34
2017,2,24,55,8,1,24,优,15,22,4,0.8,12,47
2017,2,25,56,9,1,23,优,14,19,4,0.8,14,45
2017,2,26,57,9,1,38,优,18,25,5,0.7,12,76
2017,2,27,58,9,1,55,良,30,48,8,0.7,14,105
2017,2,28,59,9,1,70,良,31,59,6,0.6,11,123
2017,3,1,60,9,2,82,良,60,82,11,0.8,17,137
2017,3,2,61,9,2,95,良,44,74,10,0.8,14,153
2017,3,3,62,9,2,69,良,40,74,6,0.7,15,122
2017,3,4,63,10,2,56,良,33,62,4,0.6,19,95
2017,3,5,64,10,2,57,良,34,63,5,0.6,24,84
2017,3,6,65,10,2,51,良,34,52,6,0.6,21,70
2017,3,7,66,10,2,57,良,33,63,6,0.8,16,105
2017,3,8,67,10,2,39,优,27,37,4,0.8,19,71
2017,3,9,68,10,2,43,优,30,40,5,0.8,17,80
2017,3,10,69,10,2,46,优,26,46,6,0.7,29,65
2017,3,11,70,11,2,44,优,27,44,5,0.6,28,48
2017,3,12,71,11,2,38,优,23,38,4,0.5,11,68
2017,3,13,72,11,2,50,优,26,50,6,0.6,21,80
2017,3,14,73,11,2,42,优,20,42,6,0.6,16,66
2017,3,15,74,11,2,43,优,14,40,5,0.6,11,85
2017,3,16,75,11,2,44,优,14,38,4,0.6,11,88
2017,3,17,76,11,2,42,优,16,42,5,0.6,15,71
2017,3,18,77,12,2,37,优,17,37,4,0.6,16,64
2017,3,19,78,12,2,40,优,9,24,4,0.6,12,79
2017,3,20,79,12,2,36,优,17,36,4,0.6,13,69
2017,3,21,80,12,2,35,优,16,35,4,0.6,11,59
2017,3,22,81,12,2,34,优,16,34,5,0.6,11,58
2017,3,23,82,12,2,34,优,16,34,5,0.6,10,58
2017,3,24,83,12,2,28,优,12,28,5,0.5,8,52
2017,3,25,84,13,2,32,优,18,32,6,0.7,14,46
2017,3,26,85,13,2,39,优,12,31,5,0.8,9,78
2017,3,27,86,13,2,59,良,22,57,8,0.7,12,110
2017,3,28,87,13,2,55,良,26,60,6,0.7,17,93
2017,3,29,88,13,2,57,良,29,64,5,0.7,14,68
2017,3,30,89,13,2,40,优,18,40,5,0.6,10,52
2017,3,31,90,13,2,36,优,18,36,6,0.7,16,68
2017,4,1,91,14,2,74,良,16,31,7,0.7,7,128
2017,4,2,92,14,2,94,良,28,48,8,0.6,6,152
2017,4,3,93,14,2,65,良,26,49,6,0.5,6,118
2017,4,4,94,14,2,47,优,18,47,6,0.5,10,92
2017,4,5,95,14,2,50,优,22,50,6,0.5,13,75
2017,4,6,96,14,2,35,优,18,35,6,0.6,13,56
2017,4,7,97,14,2,32,优,15,32,6,0.5,11,56
2017,4,8,98,15,2,34,优,16,34,6,0.4,9,52
2017,4,9,99,15,2,36,优,15,36,5,0.4,10,54
2017,4,10,100,15,2,48,优,21,46,6,0.6,17,96
2017,4,11,101,15,2,55,良,27,59,8,0.8,32,74
2017,4,12,102,15,2,29,优,15,29,5,0.9,17,45
2017,4,13,103,15,2,37,优,21,37,6,0.9,15,71
2017,4,14,104,15,2,58,良,20,47,6,0.8,12,109
2017,4,15,105,16,2,33,优,12,27,5,0.6,12,66
2017,4,16,106,16,2,29,优,10,22,5,0.5,8,58
2017,4,17,107,16,2,39,优,20,38,6,0.6,19,77
2017,4,18,108,16,2,51,良,22,52,8,0.6,33,88
2017,4,19,109,16,2,55,良,23,44,7,0.6,15,106
2017,4,20,110,16,2,46,优,23,46,7,0.6,17,89
