Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,500,严重污染,319,619,43,7,129,8
2017,1,2,2,1,1,392,严重污染,291,493,76,6.9,125,31
2017,1,3,3,1,1,364,严重污染,266,471,65,8.3,124,9
2017,1,4,4,1,1,469,严重污染,311,569,41,7.8,132,10
2017,1,5,5,1,1,347,严重污染,291,457,53,6.4,118,8
2017,1,6,6,1,1,270,重度污染,220,327,79,3.9,87,13
2017,1,7,7,2,1,314,严重污染,264,373,56,3.9,82,9
2017,1,8,8,2,1,237,重度污染,187,323,45,4.8,84,13
2017,1,9,9,2,1,182,中度污染,137,243,40,3.2,69,48
2017,1,10,10,2,1,150,轻度污染,115,178,57,2,64,50
2017,1,11,11,2,1,257,重度污染,207,290,107,3.7,89,21
2017,1,12,12,2,1,117,轻度污染,88,153,80,1.9,65,59
2017,1,13,13,2,1,165,中度污染,125,187,83,2.5,69,49
2017,1,14,14,3,1,204,重度污染,154,215,91,2.5,72,37
2017,1,15,15,3,1,275,重度污染,225,302,78,2.9,72,7
2017,1,16,16,3,1,227,重度污染,177,239,57,2.1,63,17
2017,1,17,17,3,1,272,重度污染,222,296,86,2.6,78,24
2017,1,18,18,3,1,422,严重污染,383,497,76,3.8,80,9
2017,1,19,19,3,1,199,中度污染,149,248,43,1.7,39,69
2017,1,20,20,3,1,82,良,60,108,74,1.2,49,49
2017,1,21,21,4,1,105,轻度污染,79,134,62,1.7,45,71
2017,1,22,22,4,1,102,轻度污染,76,124,67,1.5,48,53
2017,1,23,23,4,1,253,重度污染,203,270,112,3.1,76,39
2017,1,24,24,4,1,240,重度污染,190,257,99,2.9,82,40
2017,1,25,25,4,1,352,严重污染,302,389,153,4.2,106,25
2017,1,26,26,4,1,351,严重污染,301,407,107,3.9,84,45
2017,1,27,27,4,1,210,重度污染,160,225,77,1.9,42,72
2017,1,28,28,5,1,347,严重污染,297,380,130,2.9,64,43
2017,1,29,29,5,1,255,重度污染,205,280,63,2.2,41,68
2017,1,30,30,5,1,59,良,42,66,43,1,24,81
2017,1,31,31,5,1,182,中度污染,137,186,130,2.4,64,49
2017,2,1,32,5,1,183,中度污染,138,191,94,2.3,57,86
2017,2,2,33,5,1,254,重度污染,204,269,133,3.7,88,54
2017,2,3,34,5,1,300,重度污染,250,328,130,3.9,84,67
2017,2,4,35,6,1,394,严重污染,344,445,71,3.7,77,27
2017,2,5,36,6,1,381,严重污染,331,434,92,4.1,92,104
2017,2,6,37,6,1,201,重度污染,151,199,62,2.3,57,65
2017,2,7,38,6,1,89,良,66,101,61,1.3,41,69
2017,2,8,39,6,1,100,良,75,123,49,1.5,40,82
2017,2,9,40,6,1,51,良,23,51,26,0.9,31,83
2017,2,10,41,6,1,57,良,32,63,37,1,39,81
2017,2,11,42,7,1,99,良,74,129,87,1.6,59,65
2017,2,12,43,7,1,149,轻度污染,114,173,113,2.1,68,69
