Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,62,良,32,74,5,0.7,47,57
2017,1,2,2,1,1,66,良,40,82,7,0.8,47,67
2017,1,3,3,1,1,67,良,48,84,6,0.7,44,114
2017,1,4,4,1,1,73,良,53,87,6,0.7,53,94
2017,1,5,5,1,1,75,良,55,100,7,0.7,59,58
2017,1,6,6,1,1,77,良,56,99,6,0.9,56,23
2017,1,7,7,2,1,67,良,44,77,6,0.9,53,46
2017,1,8,8,2,1,55,良,32,59,6,0.8,31,83
2017,1,9,9,2,1,48,优,31,48,5,0.8,25,75
2017,1,10,10,2,1,79,良,58,80,6,0.9,31,78
2017,1,11,11,2,1,93,良,69,89,6,1.1,32,56
2017,1,12,12,2,1,54,良,38,39,5,1,41,28
2017,1,13,13,2,1,37,优,16,22,4,0.8,29,37
2017,1,14,14,3,1,65,良,47,60,9,0.7,22,114
2017,1,15,15,3,1,54,良,38,53,7,0.7,23,86
2017,1,16,16,3,1,42,优,25,42,6,0.6,26,69
2017,1,17,17,3,1,49,优,28,49,5,0.6,35,52
2017,1,18,18,3,1,54,良,33,44,5,0.7,43,16
2017,1,19,19,3,1,43,优,23,33,4,0.6,34,38
2017,1,20,20,3,1,39,优,23,39,5,0.7,22,73
2017,1,21,21,4,1,53,良,30,55,6,0.6,23,73
2017,1,22,22,4,1,54,良,38,58,5,0.7,25,102
2017,1,23,23,4,1,65,良,43,68,9,0.7,20,117
2017,1,24,24,4,1,44,优,20,38,7,0.5,18,88
2017,1,25,25,4,1,40,优,21,37,5,0.5,17,79
2017,1,26,26,4,1,51,良,25,38,5,0.5,13,101
2017,1,27,27,4,1,47,优,28,41,5,0.5,13,93
2017,1,28,28,5,1,79,良,58,84,11,0.7,13,99
2017,1,29,29,5,1,52,良,35,54,5,0.7,29,62
2017,1,30,30,5,1,57,良,40,53,4,0.9,18,53
2017,1,31,31,5,1,55,良,39,54,5,0.9,11,70
2017,2,1,32,5,1,33,优,23,33,6,0.6,14,66
2017,2,2,33,5,1,41,优,27,33,4,0.6,11,81
2017,2,3,34,5,1,39,优,25,39,5,0.6,25,72
2017,2,4,35,6,1,42,优,25,42,5,0.6,29,71
2017,2,5,36,6,1,46,优,32,45,5,0.6,29,46
2017,2,6,37,6,1,70,良,45,62,7,0.7,18,124
2017,2,7,38,6,1,51,良,35,51,5,0.5,21,99
2017,2,8,39,6,1,38,优,21,38,5,0.6,28,64
2017,2,9,40,6,1,39,优,20,27,5,0.7,15,78
2017,2,10,41,6,1,65,良,47,57,7,0.7,19,97
2017,2,11,42,7,1,68,良,49,58,9,0.6,20,117
2017,2,12,43,7,1,62,良,37,51,8,0.6,26,114
2017,2,13,44,7,1,53,良,30,44,6,0.6,30,103
2017,2,14,45,7,1,65,良,26,45,7,0.6,29,118
2017,2,15,46,7,1,53,良,30,56,7,0.6,37,98
2017,2,16,47,7,1,61,良,40,72,8,0.7,43,104
2017,2,17,48,7,1,85,良,63,104,7,0.8,51,114
2017,2,18,49,8,1,67,良,48,72,5,0.7,26,95
2017,2,19,50,8,1,63,良,39,75,5,0.8,36,94
2017,2,20,51,8,1,78,良,54,86,5,1.1,62,44
2017,2,21,52,8,1,51,良,19,51,4,0.6,23,78
2017,2,22,53,8,1,63,良,30,49,5,0.9,50,32
2017,2,23,54,8,1,38,优,9,16,4,0.7,30,44
2017,2,24,55,8,1,35,优,20,23,4,0.6,28,62
2017,2,25,56,9,1,39,优,16,22,4,0.7,31,46
2017,2,26,57,9,1,57,良,22,34,6,0.6,25,108
2017,2,27,58,9,1,91,良,65,84,9,0.8,38,149
2017,2,28,59,9,1,99,良,74,102,8,0.9,59,96
2017,3,1,60,9,2,80,良,59,100,9,0.9,56,114
2017,3,2,61,9,2,75,良,35,86,8,0.6,33,130
2017,3,3,62,9,2,59,良,34,68,7,0.6,31,109
2017,3,4,63,10,2,60,良,29,70,7,0.6,45,89
2017,3,5,64,10,2,75,良,44,91,8,0.7,60,46
2017,3,6,65,10,2,45,优,24,43,4,0.6,29,90
2017,3,7,66,10,2,57,良,35,63,5,0.6,34,102
2017,3,8,67,10,2,67,良,46,84,8,0.8,52,89
2017,3,9,68,10,2,73,良,44,83,8,0.8,42,127
2017,3,10,69,10,2,48,优,20,27,4,0.7,38,88
2017,3,11,70,11,2,53,良,18,37,5,0.8,42,75
2017,3,12,71,11,2,73,良,36,56,5,1,58,30
2017,3,13,72,11,2,52,良,26,47,5,0.7,41,74
2017,3,14,73,11,2,46,优,16,31,5,0.5,25,91
2017,3,15,74,11,2,56,良,23,48,7,0.5,20,107
2017,3,16,75,11,2,48,优,29,46,5,0.8,38,80
2017,3,17,76,11,2,42,优,25,40,5,0.7,33,66
2017,3,18,77,12,2,59,良,31,60,6,0.8,47,44
2017,3,19,78,12,2,53,良,23,45,5,0.7,42,37
2017,3,20,79,12,2,60,良,30,68,6,0.8,48,68
2017,3,21,80,12,2,51,良,26,52,5,0.8,34,94
2017,3,22,81,12,2,67,良,31,51,5,0.7,37,120
2017,3,23,82,12,2,50,优,17,30,5,0.7,30,100
2017,3,24,83,12,2,64,良,19,41,5,0.6,22,116
2017,3,25,84,13,2,48,优,15,26,5,0.6,38,63
2017,3,26,85,13,2,59,良,24,67,6,0.7,40,51
2017,3,27,86,13,2,72,良,39,93,7,0.7,38,126
2017,3,28,87,13,2,85,良,50,120,7,0.9,62,90
2017,3,29,88,13,2,73,良,53,85,6,0.9,50,102
2017,3,30,89,13,2,65,良,40,79,7,0.7,40,104
2017,3,31,90,13,2,57,良,29,56,5,0.7,45,67
2017,4,1,91,14,2,71,良,33,60,6,0.6,30,125
2017,4,2,92,14,2,75,良,43,82,7,0.7,44,130
2017,4,3,93,14,2,88,良,39,76,7,0.6,39,145
2017,4,4,94,14,2,84,良,37,75,6,0.7,33,140
2017,4,5,95,14,2,78,良,42,97,7,0.8,46,133
2017,4,6,96,14,2,88,良,50,125,7,0.9,66,62
2017,4,7,97,14,2,70,良,44,90,6,1,54,38
2017,4,8,98,15,2,61,良,38,71,6,0.8,36,98
2017,4,9,99,15,2,62,良,34,74,8,0.8,39,71
2017,4,10,100,15,2,51,良,25,51,5,0.7,26,65
2017,4,11,101,15,2,40,优,11,21,4,0.7,24,80
2017,4,12,102,15,2,73,良,23,45,6,0.8,25,127
2017,4,13,103,15,2,62,良,21,60,7,0.6,30,114
2017,4,14,104,15,2,68,良,18,60,7,0.5,32,121
2017,4,15,105,16,2,84,良,50,117,8,0.8,61,88
2017,4,16,106,16,2,107,轻度污染,79,164,8,1.3,78,42
2017,4,17,107,16,2,79,良,53,108,6,1.1,50,80
2017,4,18,108,16,2,53,良,26,56,5,0.8,37,87
2017,4,19,109,16,2,63,良,26,66,6,0.9,50,57
2017,4,20,110,16,2,46,优,20,40,5,0.8,35,92
2017,4,21,111,16,2,44,优,23,40,5,0.8,31,88
2017,4,22,112,17,2,58,良,22,65,5,0.6,23,100
2017,4,23,113,17,2,97,良,32,76,6,0.7,25,156
2017,4,24,114,17,2,87,良,32,74,6,0.7,32,144
2017,4,25,115,17,2,67,良,37,73,6,0.8,53,60
2017,4,26,116,17,2,53,良,27,55,6,0.8,37,80
2017,4,27,117,17,2,62,良,16,32,6,0.6,22,114
2017,4,28,118,17,2,95,良,19,50,6,0.6,34,154
2017,4,29,119,18,2,100,良,26,67,7,0.6,42,159
2017,4,30,120,18,2,120,轻度污染,36,80,8,0.7,41,181
2017,5,1,121,18,2,87,良,42,84,8,0.7,39,144
2017,5,2,122,18,2,65,良,34,64,6,0.7,30,117
2017,5,3,123,18,2,39,优,19,39,5,0.6,24,67
2017,5,4,124,18,2,61,良,31,71,6,0.7,32,100
2017,5,5,125,18,2,56,良,32,61,5,0.8,36,57
2017,5,6,126,19,2,47,优,16,29,4,0.7,24,94
2017,5,7,127,19,2,51,良,20,52,4,0.6,23,95
2017,5,8,128,19,2,104,轻度污染,42,157,6,0.6,28,138
2017,5,9,129,19,2,63,良,30,75,5,0.7,29,104
2017,5,10,130,19,2,70,良,23,57,5,0.7,28,123
2017,5,11,131,19,2,82,良,27,62,4,0.7,25,138
2017,5,12,132,19,2,41,优,21,41,5,0.8,31,69
2017,5,13,133,20,2,53,良,17,34,5,0.7,24,103
2017,5,14,134,20,2,90,良,19,44,5,0.6,20,147
2017,5,15,135,20,2,53,良,21,48,5,0.7,26,103
2017,5,16,136,20,2,42,优,17,34,4,0.6,23,84
2017,5,17,137,20,2,61,良,20,44,4,0.7,23,113
2017,5,18,138,20,2,67,良,16,42,5,0.6,17,120
2017,5,19,139,20,2,50,优,18,45,5,0.6,16,100
2017,5,20,140,21,2,45,优,20,40,4,0.6,16,89
2017,5,21,141,21,2,41,优,14,34,5,0.6,19,81
