Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,89,良,66,114,30,1.6,64,40
2017,1,2,2,1,1,102,轻度污染,76,124,36,2.6,62,36
2017,1,3,3,1,1,79,良,58,108,37,2,62,38
2017,1,4,4,1,1,97,良,72,136,42,3.7,68,28
2017,1,5,5,1,1,78,良,48,106,32,3,56,25
2017,1,6,6,1,1,87,良,62,123,35,2.2,53,49
2017,1,7,7,2,1,82,良,60,108,26,2.3,52,42
2017,1,8,8,2,1,77,良,56,99,30,1.8,44,56
2017,1,9,9,2,1,59,良,32,68,31,1,36,54
2017,1,10,10,2,1,54,良,26,57,30,1.1,36,53
2017,1,11,11,2,1,68,良,48,86,28,1.8,44,36
2017,1,12,12,2,1,94,良,70,127,30,2.5,54,42
2017,1,13,13,2,1,89,良,64,128,31,2.8,58,54
2017,1,14,14,3,1,100,良,75,138,34,2.6,54,71
2017,1,15,15,3,1,89,良,57,127,40,2,54,70
2017,1,16,16,3,1,75,良,28,100,26,1.6,42,73
2017,1,17,17,3,1,71,良,42,91,32,2,45,59
2017,1,18,18,3,1,94,良,56,137,32,2.6,48,64
2017,1,19,19,3,1,99,良,42,148,29,1.6,40,65
2017,1,20,20,3,1,132,轻度污染,66,213,34,2.5,48,48
2017,1,21,21,4,1,108,轻度污染,50,166,31,2.4,44,68
2017,1,22,22,4,1,73,良,34,96,40,2.6,47,52
2017,1,23,23,4,1,85,良,50,111,44,3.4,56,34
2017,1,24,24,4,1,87,良,64,116,41,2.9,54,46
2017,1,25,25,4,1,80,良,54,110,38,3.2,56,28
2017,1,26,26,4,1,500,严重污染,220,1322,19,1.6,34,44
2017,1,27,27,4,1,500,严重污染,170,744,47,3,50,47
2017,1,28,28,5,1,250,重度污染,102,385,36,2,32,66
2017,1,29,29,5,1,122,轻度污染,48,194,26,2.4,32,64
2017,1,30,30,5,1,127,轻度污染,57,204,35,1.6,38,68
2017,1,31,31,5,1,100,良,52,150,38,3.1,34,72
2017,2,1,32,5,1,90,良,54,130,38,2.2,40,72
2017,2,2,33,5,1,91,良,62,131,36,2.2,45,60
2017,2,3,34,5,1,96,良,60,141,26,2.4,40,73
2017,2,4,35,6,1,85,良,56,120,37,2,50,64
2017,2,5,36,6,1,106,轻度污染,79,162,50,3.1,61,42
2017,2,6,37,6,1,93,良,64,136,32,1.4,37,59
2017,2,7,38,6,1,94,良,34,138,23,1.2,28,56
2017,2,8,39,6,1,67,良,42,84,16,1.6,34,66
2017,2,9,40,6,1,88,良,65,118,27,1.6,40,78
2017,2,10,41,6,1,59,良,32,68,20,1,38,70
2017,2,11,42,7,1,99,良,74,134,36,2,52,77
2017,2,12,43,7,1,89,良,66,114,28,2,55,78
2017,2,13,44,7,1,93,良,69,128,48,2.6,72,61
2017,2,14,45,7,1,92,良,68,122,26,3.6,60,78
2017,2,15,46,7,1,95,良,56,140,37,3,62,61
2017,2,16,47,7,1,130,轻度污染,48,209,32,2.6,47,70
2017,2,17,48,7,1,137,轻度污染,50,224,26,2.6,40,74
2017,2,18,49,8,1,108,轻度污染,52,166,28,2.6,59,74
2017,2,19,50,8,1,93,良,42,136,38,2.6,54,86
2017,2,20,51,8,1,125,轻度污染,48,200,25,2.3,38,92
2017,2,21,52,8,1,115,轻度污染,56,180,13,2.2,29,69
2017,2,22,53,8,1,113,轻度污染,50,176,13,2,31,66
2017,2,23,54,8,1,89,良,52,127,12,1.6,34,69
2017,2,24,55,8,1,93,良,60,136,18,1.8,36,79
2017,2,25,56,9,1,66,良,26,81,20,1.6,27,76
2017,2,26,57,9,1,62,良,28,74,26,1.6,34,78
2017,2,27,58,9,1,67,良,36,84,28,2,37,78
2017,2,28,59,9,1,57,良,18,64,19,1.4,28,74
2017,3,1,60,9,2,64,良,23,78,18,1.6,37,63
2017,3,2,61,9,2,95,良,41,140,34,1.6,42,80
2017,3,3,62,9,2,94,良,36,138,28,1.6,37,88
2017,3,4,63,10,2,68,良,30,86,26,1.4,40,82
2017,3,5,64,10,2,51,良,14,52,14,1.4,28,87
2017,3,6,65,10,2,63,良,29,76,19,1.6,36,84
2017,3,7,66,10,2,59,良,26,67,21,1.4,30,86
2017,3,8,67,10,2,67,良,42,84,35,1.7,38,95
2017,3,9,68,10,2,74,良,50,98,41,1.8,43,92
2017,3,10,69,10,2,69,良,38,87,20,0.8,36,98
2017,3,11,70,11,2,55,良,32,60,16,1.4,28,96
2017,3,12,71,11,2,51,良,26,51,20,1.4,28,88
2017,3,13,72,11,2,57,良,36,64,16,1.3,37,81
2017,3,14,73,11,2,95,良,71,112,21,1.9,46,88
2017,3,15,74,11,2,104,轻度污染,78,118,22,1.4,48,94
2017,3,16,75,11,2,97,良,72,132,16,1.3,51,95
2017,3,17,76,11,2,55,良,25,60,14,0.2,32,102
2017,3,18,77,12,2,62,良,32,74,16,0.5,38,104
2017,3,19,78,12,2,63,良,38,76,15,0.8,40,114
2017,3,20,79,12,2,69,良,34,88,18,1.9,44,116
2017,3,21,80,12,2,66,良,26,82,22,1.6,44,98
2017,3,22,81,12,2,86,良,42,122,20,2.2,50,78
2017,3,23,82,12,2,91,良,32,132,14,1.6,40,92
2017,3,24,83,12,2,76,良,28,102,14,1.3,32,81
2017,3,25,84,13,2,79,良,22,108,15,0.6,28,82
2017,3,26,85,13,2,89,良,30,127,18,1.8,39,84
2017,3,27,86,13,2,92,良,36,133,27,2,44,84
2017,3,28,87,13,2,252,重度污染,96,386,17,1.4,32,81
2017,3,29,88,13,2,126,轻度污染,52,201,25,1.2,38,86
2017,3,30,89,13,2,57,良,22,64,10,1,29,90
2017,3,31,90,13,2,52,良,16,52,10,1,32,102
2017,4,1,91,14,2,65,良,18,70,19,0.9,45,118
2017,4,2,92,14,2,87,良,37,124,24,1.6,60,102
2017,4,3,93,14,2,94,良,54,138,35,1.6,62,88
2017,4,4,94,14,2,76,良,47,102,41,1.2,47,98
2017,4,5,95,14,2,82,良,34,114,35,1.4,48,112
2017,4,6,96,14,2,97,良,34,144,28,1.4,44,110
2017,4,7,97,14,2,134,轻度污染,48,218,20,1.1,42,72
2017,4,8,98,15,2,40,优,11,32,11,0.9,32,67
2017,4,9,99,15,2,44,优,13,33,13,0.8,35,64
2017,4,10,100,15,2,42,优,21,42,10,1,30,69
2017,4,11,101,15,2,42,优,15,39,8,1,33,79
2017,4,12,102,15,2,67,良,30,84,33,1.1,44,100
2017,4,13,103,15,2,99,良,28,148,20,1.1,50,88
2017,4,14,104,15,2,101,轻度污染,30,151,30,1.4,43,94
2017,4,15,105,16,2,50,优,16,50,12,0.8,28,93
2017,4,16,106,16,2,59,良,20,68,25,0.9,36,110
2017,4,17,107,16,2,78,良,30,105,40,1.2,46,96
2017,4,18,108,16,2,500,严重污染,182,1006,12,1,30,84
2017,4,19,109,16,2,59,良,16,68,10,1.1,30,76
2017,4,20,110,16,2,56,良,27,60,22,1.2,31,107
2017,4,21,111,16,2,66,良,16,82,16,0.7,31,108
2017,4,22,112,17,2,60,良,19,62,16,1.3,32,112
2017,4,23,113,17,2,70,良,20,80,22,1.2,42,124
2017,4,24,114,17,2,79,良,24,108,34,1.2,38,115
2017,4,25,115,17,2,55,良,20,53,44,1.1,26,105
2017,4,26,116,17,2,44,优,16,35,12,1,29,88
2017,4,27,117,17,2,56,良,20,58,17,0.9,33,107
2017,4,28,118,17,2,64,良,30,68,14,1,38,116
2017,4,29,119,18,2,68,良,26,86,23,0.9,40,113
2017,4,30,120,18,2,61,良,18,41,33,1,30,113
2017,5,1,121,18,2,65,良,30,80,38,1.1,35,118
2017,5,2,122,18,2,51,良,24,52,25,0.9,32,95
2017,5,3,123,18,2,75,良,35,99,28,0.9,25,102
2017,5,4,124,18,2,78,良,23,105,8,0.8,26,108
2017,5,5,125,18,2,113,轻度污染,34,176,9,0.7,24,96
2017,5,6,126,19,2,98,良,38,145,16,1,37,103
2017,5,7,127,19,2,64,良,22,77,12,1,28,108
2017,5,8,128,19,2,65,良,24,72,18,1,36,118
2017,5,9,129,19,2,67,良,14,50,16,1,24,120
2017,5,10,130,19,2,53,良,12,56,10,0.9,28,102
2017,5,11,131,19,2,67,良,18,38,12,1,32,120
2017,5,12,132,19,2,73,良,22,78,17,1.6,50,127
2017,5,13,133,20,2,81,良,27,111,20,1.5,52,106
2017,5,14,134,20,2,55,良,15,41,12,0.8,30,106
2017,5,15,135,20,2,64,良,16,48,14,1,34,116
