Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,402,严重污染,353,421,52,3.6,110,20
2017,1,2,2,1,1,344,严重污染,294,369,39,3.5,105,42
2017,1,3,3,1,1,416,严重污染,373,445,35,4.2,122,29
2017,1,4,4,1,1,484,严重污染,476,565,45,4.6,127,16
2017,1,5,5,1,1,499,严重污染,493,599,52,4.9,103,14
2017,1,6,6,1,1,211,重度污染,161,257,27,3.2,55,15
2017,1,7,7,2,1,90,良,67,97,25,2.2,53,22
2017,1,8,8,2,1,125,轻度污染,95,139,32,2.4,69,47
2017,1,9,9,2,1,117,轻度污染,88,127,33,2.1,66,32
2017,1,10,10,2,1,79,良,58,77,26,1.3,41,57
2017,1,11,11,2,1,64,良,46,76,24,1.3,46,62
2017,1,12,12,2,1,79,良,56,108,24,1.6,61,71
2017,1,13,13,2,1,113,轻度污染,85,146,37,2.2,81,46
2017,1,14,14,3,1,212,重度污染,162,220,44,2.5,81,40
2017,1,15,15,3,1,228,重度污染,178,231,42,2.5,76,18
2017,1,16,16,3,1,316,严重污染,266,326,44,3,86,27
2017,1,17,17,3,1,326,严重污染,276,355,40,3,91,29
2017,1,18,18,3,1,346,严重污染,296,374,47,3,97,31
2017,1,19,19,3,1,180,中度污染,136,214,27,1.8,58,81
2017,1,20,20,3,1,67,良,38,84,30,1.4,50,53
2017,1,21,21,4,1,99,良,74,126,30,1.8,66,55
2017,1,22,22,4,1,182,中度污染,137,212,42,2.4,91,50
2017,1,23,23,4,1,256,重度污染,206,281,51,3.1,96,49
2017,1,24,24,4,1,342,严重污染,292,364,52,3.4,94,29
2017,1,25,25,4,1,420,严重污染,380,463,46,3.8,93,57
2017,1,26,26,4,1,408,严重污染,223,508,30,2.5,58,71
2017,1,27,27,4,1,152,中度污染,74,254,31,1.7,37,76
2017,1,28,28,5,1,208,重度污染,158,251,44,2,41,51
2017,1,29,29,5,1,115,轻度污染,68,179,28,1.5,33,81
2017,1,30,30,5,1,94,良,58,138,34,1.4,26,62
2017,1,31,31,5,1,129,轻度污染,98,158,29,1.6,40,42
2017,2,1,32,5,1,206,重度污染,156,227,35,2.3,50,66
2017,2,2,33,5,1,193,中度污染,145,200,39,2.2,49,56
2017,2,3,34,5,1,265,重度污染,215,276,48,2.8,73,75
2017,2,4,35,6,1,277,重度污染,227,281,41,3,81,75
2017,2,5,36,6,1,293,重度污染,243,315,54,3.4,86,87
2017,2,6,37,6,1,304,严重污染,254,340,35,2.7,61,49
2017,2,7,38,6,1,150,轻度污染,115,162,19,1.8,44,40
2017,2,8,39,6,1,58,良,29,65,16,1.1,33,79
2017,2,9,40,6,1,70,良,35,65,21,1.5,56,66
2017,2,10,41,6,1,83,良,54,88,26,1.6,66,73
2017,2,11,42,7,1,113,轻度污染,85,125,30,1.8,79,67
2017,2,12,43,7,1,206,重度污染,156,220,42,2.3,91,67
2017,2,13,44,7,1,243,重度污染,193,268,52,2.7,97,71
2017,2,14,45,7,1,261,重度污染,211,286,45,2.7,98,88
2017,2,15,46,7,1,299,重度污染,249,343,40,2.9,114,69
2017,2,16,47,7,1,208,重度污染,158,239,28,2.2,83,91
2017,2,17,48,7,1,134,轻度污染,102,210,37,1.8,71,75
2017,2,18,49,8,1,209,重度污染,159,275,37,2.3,103,58
2017,2,19,50,8,1,249,重度污染,199,316,40,2.6,125,78
2017,2,20,51,8,1,157,中度污染,86,264,26,1.6,59,58
2017,2,21,52,8,1,82,良,51,114,15,1.4,42,55
2017,2,22,53,8,1,93,良,64,135,23,1.7,59,71
2017,2,23,54,8,1,66,良,29,82,19,1.2,51,89
2017,2,24,55,8,1,98,良,58,116,28,1.6,78,66
2017,2,25,56,9,1,100,良,74,126,30,1.6,80,86
2017,2,26,57,9,1,120,轻度污染,91,143,32,1.8,87,79
2017,2,27,58,9,1,160,中度污染,122,191,39,2.2,109,52
2017,2,28,59,9,1,149,轻度污染,114,177,30,2,84,67
2017,3,1,60,9,2,74,良,29,98,14,1.1,42,105
2017,3,2,61,9,2,89,良,47,101,27,1.4,71,72
2017,3,3,62,9,2,97,良,68,133,30,1.5,77,96
2017,3,4,63,10,2,140,轻度污染,107,197,45,1.9,96,75
2017,3,5,64,10,2,132,轻度污染,100,180,36,1.8,84,73
2017,3,6,65,10,2,77,良,33,77,22,1.2,61,80
2017,3,7,66,10,2,101,轻度污染,63,124,32,1.6,82,68
2017,3,8,67,10,2,82,良,49,101,28,1.3,65,84
2017,3,9,68,10,2,90,良,67,128,40,1.5,69,86
2017,3,10,69,10,2,128,轻度污染,97,178,57,2,88,54
2017,3,11,70,11,2,147,轻度污染,112,163,37,1.7,66,70
2017,3,12,71,11,2,85,良,63,80,15,1.5,45,51
2017,3,13,72,11,2,50,优,32,42,11,1.2,40,59
2017,3,14,73,11,2,85,良,63,77,15,1.4,47,71
2017,3,15,74,11,2,78,良,57,78,16,1.3,44,65
2017,3,16,75,11,2,122,轻度污染,92,107,17,1.5,54,77
2017,3,17,76,11,2,104,轻度污染,78,105,19,1.5,57,79
2017,3,18,77,12,2,142,轻度污染,108,159,21,2,78,63
2017,3,19,78,12,2,135,轻度污染,103,148,21,1.6,66,71
2017,3,20,79,12,2,138,轻度污染,105,135,16,1.5,66,87
2017,3,21,80,12,2,117,轻度污染,88,130,15,1.6,53,88
2017,3,22,81,12,2,70,良,51,69,11,1.3,37,105
2017,3,23,82,12,2,108,轻度污染,81,102,11,1.4,48,47
2017,3,24,83,12,2,114,轻度污染,51,177,17,1.3,58,74
2017,3,25,84,13,2,88,良,37,126,17,1,54,102
2017,3,26,85,13,2,87,良,42,108,18,1.2,69,91
2017,3,27,86,13,2,103,轻度污染,67,155,27,1.5,80,92
2017,3,28,87,13,2,108,轻度污染,75,166,23,1.6,80,108
2017,3,29,88,13,2,144,轻度污染,110,192,26,1.6,80,45
2017,3,30,89,13,2,60,良,38,69,13,1.1,42,87
2017,3,31,90,13,2,67,良,34,68,18,1.2,53,117
2017,4,1,91,14,2,84,良,33,76,17,1.1,67,108
2017,4,2,92,14,2,104,轻度污染,71,147,31,1.6,87,84
2017,4,3,93,14,2,100,良,75,136,20,1.6,79,48
2017,4,4,94,14,2,92,良,68,116,16,1.4,51,103
2017,4,5,95,14,2,108,轻度污染,81,133,14,1.5,54,76
2017,4,6,96,14,2,105,轻度污染,79,159,16,1.6,61,120
2017,4,7,97,14,2,105,轻度污染,79,144,16,1.6,57,56
2017,4,8,98,15,2,63,良,38,76,12,1.3,47,51
2017,4,9,99,15,2,42,优,22,35,8,1.1,33,61
2017,4,10,100,15,2,57,良,28,45,9,1.4,45,43
2017,4,11,101,15,2,65,良,36,68,12,1.4,52,96
2017,4,12,102,15,2,77,良,31,76,14,1.2,61,106
2017,4,13,103,15,2,70,良,28,83,15,1.1,56,112
2017,4,14,104,15,2,99,良,48,133,19,1.4,79,124
2017,4,15,105,16,2,92,良,52,134,19,1.4,69,83
2017,4,16,106,16,2,57,良,24,64,9,1,38,76
2017,4,17,107,16,2,101,轻度污染,38,152,13,1.2,52,107
2017,4,18,108,16,2,298,重度污染,102,418,14,1.2,53,108
2017,4,19,109,16,2,127,轻度污染,61,204,13,1.1,49,65
2017,4,20,110,16,2,80,良,31,109,10,0.8,42,89
2017,4,21,111,16,2,94,良,41,138,11,0.8,52,96
2017,4,22,112,17,2,90,良,49,102,16,1,72,102
2017,4,23,113,17,2,106,轻度污染,49,133,16,1.6,91,93
2017,4,24,114,17,2,98,良,53,131,20,1.5,78,130
2017,4,25,115,17,2,70,良,49,90,12,1.2,52,96
2017,4,26,116,17,2,76,良,48,102,17,1.2,52,77
2017,4,27,117,17,2,83,良,52,109,16,1.3,66,136
2017,4,28,118,17,2,93,良,36,90,16,1.2,74,129
2017,4,29,119,18,2,105,轻度污染,41,106,17,1.4,90,130
2017,4,30,120,18,2,102,轻度污染,55,134,20,1.4,83,154
2017,5,1,121,18,2,127,轻度污染,46,119,17,1.3,52,189
2017,5,2,122,18,2,70,良,36,89,9,1,35,123
2017,5,3,123,18,2,52,良,24,53,7,1.1,33,79
2017,5,4,124,18,2,108,轻度污染,45,165,11,1.1,45,114
2017,5,5,125,18,2,457,严重污染,184,557,11,1,49,78
2017,5,6,126,19,2,222,重度污染,133,365,14,1,63,104
2017,5,7,127,19,2,126,轻度污染,73,201,15,1.1,60,73
2017,5,8,128,19,2,80,良,45,97,12,1,51,135
2017,5,9,129,19,2,97,良,43,107,15,1.2,77,142
2017,5,10,130,19,2,82,良,39,109,16,1.2,65,112
2017,5,11,131,19,2,75,良,37,87,15,1,56,130
2017,5,12,132,19,2,88,良,34,90,16,1,66,145
2017,5,13,133,20,2,120,轻度污染,45,106,17,1.1,77,181
2017,5,14,134,20,2,67,良,34,75,13,0.9,53,92
2017,5,15,135,20,2,57,良,30,58,12,1,45,83
2017,5,16,136,20,2,83,良,23,56,10,0.9,46,139
2017,5,17,137,20,2,102,轻度污染,30,86,15,1.1,72,162
2017,5,18,138,20,2,95,良,39,95,16,1.2,76,75
2017,5,19,139,20,2,91,良,33,77,14,1,51,149
2017,5,20,140,21,2,99,良,39,81,12,1,42,158
2017,5,21,141,21,2,123,轻度污染,62,110,11,1.2,44,185
2017,5,22,142,21,2,79,良,41,108,10,1.1,35,61
2017,5,23,143,21,2,81,良,21,49,11,0.9,31,137
2017,5,24,144,21,2,102,轻度污染,28,62,15,0.9,52,162
2017,5,25,145,21,2,101,轻度污染,20,58,15,0.9,59,161
2017,5,26,146,21,2,115,轻度污染,24,65,14,1,70,176
2017,5,27,147,22,2,122,轻度污染,26,64,13,1,64,184
2017,5,28,148,22,2,136,轻度污染,34,72,14,1,61,199
2017,5,29,149,22,2,79,良,41,86,15,1.2,63,64
2017,5,30,150,22,2,103,轻度污染,29,58,10,1,37,163
2017,5,31,151,22,2,107,轻度污染,36,85,11,1.1,62,167
2017,6,1,152,22,3,120,轻度污染,39,87,10,1.1,52,181
2017,6,2,153,22,3,160,中度污染,39,97,14,1.1,54,225
2017,6,3,154,23,3,91,良,59,132,12,1.3,51,96
2017,6,4,155,23,3,46,优,32,42,6,1.2,25,84
2017,6,5,156,23,3,45,优,20,28,6,1.1,27,90
2017,6,6,157,23,3,73,良,19,46,8,1,31,127
2017,6,7,158,23,3,68,良,17,54,8,1,33,121
2017,6,8,159,23,3,89,良,21,43,7,1.1,34,146
2017,6,9,160,23,3,55,良,29,58,9,1.2,44,56
2017,6,10,161,24,3,88,良,15,35,9,1,32,145
2017,6,11,162,24,3,70,良,27,66,10,1.1,56,92
2017,6,12,163,24,3,99,良,35,75,14,1.1,44,158
2017,6,13,164,24,3,95,良,32,65,10,0.9,31,154
2017,6,14,165,24,3,79,良,48,84,9,1,27,134
