Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,87,良,64,116,46,1.3,48,76
2017,1,2,2,1,1,104,轻度污染,78,111,27,1.1,36,49
2017,1,3,3,1,1,104,轻度污染,78,106,20,1.3,42,10
2017,1,4,4,1,1,39,优,24,39,18,0.8,30,29
2017,1,5,5,1,1,38,优,19,38,22,0.6,30,42
2017,1,6,6,1,1,43,优,21,43,22,0.7,31,53
2017,1,7,7,2,1,57,良,40,56,13,1.1,24,51
2017,1,8,8,2,1,38,优,23,38,12,1.1,22,51
2017,1,9,9,2,1,54,良,35,58,17,1.3,29,34
2017,1,10,10,2,1,36,优,23,36,12,1.1,23,30
2017,1,11,11,2,1,28,优,13,19,10,1,22,46
2017,1,12,12,2,1,40,优,28,39,18,0.8,23,42
2017,1,13,13,2,1,58,良,41,62,31,0.9,34,54
2017,1,14,14,3,1,43,优,30,42,14,0.8,24,38
2017,1,15,15,3,1,46,优,32,45,16,0.8,23,52
2017,1,16,16,3,1,63,良,45,59,13,0.9,29,33
2017,1,17,17,3,1,52,良,36,51,20,1,32,52
2017,1,18,18,3,1,35,优,23,31,13,1,28,35
2017,1,19,19,3,1,46,优,32,44,17,0.9,24,53
2017,1,20,20,3,1,73,良,53,72,18,0.8,22,91
2017,1,21,21,4,1,82,良,60,74,26,1.1,31,77
2017,1,22,22,4,1,120,轻度污染,91,123,43,1.4,45,66
2017,1,23,23,4,1,82,良,60,86,36,1,37,76
2017,1,24,24,4,1,88,良,65,89,31,1,34,69
2017,1,25,25,4,1,110,轻度污染,83,113,42,1,34,63
2017,1,26,26,4,1,105,轻度污染,79,105,40,1.1,34,80
2017,1,27,27,4,1,80,良,59,76,22,1.1,22,48
2017,1,28,28,5,1,75,良,55,72,15,0.7,12,91
2017,1,29,29,5,1,63,良,45,57,20,0.9,16,79
2017,1,30,30,5,1,70,良,51,63,14,1,17,59
2017,1,31,31,5,1,74,良,54,69,12,1.1,19,52
2017,2,1,32,5,1,52,良,36,43,11,1.2,15,39
2017,2,2,33,5,1,28,优,17,25,11,1.1,17,41
2017,2,3,34,5,1,45,优,30,45,20,1.2,20,23
2017,2,4,35,6,1,69,良,50,68,49,1.5,36,51
2017,2,5,36,6,1,58,良,41,58,30,1.2,31,66
2017,2,6,37,6,1,53,良,37,52,24,1,30,51
2017,2,7,38,6,1,41,优,28,41,18,0.9,27,53
2017,2,8,39,6,1,37,优,17,25,15,1,15,73
2017,2,9,40,6,1,59,良,42,58,20,0.9,18,76
2017,2,10,41,6,1,58,良,41,52,20,0.7,14,92
2017,2,11,42,7,1,56,良,35,47,28,0.6,16,107
2017,2,12,43,7,1,65,良,47,73,54,0.9,44,107
2017,2,13,44,7,1,73,良,53,86,42,1,42,109
2017,2,14,45,7,1,88,良,65,94,26,0.9,33,114
2017,2,15,46,7,1,120,轻度污染,91,122,26,1.1,45,97
2017,2,16,47,7,1,79,良,58,84,27,1,42,108
2017,2,17,48,7,1,73,良,53,79,19,0.8,33,102
2017,2,18,49,8,1,103,轻度污染,77,110,19,0.8,37,104
2017,2,19,50,8,1,56,良,37,62,12,0.6,25,101
2017,2,20,51,8,1,56,良,39,62,10,0.6,24,98
2017,2,21,52,8,1,54,良,35,58,10,0.7,21,99
2017,2,22,53,8,1,30,优,20,30,10,0.8,18,58
2017,2,23,54,8,1,40,优,25,40,11,0.5,17,76
2017,2,24,55,8,1,46,优,32,44,15,0.6,21,64
2017,2,25,56,9,1,50,优,35,50,20,0.7,23,65
2017,2,26,57,9,1,57,良,40,59,28,0.7,27,76
2017,2,27,58,9,1,54,良,38,56,24,0.6,31,72
2017,2,28,59,9,1,85,良,63,95,31,0.8,39,70
2017,3,1,60,9,2,88,良,65,97,38,0.9,37,108
2017,3,2,61,9,2,83,良,61,107,36,0.9,50,93
2017,3,3,62,9,2,90,良,67,114,33,0.9,49,94
2017,3,4,63,10,2,99,良,74,98,19,0.9,35,56
2017,3,5,64,10,2,78,良,57,73,12,0.8,26,67
2017,3,6,65,10,2,59,良,42,59,13,0.6,23,101
2017,3,7,66,10,2,55,良,39,52,11,0.7,27,77
2017,3,8,67,10,2,49,优,34,48,14,0.8,28,80
2017,3,9,68,10,2,49,优,34,45,11,0.8,33,56
2017,3,10,69,10,2,45,优,29,45,13,0.8,28,64
2017,3,11,70,11,2,52,良,34,53,13,1,33,55
2017,3,12,71,11,2,53,良,33,55,22,1.5,39,42
2017,3,13,72,11,2,44,优,27,44,12,0.9,24,62
2017,3,14,73,11,2,44,优,23,39,11,0.8,20,87
2017,3,15,74,11,2,35,优,22,32,8,0.7,28,37
2017,3,16,75,11,2,37,优,22,37,11,0.7,23,64
2017,3,17,76,11,2,40,优,18,25,10,0.8,32,28
2017,3,18,77,12,2,51,良,31,51,19,1,39,45
2017,3,19,78,12,2,53,良,35,55,20,1.2,37,21
2017,3,20,79,12,2,54,良,38,57,19,0.8,26,66
2017,3,21,80,12,2,39,优,23,32,11,0.9,31,60
2017,3,22,81,12,2,54,良,34,57,19,1,38,68
