Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,394,严重污染,344,454,37,3.5,112,6
2017,1,2,2,1,1,349,严重污染,299,386,28,4.2,100,14
2017,1,3,3,1,1,286,重度污染,236,311,33,4.3,111,26
2017,1,4,4,1,1,185,中度污染,139,193,15,3.1,63,20
2017,1,5,5,1,1,227,重度污染,177,225,28,5,94,25
2017,1,6,6,1,1,178,中度污染,134,158,24,3.6,75,8
2017,1,7,7,2,1,135,轻度污染,103,120,27,3,68,12
2017,1,8,8,2,1,207,重度污染,157,208,47,2.4,83,36
2017,1,9,9,2,1,219,重度污染,169,241,24,3,74,10
2017,1,10,10,2,1,266,重度污染,216,317,35,3.2,79,30
2017,1,11,11,2,1,143,轻度污染,109,207,40,2,67,45
2017,1,12,12,2,1,75,良,40,100,43,1.1,54,55
2017,1,13,13,2,1,89,良,66,126,40,1.3,60,48
2017,1,14,14,3,1,83,良,57,105,28,1.3,66,44
2017,1,15,15,3,1,90,良,67,122,37,1.4,66,44
2017,1,16,16,3,1,149,轻度污染,114,166,33,1.5,72,34
2017,1,17,17,3,1,368,严重污染,318,416,33,2.8,94,10
2017,1,18,18,3,1,336,严重污染,286,356,41,2.8,87,28
2017,1,19,19,3,1,153,中度污染,117,220,27,1.5,46,72
2017,1,20,20,3,1,69,良,28,88,27,1,43,56
2017,1,21,21,4,1,86,良,54,121,41,1.3,50,62
2017,1,22,22,4,1,138,轻度污染,105,178,45,1.7,72,46
2017,1,23,23,4,1,226,重度污染,176,261,33,2.1,79,49
2017,1,24,24,4,1,263,重度污染,213,269,61,2.7,75,42
2017,1,25,25,4,1,282,重度污染,232,294,54,2.4,73,81
2017,1,26,26,4,1,260,重度污染,210,375,50,2.1,52,78
2017,1,27,27,4,1,217,重度污染,167,226,38,1.9,34,80
2017,1,28,28,5,1,195,中度污染,146,213,23,1.3,28,67
2017,1,29,29,5,1,247,重度污染,197,261,37,2,33,56
2017,1,30,30,5,1,64,良,36,78,22,1.1,17,70
2017,1,31,31,5,1,92,良,68,96,27,1.2,26,62
2017,2,1,32,5,1,144,轻度污染,110,140,23,1.5,37,86
2017,2,2,33,5,1,149,轻度污染,114,155,30,1.6,46,82
