Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,176,中度污染,133,186,32,1.4,64,10
2017,1,2,2,1,1,176,中度污染,133,185,27,1.3,63,28
2017,1,3,3,1,1,207,重度污染,157,214,22,1.8,74,10
2017,1,4,4,1,1,220,重度污染,170,230,33,1.7,75,9
2017,1,5,5,1,1,202,重度污染,152,205,20,1.5,65,13
2017,1,6,6,1,1,165,中度污染,125,169,19,1.5,60,15
2017,1,7,7,2,1,139,轻度污染,106,145,20,1.4,60,13
2017,1,8,8,2,1,87,良,64,97,22,1.8,53,6
2017,1,9,9,2,1,77,良,56,78,14,1.6,50,15
2017,1,10,10,2,1,53,良,31,47,11,1.2,42,23
2017,1,11,11,2,1,44,优,19,26,9,0.8,35,17
2017,1,12,12,2,1,44,优,29,43,9,0.8,35,22
2017,1,13,13,2,1,68,良,49,70,11,1,48,26
2017,1,14,14,3,1,84,良,62,90,13,1.2,53,9
2017,1,15,15,3,1,92,良,68,100,17,1.2,56,26
2017,1,16,16,3,1,80,良,59,92,17,1,60,32
2017,1,17,17,3,1,105,轻度污染,79,114,19,1.2,59,38
2017,1,18,18,3,1,87,良,64,94,16,1,56,29
2017,1,19,19,3,1,94,良,70,105,16,1.1,62,37
2017,1,20,20,3,1,103,轻度污染,77,110,17,1,56,55
2017,1,21,21,4,1,159,中度污染,121,161,17,1.3,58,40
2017,1,22,22,4,1,162,中度污染,123,165,15,1.4,66,65
2017,1,23,23,4,1,172,中度污染,130,172,18,1.4,71,20
2017,1,24,24,4,1,192,中度污染,144,185,20,1.5,71,26
2017,1,25,25,4,1,105,轻度污染,79,105,12,1.2,52,67
2017,1,26,26,4,1,99,良,74,96,11,1.1,51,32
2017,1,27,27,4,1,163,中度污染,124,157,19,1.3,37,41
2017,1,28,28,5,1,123,轻度污染,93,117,10,1.2,29,28
2017,1,29,29,5,1,52,良,36,49,7,1,23,45
2017,1,30,30,5,1,53,良,37,52,8,1.1,26,34
2017,1,31,31,5,1,79,良,58,88,11,1.1,23,54
2017,2,1,32,5,1,104,轻度污染,78,101,9,1.2,25,29
2017,2,2,33,5,1,50,优,35,46,10,1.2,26,40
2017,2,3,34,5,1,59,良,42,57,11,1.2,36,31
2017,2,4,35,6,1,70,良,51,69,11,1.4,46,59
2017,2,5,36,6,1,80,良,59,82,10,1.4,54,30
2017,2,6,37,6,1,107,轻度污染,80,110,13,1.5,53,17
2017,2,7,38,6,1,57,良,40,54,7,1.3,34,20
2017,2,8,39,6,1,47,优,29,43,8,1.1,37,57
2017,2,9,40,6,1,69,良,45,71,12,1.3,55,17
2017,2,10,41,6,1,88,良,65,96,13,1.4,59,20
2017,2,11,42,7,1,75,良,55,78,11,1,49,55
2017,2,12,43,7,1,85,良,63,92,14,1,57,77
2017,2,13,44,7,1,95,良,71,107,16,1.2,70,30
2017,2,14,45,7,1,165,中度污染,125,165,23,1.4,62,18
