Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,217,重度污染,167,251,177,3.7,83,28
2017,1,2,2,1,1,208,重度污染,158,246,138,2.9,78,36
2017,1,3,3,1,1,265,重度污染,215,309,179,3.8,82,41
2017,1,4,4,1,1,147,轻度污染,112,188,143,3,67,56
2017,1,5,5,1,1,246,重度污染,196,291,179,3.7,90,47
2017,1,6,6,1,1,183,中度污染,138,215,122,2.5,69,46
2017,1,7,7,2,1,137,轻度污染,104,164,102,2.1,71,42
2017,1,8,8,2,1,130,轻度污染,99,157,126,2,62,52
2017,1,9,9,2,1,75,良,43,78,100,1.4,49,47
2017,1,10,10,2,1,90,良,67,114,117,1.7,62,50
2017,1,11,11,2,1,100,良,75,126,112,1.8,67,34
2017,1,12,12,2,1,114,轻度污染,86,147,116,2.1,68,49
2017,1,13,13,2,1,122,轻度污染,92,156,119,2.4,64,54
2017,1,14,14,3,1,114,轻度污染,86,154,156,2.9,64,44
2017,1,15,15,3,1,135,轻度污染,103,170,183,2.5,79,28
2017,1,16,16,3,1,84,良,56,112,118,1.4,44,77
2017,1,17,17,3,1,82,良,44,113,97,1.3,39,74
2017,1,18,18,3,1,93,良,68,136,101,2.1,46,85
2017,1,19,19,3,1,87,良,31,123,95,1.1,31,69
2017,1,20,20,3,1,86,良,60,117,121,1.9,53,50
2017,1,21,21,4,1,90,良,48,102,129,1.6,47,66
2017,1,22,22,4,1,110,轻度污染,83,144,133,2.4,60,55
2017,1,23,23,4,1,143,轻度污染,109,172,162,3.3,65,55
2017,1,24,24,4,1,112,轻度污染,84,138,166,2.8,71,51
2017,1,25,25,4,1,169,中度污染,119,287,164,3.1,68,77
2017,1,26,26,4,1,322,严重污染,75,437,93,1.3,37,70
2017,1,27,27,4,1,138,轻度污染,70,226,88,1.6,38,77
2017,1,28,28,5,1,178,中度污染,118,305,136,1.6,39,75
2017,1,29,29,5,1,81,良,22,111,42,0.9,14,76
2017,1,30,30,5,1,69,良,32,66,87,1.5,27,62
2017,1,31,31,5,1,89,良,64,115,127,2,39,60
2017,2,1,32,5,1,79,良,52,103,108,1.7,35,76
2017,2,2,33,5,1,127,轻度污染,96,170,147,2.7,56,60
2017,2,3,34,5,1,188,中度污染,141,207,94,2.5,55,50
2017,2,4,35,6,1,190,中度污染,143,208,92,2.5,50,98
2017,2,5,36,6,1,86,良,62,122,89,1.9,49,75
2017,2,6,37,6,1,92,良,62,133,119,1.8,55,50
2017,2,7,38,6,1,95,良,56,139,98,1.2,42,71
2017,2,8,39,6,1,72,良,34,74,94,0.8,39,69
2017,2,9,40,6,1,73,良,53,88,85,1,47,65
2017,2,10,41,6,1,102,轻度污染,76,116,85,1.4,58,81
2017,2,11,42,7,1,129,轻度污染,98,153,118,1.7,64,77
2017,2,12,43,7,1,133,轻度污染,101,155,101,1.8,58,89
2017,2,13,44,7,1,99,良,74,123,90,1.7,56,91
2017,2,14,45,7,1,147,轻度污染,112,174,122,1.9,73,103
2017,2,15,46,7,1,183,中度污染,138,228,120,1.9,76,98
2017,2,16,47,7,1,116,轻度污染,85,182,88,1.3,43,75
2017,2,17,48,7,1,76,良,46,101,76,1.1,45,83
2017,2,18,49,8,1,103,轻度污染,75,156,103,1.8,55,92
2017,2,19,50,8,1,143,轻度污染,53,236,49,1.1,26,94
2017,2,20,51,8,1,55,良,21,60,33,0.8,20,80
2017,2,21,52,8,1,71,良,45,91,40,0.8,29,95
2017,2,22,53,8,1,76,良,44,102,99,0.9,43,100
2017,2,23,54,8,1,103,轻度污染,77,137,77,1.2,50,98
2017,2,24,55,8,1,107,轻度污染,80,124,78,1.4,59,79
2017,2,25,56,9,1,87,良,64,101,110,1.3,55,83
2017,2,26,57,9,1,67,良,44,83,71,1,45,78
2017,2,27,58,9,1,82,良,57,113,86,1.4,57,88
2017,2,28,59,9,1,76,良,44,102,59,1.1,37,94
2017,3,1,60,9,2,53,良,20,50,55,0.8,33,99
2017,3,2,61,9,2,75,良,47,99,83,1.2,57,88
2017,3,3,62,9,2,80,良,52,109,77,1.3,58,105
2017,3,4,63,10,2,75,良,50,100,56,1.5,50,108
2017,3,5,64,10,2,52,良,24,53,42,0.9,27,99
2017,3,6,65,10,2,61,良,39,71,63,1.2,45,100
2017,3,7,66,10,2,60,良,37,69,47,1.2,37,95
2017,3,8,67,10,2,64,良,29,59,78,1,39,89
2017,3,9,68,10,2,69,良,49,87,65,1.3,51,92
2017,3,10,69,10,2,83,良,61,100,83,1.5,50,115
2017,3,11,70,11,2,60,良,34,69,57,1.1,40,104
2017,3,12,71,11,2,52,良,25,54,29,0.9,23,95
2017,3,13,72,11,2,52,良,26,54,38,0.9,27,97
2017,3,14,73,11,2,69,良,50,78,69,1,34,103
2017,3,15,74,11,2,85,良,63,97,64,1.1,44,104
2017,3,16,75,11,2,84,良,62,99,70,1.2,45,109
2017,3,17,76,11,2,104,轻度污染,78,137,57,1.3,49,121
2017,3,18,77,12,2,90,良,51,129,64,1.1,47,104
2017,3,19,78,12,2,112,轻度污染,84,128,43,1.3,46,66
2017,3,20,79,12,2,134,轻度污染,102,128,23,1.3,32,98
2017,3,21,80,12,2,113,轻度污染,85,119,52,1.2,40,101
2017,3,22,81,12,2,74,良,54,83,40,1,34,80
2017,3,23,82,12,2,137,轻度污染,53,223,26,0.9,27,91
2017,3,24,83,12,2,102,轻度污染,29,153,16,0.6,14,106
2017,3,25,84,13,2,59,良,26,68,45,0.9,35,94
2017,3,26,85,13,2,63,良,36,75,47,0.8,46,105
2017,3,27,86,13,2,104,轻度污染,62,158,46,1.1,54,104
2017,3,28,87,13,2,77,良,44,104,40,0.8,48,102
2017,3,29,88,13,2,105,轻度污染,79,159,69,1.2,68,84
2017,3,30,89,13,2,70,良,41,90,36,0.9,44,89
2017,3,31,90,13,2,70,良,43,89,31,0.9,44,107
2017,4,1,91,14,2,66,良,35,82,37,0.8,49,119
2017,4,2,92,14,2,80,良,44,110,47,1.1,57,121
2017,4,3,93,14,2,89,良,55,127,35,1,52,119
2017,4,4,94,14,2,62,良,27,57,23,0.7,24,114
2017,4,5,95,14,2,101,轻度污染,54,100,29,1.1,42,161
2017,4,6,96,14,2,92,良,65,134,25,1,41,123
2017,4,7,97,14,2,117,轻度污染,56,183,26,0.8,38,114
2017,4,8,98,15,2,48,优,18,48,15,0.5,20,89
2017,4,9,99,15,2,62,良,25,73,21,0.6,27,105
2017,4,10,100,15,2,48,优,17,45,11,0.5,19,95
2017,4,11,101,15,2,62,良,22,74,20,0.7,36,96
2017,4,12,102,15,2,82,良,47,113,29,0.8,46,92
2017,4,13,103,15,2,80,良,26,110,16,0.5,22,117
2017,4,14,104,15,2,75,良,27,99,13,0.5,25,126
2017,4,15,105,16,2,72,良,32,94,30,0.7,43,109
2017,4,16,106,16,2,153,中度污染,56,255,23,0.5,23,110
2017,4,17,107,16,2,184,中度污染,67,318,24,0.4,15,113
2017,4,18,108,16,2,109,轻度污染,47,167,22,0.5,25,115
2017,4,19,109,16,2,93,良,27,136,13,0.3,14,123
2017,4,20,110,16,2,111,轻度污染,32,171,13,0.4,13,111
2017,4,21,111,16,2,69,良,29,88,20,0.6,39,119
2017,4,22,112,17,2,80,良,38,105,28,0.7,49,135
2017,4,23,113,17,2,80,良,34,107,33,0.6,35,136
2017,4,24,114,17,2,74,良,28,84,22,0.6,27,128
2017,4,25,115,17,2,70,良,33,82,19,0.5,18,124
2017,4,26,116,17,2,77,良,27,82,23,0.6,27,132
2017,4,27,117,17,2,81,良,34,100,18,0.7,48,137
2017,4,28,118,17,2,86,良,46,121,32,1,57,136
2017,4,29,119,18,2,103,轻度污染,57,156,29,1,65,158
2017,4,30,120,18,2,105,轻度污染,63,160,29,1.1,64,131
2017,5,1,121,18,2,106,轻度污染,38,122,23,0.7,33,166
2017,5,2,122,18,2,81,良,49,112,27,1,31,110
2017,5,3,123,18,2,165,中度污染,73,279,24,0.5,20,115
2017,5,4,124,18,2,500,严重污染,203,793,21,0.5,24,114
2017,5,5,125,18,2,309,严重污染,109,427,12,0.5,26,114
2017,5,6,126,19,2,132,轻度污染,69,214,34,0.8,52,119
2017,5,7,127,19,2,105,轻度污染,59,160,40,0.9,55,121
2017,5,8,128,19,2,84,良,40,117,49,0.7,36,136
2017,5,9,129,19,2,94,良,37,137,17,0.5,30,113
2017,5,10,130,19,2,89,良,41,128,22,0.6,41,118
2017,5,11,131,19,2,83,良,37,115,24,0.5,42,131
2017,5,12,132,19,2,93,良,36,126,26,0.5,40,151
2017,5,13,133,20,2,77,良,33,103,27,0.6,41,113
2017,5,14,134,20,2,73,良,31,90,24,0.5,22,127
2017,5,15,135,20,2,94,良,34,80,29,0.7,29,152
2017,5,16,136,20,2,92,良,33,95,24,0.6,48,150
2017,5,17,137,20,2,120,轻度污染,40,109,30,0.6,48,181
2017,5,18,138,20,2,101,轻度污染,31,95,32,0.5,31,161
2017,5,19,139,20,2,123,轻度污染,30,77,30,0.5,31,185
2017,5,20,140,21,2,178,中度污染,38,94,23,0.6,37,243
2017,5,21,141,21,2,263,重度污染,125,394,28,0.6,22,134
2017,5,22,142,21,2,123,轻度污染,76,195,26,0.7,31,105
2017,5,23,143,21,2,82,良,36,98,17,0.5,36,138
2017,5,24,144,21,2,98,良,32,99,23,0.6,52,157
2017,5,25,145,21,2,88,良,30,93,34,0.6,49,145
2017,5,26,146,21,2,100,良,27,88,36,0.6,50,159
2017,5,27,147,22,2,107,轻度污染,37,114,29,0.7,50,167
2017,5,28,148,22,2,99,良,32,102,33,0.5,41,158
2017,5,29,149,22,2,144,轻度污染,41,111,37,0.5,29,208
2017,5,30,150,22,2,106,轻度污染,51,147,29,0.6,43,166
2017,5,31,151,22,2,110,轻度污染,56,169,42,0.9,61,161
2017,6,1,152,22,3,147,轻度污染,55,144,42,0.8,58,211
2017,6,2,153,22,3,106,轻度污染,44,162,21,0.4,21,131
2017,6,3,154,23,3,154,中度污染,52,257,29,0.5,26,136
2017,6,4,155,23,3,90,良,38,118,25,0.5,23,147
2017,6,5,156,23,3,81,良,30,66,20,0.8,15,137
2017,6,6,157,23,3,80,良,25,63,22,0.5,25,136
2017,6,7,158,23,3,159,中度污染,35,84,24,0.7,33,224
2017,6,8,159,23,3,124,轻度污染,34,85,28,0.5,31,186
2017,6,9,160,23,3,88,良,48,126,25,0.7,35,128
2017,6,10,161,24,3,99,良,53,148,22,0.6,35,158
2017,6,11,162,24,3,105,轻度污染,49,159,32,0.7,54,155
2017,6,12,163,24,3,123,轻度污染,35,99,28,0.6,46,185
2017,6,13,164,24,3,91,良,32,112,23,0.6,35,149
2017,6,14,165,24,3,132,轻度污染,34,87,30,0.8,34,195
2017,6,15,166,24,3,149,轻度污染,37,84,16,0.6,28,213
2017,6,16,167,24,3,196,中度污染,47,115,18,0.8,45,261
2017,6,17,168,25,3,127,轻度污染,42,110,25,0.7,42,189
2017,6,18,169,25,3,94,良,36,106,21,0.7,36,152
2017,6,19,170,25,3,67,良,27,84,21,0.7,37,118
2017,6,20,171,25,3,130,轻度污染,35,107,20,0.7,51,193
2017,6,21,172,25,3,72,良,25,73,26,0.6,33,126
2017,6,22,173,25,3,75,良,30,100,16,0.5,33,128
2017,6,23,174,25,3,75,良,15,63,10,0.5,25,130
2017,6,24,175,26,3,95,良,21,80,25,0.6,43,154
2017,6,25,176,26,3,98,良,27,86,19,0.7,43,157
2017,6,26,177,26,3,162,中度污染,25,78,26,0.6,44,227
2017,6,27,178,26,3,147,轻度污染,26,80,21,0.6,37,211
2017,6,28,179,26,3,146,轻度污染,27,81,22,0.6,27,210
2017,6,29,180,26,3,142,轻度污染,33,103,23,0.8,27,206
2017,6,30,181,26,3,169,中度污染,32,75,24,0.7,28,234
2017,7,1,182,27,3,179,中度污染,43,99,16,0.8,35,244
2017,7,2,183,27,3,110,轻度污染,43,122,17,0.6,29,171
2017,7,3,184,27,3,75,良,22,66,13,0.6,28,129
2017,7,4,185,27,3,136,轻度污染,30,70,21,0.7,27,199
2017,7,5,186,27,3,66,良,34,82,10,0.8,26,97
2017,7,6,187,27,3,97,良,43,99,14,0.8,33,156
2017,7,7,188,27,3,83,良,24,77,26,0.6,45,139
2017,7,8,189,28,3,86,良,37,122,27,0.7,52,117
2017,7,9,190,28,3,93,良,29,99,21,0.7,51,151
