Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,223,重度污染,173,193,74,2.5,54,40
2017,1,2,2,1,1,115,轻度污染,87,114,60,2,53,56
2017,1,3,3,1,1,77,良,56,79,57,1.7,50,54
2017,1,4,4,1,1,99,良,74,100,80,1.8,73,30
2017,1,5,5,1,1,148,轻度污染,113,127,69,2,79,42
2017,1,6,6,1,1,156,中度污染,119,134,94,2.3,80,46
2017,1,7,7,2,1,280,重度污染,230,252,99,3,101,46
2017,1,8,8,2,1,323,严重污染,273,294,106,3.1,106,43
2017,1,9,9,2,1,58,良,41,66,44,1.3,37,66
2017,1,10,10,2,1,56,良,22,61,41,1.1,28,61
2017,1,11,11,2,1,53,良,31,49,55,1.2,39,59
2017,1,12,12,2,1,51,良,30,46,51,1.2,36,62
2017,1,13,13,2,1,53,良,24,56,41,1,28,57
2017,1,14,14,3,1,37,优,22,35,37,1,28,55
2017,1,15,15,3,1,83,良,61,79,58,1.4,45,49
2017,1,16,16,3,1,180,中度污染,136,167,89,2.3,75,31
2017,1,17,17,3,1,213,重度污染,163,188,79,2.4,83,45
2017,1,18,18,3,1,200,中度污染,150,170,68,2,62,44
2017,1,19,19,3,1,110,轻度污染,83,109,56,1.5,54,45
2017,1,20,20,3,1,89,良,66,90,55,1.3,46,47
2017,1,21,21,4,1,88,良,65,81,59,1.4,44,52
2017,1,22,22,4,1,123,轻度污染,93,115,59,1.5,48,58
2017,1,23,23,4,1,143,轻度污染,109,150,75,1.8,57,59
2017,1,24,24,4,1,142,轻度污染,108,135,84,1.9,65,54
2017,1,25,25,4,1,112,轻度污染,84,105,89,1.7,51,75
2017,1,26,26,4,1,88,良,65,113,59,1.4,28,77
2017,1,27,27,4,1,57,良,30,63,48,1,21,76
2017,1,28,28,5,1,103,轻度污染,77,101,72,1.5,35,78
2017,1,29,29,5,1,88,良,65,83,47,1.3,29,71
