Year,Month,Day,Days,Weeks,Quarter,AQI,Level,PM25,PM10,SO2,CO,NO2,O3
2017,1,1,1,1,1,138,轻度污染,105,146,37,1.6,91,46
2017,1,2,2,1,1,217,重度污染,167,174,21,1.3,54,44
2017,1,3,3,1,1,239,重度污染,189,203,24,1.6,70,31
2017,1,4,4,1,1,264,重度污染,214,258,31,1.9,93,29
2017,1,5,5,1,1,134,轻度污染,102,120,12,1.9,47,8
2017,1,6,6,1,1,56,良,19,16,7,2.2,35,17
2017,1,7,7,2,1,49,优,21,20,7,1.9,39,17
2017,1,8,8,2,1,49,优,31,42,11,1,39,33
2017,1,9,9,2,1,88,良,65,79,18,1.4,52,42
2017,1,10,10,2,1,104,轻度污染,78,88,14,1.6,42,49
2017,1,11,11,2,1,70,良,51,54,8,1.2,37,40
2017,1,12,12,2,1,59,良,42,59,11,1.2,36,63
2017,1,13,13,2,1,88,良,65,79,14,1.2,55,73
2017,1,14,14,3,1,102,轻度污染,76,89,15,1.2,59,27
2017,1,15,15,3,1,93,良,69,77,14,1,45,41
2017,1,16,16,3,1,94,良,70,89,14,1.1,53,29
2017,1,17,17,3,1,144,轻度污染,110,110,13,1.2,50,19
2017,1,18,18,3,1,117,轻度污染,88,94,10,1.1,47,30
2017,1,19,19,3,1,140,轻度污染,107,108,11,1,40,35
2017,1,20,20,3,1,82,良,60,77,13,0.7,34,80
2017,1,21,21,4,1,98,良,73,119,18,1,55,82
2017,1,22,22,4,1,129,轻度污染,98,133,16,1.2,63,95
2017,1,23,23,4,1,118,轻度污染,89,113,13,1.2,65,97
2017,1,24,24,4,1,118,轻度污染,89,101,12,1.1,50,58
2017,1,25,25,4,1,158,中度污染,120,117,13,1.1,36,97
2017,1,26,26,4,1,92,良,68,84,16,1,42,107
2017,1,27,27,4,1,144,轻度污染,110,168,16,1,30,78
2017,1,28,28,5,1,334,严重污染,284,426,43,1.2,29,94
2017,1,29,29,5,1,250,重度污染,200,226,11,1.3,16,52
2017,1,30,30,5,1,165,中度污染,125,141,14,1.4,16,60
2017,1,31,31,5,1,119,轻度污染,90,100,10,1.1,18,52
2017,2,1,32,5,1,65,良,47,57,6,0.9,16,41
2017,2,2,33,5,1,52,良,36,39,5,0.8,17,40
2017,2,3,34,5,1,32,优,22,22,7,1,21,21
2017,2,4,35,6,1,47,优,32,47,10,1.2,28,16
2017,2,5,36,6,1,52,良,36,42,20,1.4,39,21
2017,2,6,37,6,1,69,良,50,64,7,1.2,33,16
2017,2,7,38,6,1,85,良,63,91,7,1.1,28,34
2017,2,8,39,6,1,42,优,29,32,7,0.6,20,73
2017,2,9,40,6,1,109,轻度污染,82,82,16,1,29,98
2017,2,10,41,6,1,77,良,56,54,15,0.8,32,99
2017,2,11,42,7,1,82,良,60,84,20,1,54,78
2017,2,12,43,7,1,129,轻度污染,98,132,31,1.4,64,92
2017,2,13,44,7,1,90,良,65,99,19,1.1,72,96
2017,2,14,45,7,1,98,良,66,95,20,1,78,88
2017,2,15,46,7,1,118,轻度污染,89,144,29,1.4,98,104
2017,2,16,47,7,1,107,轻度污染,80,125,27,1.2,73,128
2017,2,17,48,7,1,176,中度污染,133,164,16,1.3,49,106
2017,2,18,49,8,1,142,轻度污染,108,141,12,1,49,34
2017,2,19,50,8,1,155,中度污染,118,163,27,1.4,69,107
2017,2,20,51,8,1,99,良,74,110,20,1,52,78
2017,2,21,52,8,1,53,良,34,56,7,0.6,27,39
2017,2,22,53,8,1,53,良,37,32,8,0.6,27,55
2017,2,23,54,8,1,64,良,46,51,11,0.7,33,71
2017,2,24,55,8,1,57,良,40,54,10,0.7,40,82
2017,2,25,56,9,1,84,良,62,74,12,0.9,52,98
2017,2,26,57,9,1,90,良,67,89,17,0.9,65,119
2017,2,27,58,9,1,101,轻度污染,72,105,21,0.9,82,114
2017,2,28,59,9,1,115,轻度污染,87,141,32,1.2,86,113
2017,3,1,60,9,2,82,良,58,114,18,0.8,53,105
2017,3,2,61,9,2,65,良,26,80,13,0.5,47,90
2017,3,3,62,9,2,97,良,59,133,36,1.1,77,53
2017,3,4,63,10,2,105,轻度污染,79,132,20,1.2,73,16
2017,3,5,64,10,2,69,良,50,49,9,1,39,41
2017,3,6,65,10,2,142,轻度污染,108,124,10,1.1,38,74
2017,3,7,66,10,2,223,重度污染,173,175,19,1.4,55,79
2017,3,8,67,10,2,132,轻度污染,100,132,22,1.1,62,144
